tax_id	carbon_substrates
442870	alanine, alanine, glucose, serine, threonine
291968	dextrin, fructose, glucose, glutamate, maltose, mannose, sucrose
258515	arabinose, cellobiose, fructose, galactose, glucose, maltose, raffinose, salicin, sucrose, xylose
483199	xylose
431306	glycerol
285268	arabinose, fructose, galactose, mannitol, sorbitol, sucrose, xylose
304077	glucose
446692	ethanol, glycerol
187327	acetate, arginine, butanol, glycine, histidine, lactate, leucine, propionate
946336	arabinose, cellobiose, fructose, galactose, glucose, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, rhamnose, ribose, salicin, sucrose, trehalose, xylose
542300	arabinose, cellobiose, fructose, galactose, glucose, lactate, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, rhamnose, ribose, salicin, sucrose, trehalose, xylose
512383	arabinose, asparagine, cellobiose, fructose, galactose, galacturonic acid, gluconic acid, glucose, glycerol, lactose, mannitol, mannose, myo-inositol, pyruvate, sorbitol, sucrose, trehalose, xylose
512382	arabinose, asparagine, ethanol, fructose, galactose, galacturonic acid, gluconic acid, glucose, glycerol, lactate, malate, mannitol, mannose, myo-inositol, pyruvate, sorbitol, trehalose, xylose
472056	alanine, alanine, dextrin, glutamate, glycogen, succinate, urocanic acid
472056	arabitol, dextrin, glycogen, sorbitol, succinate, urocanic acid
343013	alanine, alanine, alpha-ketovaleric acid, aspartate, formic acid, glutamate, glycerol, glycogen, lactate, leucine, malate, methyl pyruvate, proline, propionate, serine, succinate, threonine
592050	alanine, alanine, asparagine, aspartate, formic acid, glucose, glutamate, lactate, pyruvic acid methyl ester, serine, threonine, Tween 40, Tween 80
1177982	arabinose, galactose, glucose, lactose, mannitol, rhamnose, xylose
262668	acetate, aspartate, citrate, ethanol, gelatin, histidine, malate, malonate
106648	2,3-butanediol, acetate, alanine, alanine, aspartate, citrate, ethanol, glutamate, lactate
1219383	asparagine, aspartate, fructose, gluconic acid, glutamate, malate, mannose, proline, succinate, sucrose
106649	2,3-butanediol, acetate, adipate, aspartate, citrate, ethanol, glutamate, lactate
134534	4-hydroxbenzoate, acetate, adipate, alanine, alanine, arginine, citrate, ethanol, gelatin, histidine, lactate, leucine, malate, malonate, ornithine, phenylacetate, phenylalanine
756892	acetate, ethanol
1226327	2,3-butanediol, ethanol, lactate
1219382	asparagine, aspartate, fructose, glutamate, malate, mannose, proline, succinate, sucrose
1096779	acetate, citrate, ethanol, glutamate, lactate, phenylacetate, phenylalanine
52133	acetate, arginine, citrate, ethanol, histidine, leucine, malate, malonate
1070424	arabinose, cellobiose, fructose, galactose, glucose, lactose, maltose, mannitol, melibiose, raffinose, rhamnose, sucrose
449463	acetate, citrate, glutamate, pyruvate, sucrose
1087332	3-hydroxybutyrate, acetate, cellobiose, citrate, fructose, galactose, glucose, glycerol, lactate, malate, mannose, myo-inositol, propionate, pyruvate, ribose, succinate, xylose
555372	cellobiose, fructose, galactose, glucose, lactose, melibiose, rhamnose, xylose
555372	cellobiose, fructose, galactose, glucose, lactose, melibiose, rhamnose, xylose
555372	cellobiose, fructose, galactose, glucose, lactose, melibiose, rhamnose, xylose
502577	mannose, rhamnose, trehalose
502577	mannose, rhamnose, trehalose
1136071	cellobiose, citrate, dextrin, galactose, glycerol, lactose, mannitol, mannose, melibiose, raffinose, sorbitol, sucrose, trehalose, xylose
