tax_id	pathways
54261	nitrate reduction
2714	nitrate reduction
29466	nitrate reduction
266	nitrate reduction
36861	nitrate reduction
1484	nitrate reduction
35835	nitrate reduction
55218	nitrate reduction
13773	nitrate reduction
48382	nitrate reduction
1502	nitrate reduction
548	nitrate reduction
562	nitrate reduction
287	nitrate reduction
43306	nitrate reduction
189	nitrate reduction
971	nitrate reduction
2714	denitrification
266	denitrification
36861	denitrification
13773	denitrification
48382	denitrification
1502	denitrification
287	denitrification
266	denitrification
42838	nitrate reduction to ammonia
54252	nitrate reduction to ammonia
29466	nitrate reduction to ammonia
54261	nitrite reduction
266	nitrite reduction
36861	nitrite reduction
48382	nitrite reduction
1502	nitrite reduction
287	nitrite reduction
266	nitrite reduction
2714	nitrite reduction
266	nitrite reduction
36861	nitrite reduction
48382	nitrite reduction
1502	nitrite reduction
287	nitrite reduction
266	nitrite reduction
266	nitric oxide reduction
36861	nitric oxide reduction
48382	nitric oxide reduction
1502	nitric oxide reduction
287	nitric oxide reduction
266	nitric oxide reduction
266	nitrous oxide reduction
36861	nitrous oxide reduction
48382	nitrous oxide reduction
1502	nitrous oxide reduction
287	nitrous oxide reduction
266	nitrous oxide reduction
2208	nitrogen fixation
879	nitrogen fixation
881	nitrogen fixation
876	nitrogen fixation
880	nitrogen fixation
873	nitrogen fixation
899	nitrogen fixation
138903	sulfate reduction
56760	sulfate reduction
35837	sulfate reduction
66849	sulfate reduction
886	sulfate reduction
1741	sulfate reduction
74701	sulfate reduction
74702	sulfate reduction
84156	sulfate reduction
28262	sulfate reduction
58135	sulfate reduction
39060	sulfate reduction
53245	sulfate reduction
42471	sulfate reduction
58137	sulfate reduction
42838	sulfate reduction
1566	sulfate reduction
57172	sulfate reduction
34032	sulfate reduction
876	sulfate reduction
58136	sulfate reduction
2234	sulfate reduction
62609	sulfate reduction
63561	sulfite oxidation
65555	sulfite oxidation
53321	sulfite oxidation
876	sulfite reduction
35837	sulfite reduction
66849	sulfite reduction
58290	sulfite reduction
74701	sulfite reduction
84156	sulfite reduction
28262	sulfite reduction
58135	sulfite reduction
53245	sulfite reduction
42471	sulfite reduction
58137	sulfite reduction
57172	sulfite reduction
34032	sulfite reduction
64160	sulfite reduction
35616	sulfite reduction
2234	sulfite reduction
2277	sulfite reduction
921	thiosulfate oxidation
2714	thiosulfate oxidation
13773	thiosulfate oxidation
48383	thiosulfate oxidation
48382	thiosulfate oxidation
923	thiosulfate oxidation
39765	thiosulfate oxidation
63656	thiosulfate oxidation
927	thiosulfate oxidation
48382	thiosulfate oxidation
63561	thiosulfate disproportionation
65555	thiosulfate disproportionation
53321	thiosulfate disproportionation
53245	thiosulfate disproportionation
2234	thiosulfate reduction
35837	thiosulfate reduction
54261	thiosulfate reduction
66849	thiosulfate reduction
2309	thiosulfate reduction
58290	thiosulfate reduction
74701	thiosulfate reduction
74702	thiosulfate reduction
84156	thiosulfate reduction
28262	thiosulfate reduction
58135	thiosulfate reduction
42471	thiosulfate reduction
58137	thiosulfate reduction
64160	thiosulfate reduction
1566	thiosulfate reduction
34032	thiosulfate reduction
39100	thiosulfate reduction
62609	thiosulfate reduction
2277	thiosulfate reduction
54256	thiosulfate reduction
38322	thiosulfate reduction
57487	thiosulfate reduction
63561	dithionite disproportionation
929	trithionate oxidation
927	trithionate oxidation
929	trithionate oxidation
927	trithionate oxidation
927	tetrathionate oxidation
63656	tetrathionate oxidation
46539	tetrathionate oxidation
48383	tetrathionate oxidation
79601	tetrathionate oxidation
929	tetrathionate oxidation
48382	sulfur oxidation
930	sulfur oxidation
920	sulfur oxidation
2714	sulfur oxidation
12915	sulfur oxidation
41673	sulfur oxidation
2283	sulfur oxidation
43687	sulfur oxidation
47304	sulfur oxidation
2285	sulfur oxidation
2287	sulfur oxidation
47303	sulfur oxidation
28034	sulfur oxidation
53633	sulfur oxidation
2286	sulfur oxidation
79601	sulfur oxidation
48382	sulfur oxidation
48383	sulfur oxidation
160660	sulfur oxidation
46539	sulfur oxidation
63656	sulfur oxidation
39765	sulfur oxidation
65555	sulfur oxidation
53321	sulfur oxidation
894	sulfur oxidation
930	sulfur oxidation
48382	sulfur oxidation
2309	sulfur reduction
35616	sulfur reduction
12915	sulfur reduction
41673	sulfur reduction
42838	sulfur reduction
2271	sulfur reduction
70771	sulfur reduction
54250	sulfur reduction
2277	sulfur reduction
2714	sulfur reduction
2283	sulfur reduction
79270	sulfur reduction
79271	sulfur reduction
64160	sulfur reduction
54248	sulfur reduction
52001	sulfur reduction
41675	sulfur reduction
57666	sulfur reduction
2265	sulfur reduction
54076	sulfur reduction
139207	sulfur reduction
2278	sulfur reduction
184117	sulfur reduction
2303	sulfur reduction
50339	sulfur reduction
2269	sulfur reduction
2262	sulfur reduction
49899	sulfur reduction
2264	sulfur reduction
2275	sulfur reduction
2275	sulfur reduction
49900	sulfur reduction
29292	sulfur reduction
2261	sulfur reduction
53953	sulfur reduction
54256	sulfur reduction
62609	sulfur reduction
71280	sulfur reduction
110164	sulfur reduction
110163	sulfur reduction
54262	sulfur reduction
54077	sulfur reduction
46540	sulfur reduction
71997	sulfur reduction
46539	sulfur reduction
71998	sulfur reduction
72803	sulfur reduction
2421	sulfur reduction
2336	sulfur reduction
2337	sulfur reduction
94694	sulfur reduction
2280	sulfur reduction
63656	sulfide oxidation
46539	sulfide oxidation
39765	sulfide oxidation
48383	sulfide oxidation
79601	sulfide oxidation
48382	sulfide oxidation
48382	sulfide oxidation
48382	sulfide oxidation
36861	thiosulfate oxidation, denitrification
13773	thiosulfate oxidation, denitrification
2714	thiosulfate oxidation, denitrification
48382	thiosulfate oxidation, denitrification
36861	sulfur oxidation, denitrification
2714	sulfur oxidation, denitrification
40753	sulfur oxidation, denitrification
40752	sulfur oxidation, denitrification
54261	sulfide oxidation, nitrate reduction
48382	sulfide oxidation, nitrate reduction
40753	sulfide oxidation, denitrification
40752	sulfide oxidation, denitrification
48382	sulfide oxidation, denitrification
40753	sulfide oxidation, denitrification
40752	sulfide oxidation, denitrification
48382	sulfide oxidation, denitrification
2187	methanogenesis H2CO2
2208	methanogenesis H2CO2
145261	methanogenesis H2CO2
392018	methanogenesis H2CO2
2186	methanogenesis H2CO2
2190	methanogenesis H2CO2
2320	methanogenesis H2CO2
145262	methanogenesis H2CO2
2180	methanogenesis H2CO2
2181	methanogenesis H2CO2
2189	methanogenesis H2CO2
145262	methanogenesis H2CO2
83982	methanogenesis H2CO2
71152	methanogenesis H2CO2
49340	methanogenesis H2CO2
49339	methanogenesis H2CO2
59277	methanogenesis H2CO2
67760	methanogenesis H2CO2
73913	methanogenesis H2CO2
54120	methanogenesis H2CO2
48382	carbonylsulfide oxidation
48382	carbonylsulfide reduction
1484	carbonmonoxide oxidation
40137	carbonmonoxide oxidation
376165	carbonmonoxide oxidation
145262	carbonmonoxide reduction, methanogenesis
2162	carbonmonoxide reduction, methanogenesis
48382	thiocyanate oxidation
48382	thiocyanate reduction
53405	methane oxidation
2325	acetogenesis
29376	acetogenesis
58136	acetogenesis
71152	methanogenesis
2186	methanogenesis
49340	methanogenesis
49339	methanogenesis
59277	methanogenesis
54120	methanogenesis
13773	aerobic chemo heterotrophy
57666	aerobic chemo heterotrophy
2224	methanogenesis acetoclastic
13773	aerobic chemo heterotrophy
57666	aerobic chemo heterotrophy
52004	acetogenesis
1422	aerobic chemo heterotrophy
57666	aerobic chemo heterotrophy
38027	methanogenesis
39669	methanogenesis
2208	methanogenesis
2221	methanogenesis
52004	acetogenesis
2199	acetogenesis, methanogenesis
54120	methanogenesis
38072	nitrate reduction
42838	nitrate reduction to ammonia
48382	nitrate reduction to ammonia
13773	nitrate reduction to ammonia
13773	nitrate reduction
48382	nitrate reduction
13773	denitrification
28232	nitrate reduction to ammonia
13773	denitrification
38072	nitrate reduction
85682	nitrate reduction
85683	nitrate reduction
85683	nitrate reduction to ammonia
85683	nitrite reduction to ammonia
1422	nitrite reduction to ammonia
1422	denitrification
29376	nitrate reduction to ammonia
2208	methanogenesis
551760	denitrification
74701	sulfate reduction
74702	sulfate reduction
58135	sulfate reduction
29376	sulfate reduction
39060	sulfate reduction
53245	sulfate reduction
58137	sulfate reduction
42838	sulfate reduction
1566	sulfate reduction
2234	sulfate reduction
58290	sulfite reduction
74701	sulfite reduction
58135	sulfite reduction
29376	sulfite reduction
39060	sulfite reduction
53245	sulfite reduction
58137	sulfite reduction
1566	sulfite reduction
2234	sulfite reduction
74701	thiosulfate reduction
74702	thiosulfate reduction
58135	thiosulfate reduction
29376	thiosulfate reduction
58137	thiosulfate reduction
1566	thiosulfate reduction
2234	thiosulfate reduction
2271	sulfur reduction
57666	sulfur reduction
58136	sulfate reduction
39841	sulfate reduction
58135	sulfate reduction
1566	sulfate reduction
58290	sulfite reduction
58135	sulfite reduction
58135	thiosulfate reduction
79271	thiosulfate reduction
40982	sulfur reduction
891	sulfur reduction
35554	sulfur reduction
79270	sulfur reduction
79271	sulfur reduction
33002	sulfur reduction
58135	sulfate reduction
29376	sulfate reduction
42471	sulfate reduction
40414	sulfate reduction
39060	sulfate reduction
34032	sulfate reduction
58135	sulfite reduction
29376	sulfite reduction
42471	sulfite reduction
34032	sulfite reduction
40414	sulfite reduction
39060	sulfite reduction
58135	thiosulfate reduction
29376	thiosulfate reduction
79271	thiosulfate reduction
42471	thiosulfate reduction
34032	thiosulfate reduction
40414	thiosulfate reduction
79271	sulfur reduction
2234	sulfate reduction
58136	sulfate reduction
1565	sulfate reduction
886	sulfate reduction
58135	sulfate reduction
29376	sulfate reduction
58137	sulfate reduction
1566	sulfate reduction
56760	sulfate reduction
40414	sulfate reduction
1741	sulfate reduction
74701	sulfate reduction
74702	sulfate reduction
28262	sulfate reduction
39060	sulfate reduction
42471	sulfate reduction
1566	sulfate reduction
34032	sulfate reduction
1565	sulfite reduction
886	sulfite reduction
58135	sulfite reduction
29376	sulfite reduction
58137	sulfite reduction
2234	sulfite reduction
1566	sulfite reduction
34032	sulfite reduction
40414	sulfite reduction
39060	sulfite reduction
74701	sulfite reduction
42471	sulfite reduction
1565	thiosulfate reduction
886	thiosulfate reduction
58135	thiosulfate reduction
29376	thiosulfate reduction
79271	thiosulfate reduction
58137	thiosulfate reduction
2234	thiosulfate reduction
1741	thiosulfate reduction
74701	thiosulfate reduction
74702	thiosulfate reduction
1566	thiosulfate reduction
34032	thiosulfate reduction
42471	thiosulfate reduction
74714	thiosulfate reduction
79270	sulfur reduction
