ID_kit_api_20STR_meta,cupule,cupule_Name_Kit,name_bacdive,reaction_name,external_Link,ID_microbiol,substrate,ID_CHEBI,CAS,kegg_comp,brenda_ligand,enzyme,EC_number,tf_api_enzyme,tf_api_met_util,tf_api_met_prod,tf_api_met_test,tf_api_met_antibiotica,tf_api_spore_formation,tf_api_cell_morphology,tf_api_colony_morphology,tf_api_culture_medium,last_change
1,1,VP,VP,"Acetoin production (Voges Proskauer test)",NULL,VP_20STR,"sodium pyruvate",50144,113-24-6,NULL,1725,NULL,NULL,NULL,NULL,8,5,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:47:09"
2,2,HIP,HIP,"Hippuric acid hydrolysis",http://www.genome.jp/dbget-bin/www_bget?cpd:C01586,HIP_20STR,"Hippuric acid (N-benzoylglycine)",18089,495-69-2,C01586,6000,NULL,NULL,NULL,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:47:09"
3,3,ESC,ESC,"Esculin hydrolysis/beta-glucosidase",http://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.21,ESC_20STR,"Esculin ferric citrate",4853,531-75-9,C09264,3339,beta-glucosidase,3.2.1.21,18,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:47:09"
4,4,PYRA,PYRA,"Pyrrolidonyl arylamidase",http://www.brenda-enzymes.org/enzyme.php?ecno=3.4.19.3,PYRA_20STR,"L-pyroglutamic acid 2-naphthylamide ",NULL,22155-91-5,NULL,161451,"pyroglutamyl-peptidase I",3.4.19.3,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:47:09"
5,5,alphaGAL,"alpha GAL",alpha-Galactosidase,http://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.22,alphaGAL_20STR,6-Bromo-2-naphthyl-alpha-D-galactopyranoside,NULL,25997-59-5,NULL,30620,alpha-galactosidase,3.2.1.22,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:47:09"
6,6,betaGUR,"beta GUR",beta-Glucuronidase,http://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.31,betaGUR_20STR,"Naphthol AS-BI beta-D-glucuronide",NULL,"37-87-6 ",NULL,117476,beta-glucuronidase,3.2.1.31,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:47:09"
7,7,betaGAL,"beta GAL",beta-Galactosidase,http://www.brenda-enzymes.org/enzyme.php?ecno=3.2.1.62,betaGAL_20STR,2-Naphthyl-beta-D-galactopyranoside,NULL,312693-81-5,NULL,104616,glycosylceramidase,3.2.1.62,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:47:09"
8,8,PAL,PAL,"Alkaline phosphatase",http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.1,PAL_20STR,"2-naphthyl phosphate",NULL,"14463-68-4 ",NULL,3239,"alkaline phosphatase",3.1.3.1,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:47:09"
9,9,LAP,LAP,"Leucine arylamidase",http://www.brenda-enzymes.org/enzyme.php?ecno=3.3.2.6,LAP_20STR,"L-leucine beta-naphthylamide",NULL,732-85-4,NULL,5869,"leukotriene-A4 hydrolase",3.3.2.6,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:47:09"
10,10,ADH,ADH,"Arginine dihydrolase",http://www.brenda-enzymes.org/enzyme.php?ecno=3.5.3.6,ADH_20STR,L-arginine,16467,"74-79-3 ",C00062,123,"arginine deiminase",3.5.3.6,25,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:47:09"
11,11,RIB,RIB,"Acid from D-ribose",http://www.genome.jp/dbget-bin/www_bget?cpd:C00121,RIB_20STR,D-ribose,16988,50-69-1,C00121,292,NULL,NULL,NULL,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:47:09"
12,12,ARA,ARA,"Acid from L-arabinose",http://www.genome.jp/dbget-bin/www_bget?cpd:C00259,ARA_20STR,L-arabinose,30849,147-81-9,C00259,206,NULL,NULL,NULL,61,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:47:09"
13,13,MAN,MAN,"Acid from D-mannitol",http://www.genome.jp/dbget-bin/www_bget?cpd:C00392,MAN_20STR,D-mannitol,16899,69-65-8,C00392,495,NULL,NULL,NULL,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:47:09"
14,14,SOR,SOR,"Acid from D-sorbitol",http://www.genome.jp/dbget-bin/www_bget?cpd:C00794,SOR_20STR,"D-sorbitol (D-glucitol)",17924,50-70-4,C00794,2651,NULL,NULL,NULL,63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:47:09"
15,15,LAC,LAC,"Acid from lactose",http://www.genome.jp/dbget-bin/www_bget?cpd:C00243,LAC_20STR,"D-lactose (lactose)",17716,63-42-3,C00243,3242,NULL,NULL,NULL,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:47:09"
16,16,TRE,TRE,"Acid from trehalose",http://www.genome.jp/dbget-bin/www_bget?cpd:C01083,TRE_20STR,"D-trehalose (trehalose)",16551,99-20-7,C01083,587,NULL,NULL,NULL,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:47:09"
