subject	predicate	object	relation	primary_knowledge_source
NCBITaxon:1955243	biolink:occurs_in	mediadive.medium:1669	BAO:0002924	bacdive:158156
NCBITaxon:1873457	biolink:occurs_in	mediadive.medium:92	BAO:0002924	bacdive:139807
NCBITaxon:1848903	biolink:occurs_in	mediadive.medium:1609	BAO:0002924	bacdive:132461
NCBITaxon:1978225	biolink:occurs_in	mediadive.medium:830	BAO:0002924	bacdive:132310
NCBITaxon:1413221	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:130726
NCBITaxon:1122939	biolink:occurs_in	mediadive.medium:830	BAO:0002924	bacdive:17629
NCBITaxon:1931	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:15641
NCBITaxon:56	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:12368
NCBITaxon:1797	biolink:occurs_in	mediadive.medium:354	BAO:0002924	bacdive:8424
NCBITaxon:145262	biolink:occurs_in	mediadive.medium:119	BAO:0002924	bacdive:6888
NCBITaxon:47847	biolink:occurs_in	mediadive.medium:92	BAO:0002924	bacdive:3904
NCBITaxon:61595	biolink:occurs_in	mediadive.medium:28	BAO:0002924	bacdive:2434
NCBITaxon:920	biolink:occurs_in	mediadive.medium:271	BAO:0002924	bacdive:120
NCBITaxon:1871063	biolink:occurs_in	mediadive.medium:92	BAO:0002924	bacdive:131603
NCBITaxon:1387716	biolink:occurs_in	mediadive.medium:92	BAO:0002924	bacdive:131308
NCBITaxon:1464038	biolink:occurs_in	mediadive.medium:693	BAO:0002924	bacdive:130819
NCBITaxon:1283715	biolink:occurs_in	mediadive.medium:554	BAO:0002924	bacdive:24210
NCBITaxon:1055723	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:24031
NCBITaxon:1899569	biolink:occurs_in	mediadive.medium:1153	BAO:0002924	bacdive:23882
NCBITaxon:1920507	biolink:occurs_in	mediadive.medium:1271	BAO:0002924	bacdive:23372
NCBITaxon:1175444	biolink:occurs_in	mediadive.medium:1318	BAO:0002924	bacdive:17669
NCBITaxon:1121391	biolink:occurs_in	mediadive.medium:195c	BAO:0002924	bacdive:16672
NCBITaxon:56	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:12465
NCBITaxon:56	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:12328
NCBITaxon:56	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:12116
NCBITaxon:58172	biolink:occurs_in	mediadive.medium:220	BAO:0002924	bacdive:11541
NCBITaxon:184914	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:9340
NCBITaxon:184914	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:8716
NCBITaxon:309883	biolink:occurs_in	mediadive.medium:736	BAO:0002924	bacdive:3871
NCBITaxon:394092	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:3513
NCBITaxon:2665663	biolink:occurs_in	mediadive.medium:65	BAO:0002924	bacdive:159359
NCBITaxon:1478	biolink:occurs_in	mediadive.medium:220	BAO:0002924	bacdive:158841
NCBITaxon:197	biolink:occurs_in	mediadive.medium:693	BAO:0002924	bacdive:131203
NCBITaxon:614	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:23965
NCBITaxon:930118	biolink:occurs_in	mediadive.medium:514b	BAO:0002924	bacdive:23575
NCBITaxon:1869190	biolink:occurs_in	mediadive.medium:381	BAO:0002924	bacdive:23503
NCBITaxon:2001	biolink:occurs_in	mediadive.medium:425	BAO:0002924	bacdive:16590
NCBITaxon:404881	biolink:occurs_in	mediadive.medium:948	BAO:0002924	bacdive:13863
NCBITaxon:1449351	biolink:occurs_in	mediadive.medium:514	BAO:0002924	bacdive:13760
NCBITaxon:56	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:12425
NCBITaxon:1122206	biolink:occurs_in	mediadive.medium:381	BAO:0002924	bacdive:11272
NCBITaxon:83456	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:9954
NCBITaxon:184914	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:9287
NCBITaxon:184914	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:9238
NCBITaxon:184914	biolink:occurs_in	mediadive.medium:9	BAO:0002924	bacdive:8712
NCBITaxon:562	biolink:occurs_in	mediadive.medium:381	BAO:0002924	bacdive:4719
NCBITaxon:89152	biolink:occurs_in	mediadive.medium:104c	BAO:0002924	bacdive:2798
NCBITaxon:78344	biolink:occurs_in	mediadive.medium:58	BAO:0002924	bacdive:1730
NCBITaxon:33935	biolink:occurs_in	mediadive.medium:1	BAO:0002924	bacdive:1542
