id	category	name	description	xref	provided_by	synonym	iri	object	predicate	relation	same_as	subject	subsets
NCBITaxon:1955243	biolink:OrganismalEntity	Blautia sp.											
mediadive.medium:1669	biolink:ChemicalEntity	SCHAEDLER BROTH (ROTH; 5772) (DSMZ Medium 1669)											
NCBITaxon:1873457	biolink:OrganismalEntity	Promicromonospora sp.											
mediadive.medium:92	biolink:ChemicalEntity	TRYPTICASE SOY YEAST EXTRACT MEDIUM (DSMZ Medium 92)											
NCBITaxon:1848903	biolink:OrganismalEntity	Capnocytophaga canis											
mediadive.medium:1609	biolink:ChemicalEntity	HEART INFUSION BLOOD AGAR (DSMZ Medium 1609)											
NCBITaxon:1978225	biolink:OrganismalEntity	Frondihabitans sp.											
mediadive.medium:830	biolink:ChemicalEntity	R2A MEDIUM (DSMZ Medium 830)											
NCBITaxon:1413221	biolink:OrganismalEntity	Streptomyces ferrugineus											
mediadive.medium:65	biolink:ChemicalEntity	GYM STREPTOMYCES MEDIUM (DSMZ Medium 65)											
NCBITaxon:1122939	biolink:OrganismalEntity	Patulibacter americanus DSM 16676											
NCBITaxon:1931	biolink:OrganismalEntity	Streptomyces sp.											
NCBITaxon:56	biolink:OrganismalEntity	Sorangium cellulosum											
mediadive.medium:9	biolink:ChemicalEntity	VY/2 AGAR (DSMZ Medium 9)											
NCBITaxon:1797	biolink:OrganismalEntity	Mycolicibacterium thermoresistibile											
mediadive.medium:354	biolink:ChemicalEntity	LÖWENSTEIN-JENSEN MEDIUM (DSMZ Medium 354)											
NCBITaxon:145262	biolink:OrganismalEntity	Methanothermobacter thermautotrophicus											
mediadive.medium:119	biolink:ChemicalEntity	METHANOBACTERIUM MEDIUM (DSMZ Medium 119)											
NCBITaxon:47847	biolink:OrganismalEntity	Brachybacterium nesterenkovii											
NCBITaxon:61595	biolink:OrganismalEntity	Allochromatium warmingii											
mediadive.medium:28	biolink:ChemicalEntity	PFENNIG'S MEDIUM I (modified 1988, for purple sulfur bacteria) (DSMZ Medium 28)											
NCBITaxon:920	biolink:OrganismalEntity	Acidithiobacillus ferrooxidans											
mediadive.medium:271	biolink:ChemicalEntity	ACIDITHIOBACILLUS (APH) MEDIUM (DSMZ Medium 271)											
NCBITaxon:1871063	biolink:OrganismalEntity	Aeromicrobium sp.											
NCBITaxon:1387716	biolink:OrganismalEntity	Arthrobacter nanjingensis											
NCBITaxon:1464038	biolink:OrganismalEntity	Ezakiella peruensis											
mediadive.medium:693	biolink:ChemicalEntity	COLUMBIA BLOOD MEDIUM (DSMZ Medium 693)											
NCBITaxon:1283715	biolink:OrganismalEntity	Micromonospora maoerensis											
mediadive.medium:554	biolink:ChemicalEntity	N-Z-AMINE-MEDIUM (DSMZ Medium 554)											
NCBITaxon:1055723	biolink:OrganismalEntity	Muricauda antarctica											
mediadive.medium:514	biolink:ChemicalEntity	BACTO MARINE BROTH (DIFCO 2216) (DSMZ Medium 514)											
NCBITaxon:1899569	biolink:OrganismalEntity	Spirosoma sp.											
mediadive.medium:1153	biolink:ChemicalEntity	R3 A MEDIUM (DSMZ Medium 1153)											
NCBITaxon:1920507	biolink:OrganismalEntity	uncultured Pleomorphochaeta sp.											
mediadive.medium:1271	biolink:ChemicalEntity	PLEOMORPHOCHAETA MEDIUM (DSMZ Medium 1271)											
NCBITaxon:1175444	biolink:OrganismalEntity	Methanocella conradii											
mediadive.medium:1318	biolink:ChemicalEntity	METHANOCELLA CONRADII MEDIUM (DSMZ Medium 1318)											
NCBITaxon:1121391	biolink:OrganismalEntity	Desulfacinum infernum DSM 9756											
mediadive.medium:195c	biolink:ChemicalEntity	DESULFOBACTER SP. MEDIUM (LACTATE) (DSMZ Medium 195c)											
NCBITaxon:58172	biolink:OrganismalEntity	Paenibacillus sp.											
mediadive.medium:220	biolink:ChemicalEntity	CASO AGAR (MERCK 105458) (DSMZ Medium 220)											
NCBITaxon:184914	biolink:OrganismalEntity	Corallococcus coralloides											
NCBITaxon:309883	biolink:OrganismalEntity	Deinococcus hohokamensis											
mediadive.medium:736	biolink:ChemicalEntity	RICH MEDIUM (DSMZ Medium 736)											
NCBITaxon:394092	biolink:OrganismalEntity	Cystobacter gracilis											
NCBITaxon:2665663	biolink:OrganismalEntity	Nonomuraea rhizosphaerae											
NCBITaxon:1478	biolink:OrganismalEntity	Peribacillus simplex											
NCBITaxon:197	biolink:OrganismalEntity	Campylobacter jejuni											
NCBITaxon:614	biolink:OrganismalEntity	Serratia liquefaciens											
mediadive.medium:1	biolink:ChemicalEntity	NUTRIENT AGAR (DSMZ Medium 1)											
NCBITaxon:930118	biolink:OrganismalEntity	Marinobacter persicus											
mediadive.medium:514b	biolink:ChemicalEntity	MEDIUM 514 PLUS ADDITIONAL SALT (DSMZ Medium 514b)											
NCBITaxon:1869190	biolink:OrganismalEntity	Roseomonas sp.											
mediadive.medium:381	biolink:ChemicalEntity	LB (Luria-Bertani) MEDIUM (DSMZ Medium 381)											
NCBITaxon:2001	biolink:OrganismalEntity	Streptosporangium roseum											
mediadive.medium:425	biolink:ChemicalEntity	OATMEAL AGAR (DSMZ Medium 425)											
NCBITaxon:404881	biolink:OrganismalEntity	Defluviimonas denitrificans											
mediadive.medium:948	biolink:ChemicalEntity	OXOID NUTRIENT BROTH (DSMZ Medium 948)											
NCBITaxon:1449351	biolink:OrganismalEntity	Roseivivax isoporae LMG 25204											
NCBITaxon:1122206	biolink:OrganismalEntity	Marinomonas polaris DSM 16579											
NCBITaxon:83456	biolink:OrganismalEntity	Myxococcus virescens											
NCBITaxon:562	biolink:OrganismalEntity	Escherichia coli											
NCBITaxon:89152	biolink:OrganismalEntity	Peptacetobacter hiranonis											
mediadive.medium:104c	biolink:ChemicalEntity	PY + X MEDIUM (N2/CO2) (DSMZ Medium 104c)											
NCBITaxon:78344	biolink:OrganismalEntity	Bifidobacterium pullorum subsp. gallinarum											
mediadive.medium:58	biolink:ChemicalEntity	BIFIDOBACTERIUM MEDIUM (DSMZ Medium 58)											
NCBITaxon:33935	biolink:OrganismalEntity	Lysinibacillus macroides											
NCBITaxon:1428	biolink:OrganismalEntity	Bacillus thuringiensis											
NCBITaxon:194673	biolink:OrganismalEntity	Streptomyces rubrogriseus											
NCBITaxon:853	biolink:OrganismalEntity	Faecalibacterium prausnitzii											
mediadive.medium:110	biolink:ChemicalEntity	CHOPPED MEAT MEDIUM WITH CARBOHYDRATES (DSMZ Medium 110)											
NCBITaxon:74426	biolink:OrganismalEntity	Collinsella aerofaciens											
