id	category	name	description	xref	provided_by	synonym	iri	object	predicate	relation	same_as	subject	subsets
gc:mid1	biolink:PhenotypicQuality	GC content 42.65% - 57.0%											
NCBITaxon:435	biolink:OrganismTaxon	Acetobacter aceti											
NCBITaxon:887700	biolink:OrganismTaxon	Acetobacter aceti NBRC 14818											
gc:mid2	biolink:PhenotypicQuality	GC content 57.0% - 66.3%											
NCBITaxon:178900	biolink:OrganismTaxon	Acetobacter cerevisiae											
NCBITaxon:438	biolink:OrganismTaxon	Acetobacter pasteurianus											
NCBITaxon:940265	biolink:OrganismTaxon	Acetobacter pasteurianus subsp. pasteurianus LMG 1262 = NBRC 106471											
temp_range:mid1	biolink:PhenotypicQuality	temperature range 22 deg C to 27 deg C											
temp_range:mid2	biolink:PhenotypicQuality	temperature range 27 deg C to 30 deg C											
temp_delta:low	biolink:PhenotypicQuality	temperature delta 1 deg C to 5 deg C											
NCBITaxon:1231342	biolink:OrganismTaxon	Acetobacter orleanensis JCM 7639											
motility:non_motile	biolink:PhenotypicQuality	non-motile											
cell_width:high	biolink:PhenotypicQuality	cell width > 0.9um											
cell_length:very_low	biolink:PhenotypicQuality	cell length <= 1.3um											
NCBITaxon:1307917	biolink:OrganismTaxon	Acetobacter pomorum DSM 11825											
gram_stain:negative	biolink:PhenotypicQuality	gram negative											
sporulation:non_spore_forming	biolink:PhenotypicQuality	non spore forming											
cell_length:mid	biolink:PhenotypicQuality	cell length 2um to 3um											
cell_shape:rod	biolink:PhenotypicQuality	rod shaped cell											
NCBITaxon:1307903	biolink:OrganismTaxon	Acetobacter cerevisiae DSM 14362											
NCBITaxon:1307910	biolink:OrganismTaxon	Acetobacter malorum DSM 14337											
temp_opt:mid2	biolink:PhenotypicQuality	optimal temperature 27 deg C to 30 deg C											
motility:motile	biolink:PhenotypicQuality	motile											
cell_width:mid	biolink:PhenotypicQuality	cell width 0.65um to 0.9um											
cell_length:high	biolink:PhenotypicQuality	cell length > 3um											
NCBITaxon:1307912	biolink:OrganismTaxon	Acetobacter oeni LMG 21952											
cell_width:very_low	biolink:PhenotypicQuality	cell width <= 0.5um											
cell_length:low	biolink:PhenotypicQuality	cell length 1.3um to 2um											
NCBITaxon:1120919	biolink:OrganismTaxon	Acetobacter nitrogenifigens DSM 23921 = NBRC 105050											
