id	category	name	description	xref	provided_by	synonym	iri	object	predicate	relation	same_as	subject	subsets
CHEBI:76971	biolink:ChemicalRole	escherichia coli metabolite											
CHEBI:75771	biolink:ChemicalRole	mouse metabolite											
CHEBI:75772	biolink:ChemicalRole	saccharomyces cerevisiae metabolite											
CHEBI:77746	biolink:ChemicalRole	human metabolite											
CHEBI:48360	biolink:ChemicalRole	amphiprotic solvent											
CHEBI:78016	biolink:ChemicalRole	food gelling agent											
CHEBI:76413	biolink:ChemicalRole	greenhouse gas											
CHEBI:84735	biolink:ChemicalRole	algal metabolite											
medium:1	biolink:ChemicalEntity	nutrient agar											
solution:1	biolink:ChemicalEntity	main sol. 1											
CAS-RN:73049-73-7	biolink:ChemicalEntity	peptone											
ingredient:2	biolink:ChemicalEntity	meat extract											
CHEBI:2509	biolink:ChemicalEntity	agar											
CHEBI:15377	biolink:ChemicalEntity	distilled water											
NCBITaxon:1398	biolink:OrganismTaxon	heyndrickxia coagulans											
NCBITaxon:948756	biolink:OrganismTaxon	paenibacillus macquariensis subsp. macquariensis											
NCBITaxon:1476	biolink:OrganismTaxon	sporosarcina psychrophila											
NCBITaxon:1174504	biolink:OrganismTaxon	peribacillus psychrosaccharolyticus											
NCBITaxon:692420	biolink:OrganismTaxon	bacillus amyloliquefaciens											
NCBITaxon:1423	biolink:OrganismTaxon	bacillus subtilis											
NCBITaxon:1348626	biolink:OrganismTaxon	niallia circulans											
NCBITaxon:1314753	biolink:OrganismTaxon	cytobacillus firmus											
NCBITaxon:279010	biolink:OrganismTaxon	bacillus licheniformis											
NCBITaxon:1409	biolink:OrganismTaxon	bacillus sp.											
NCBITaxon:1402	biolink:OrganismTaxon	bacillus licheniformis											
NCBITaxon:1348627	biolink:OrganismTaxon	bacillus badius											
NCBITaxon:1349781	biolink:OrganismTaxon	paenibacillus macerans											
NCBITaxon:1121121	biolink:OrganismTaxon	brevibacillus laterosporus											
NCBITaxon:1473	biolink:OrganismTaxon	virgibacillus pantothenticus											
NCBITaxon:536229	biolink:OrganismTaxon	bacillus pumilus											
NCBITaxon:1354027	biolink:OrganismTaxon	lysinibacillus sphaericus											
NCBITaxon:1206781	biolink:OrganismTaxon	paenibacillus alvei											
NCBITaxon:1393	biolink:OrganismTaxon	brevibacillus brevis											
NCBITaxon:226900	biolink:OrganismTaxon	bacillus cereus											
NCBITaxon:1404	biolink:OrganismTaxon	priestia megaterium											
NCBITaxon:171403	biolink:OrganismTaxon	paenibacillus sp.											
NCBITaxon:1036171	biolink:OrganismTaxon	paenibacillus polymyxa											
NCBITaxon:41986	biolink:OrganismTaxon	agromyces mediolanus											
NCBITaxon:12917	biolink:OrganismTaxon	acidovorax facilis											
NCBITaxon:615	biolink:OrganismTaxon	serratia marcescens											
NCBITaxon:82996	biolink:OrganismTaxon	serratia plymuthica											
NCBITaxon:33935	biolink:OrganismTaxon	lysinibacillus macroides											
NCBITaxon:1349791	biolink:OrganismTaxon	hydrogenophaga palleronii											
NCBITaxon:82367	biolink:OrganismTaxon	paracoccus pantotrophus											
NCBITaxon:352475	biolink:OrganismTaxon	shinella zoogloeoides											
NCBITaxon:287	biolink:OrganismTaxon	pseudomonas aeruginosa											
NCBITaxon:1406	biolink:OrganismTaxon	paenibacillus polymyxa											
NCBITaxon:303	biolink:OrganismTaxon	pseudomonas putida											
NCBITaxon:1422	biolink:OrganismTaxon	geobacillus stearothermophilus											
NCBITaxon:45462	biolink:OrganismTaxon	brevibacillus borstelensis											
NCBITaxon:1405	biolink:OrganismTaxon	bacillus mycoides											
NCBITaxon:662541	biolink:OrganismTaxon	escherichia coli											
NCBITaxon:562	biolink:OrganismTaxon	escherichia coli											
NCBITaxon:592022	biolink:OrganismTaxon	priestia megaterium											
NCBITaxon:59846	biolink:OrganismTaxon	paenibacillus chibensis											
NCBITaxon:1465	biolink:OrganismTaxon	brevibacillus laterosporus											
NCBITaxon:281	biolink:OrganismTaxon	xanthobacter flavus											
NCBITaxon:1396	biolink:OrganismTaxon	bacillus cereus											
NCBITaxon:96241	biolink:OrganismTaxon	bacillus spizizenii											
NCBITaxon:378753	biolink:OrganismTaxon	kocuria rhizophila											
NCBITaxon:1428	biolink:OrganismTaxon	bacillus thuringiensis											
NCBITaxon:1408	biolink:OrganismTaxon	bacillus pumilus											
NCBITaxon:44252	biolink:OrganismTaxon	paenibacillus macerans											
NCBITaxon:1399	biolink:OrganismTaxon	cytobacillus firmus											
NCBITaxon:54914	biolink:OrganismTaxon	brevibacillus parabrevis											
NCBITaxon:1421	biolink:OrganismTaxon	lysinibacillus sphaericus											
NCBITaxon:427332	biolink:OrganismTaxon	bacillus sp.											
NCBITaxon:208436	biolink:OrganismTaxon	bacillus sp.											
NCBITaxon:1302247	biolink:OrganismTaxon	paracoccus denitrificans											
NCBITaxon:106590	biolink:OrganismTaxon	cupriavidus necator											
NCBITaxon:381666	biolink:OrganismTaxon	cupriavidus necator											
NCBITaxon:280	biolink:OrganismTaxon	xanthobacter autotrophicus											
