subject	predicate	object	relation	primary_knowledge_source
NCBITaxon:100884	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:113107	biolink:associated_with_decreased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1150298	biolink:associated_with_decreased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1203556	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1232426	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1262792	biolink:associated_with_decreased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1262889	biolink:associated_with_decreased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1263044	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1309	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1322	biolink:associated_with_decreased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1343	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1352	biolink:associated_with_decreased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1406512	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1432052	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1463165	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1472761	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:150055	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1520815	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1522	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1535	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:154046	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:154288	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1550024	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1596	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1598	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1603888	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1613	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1624	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:165179	biolink:associated_with_decreased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
NCBITaxon:1655	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	PdMetagenomics
