subject	predicate	object	relation	provided_by
RHEA:10000	biolink:close_match	EC:3.5.1.50	skos:closeMatch	Rhea
RHEA:10004	biolink:close_match	EC:5.99.1.1	skos:closeMatch	Rhea
RHEA:10012	biolink:close_match	EC:1.5.3.6	skos:closeMatch	Rhea
RHEA:10016	biolink:close_match	EC:3.1.1.49	skos:closeMatch	Rhea
RHEA:10020	biolink:close_match	EC:1.5.1.10	skos:closeMatch	Rhea
RHEA:10028	biolink:close_match	EC:1.4.3.15	skos:closeMatch	Rhea
RHEA:10028	biolink:close_match	EC:1.4.3.7	skos:closeMatch	Rhea
RHEA:10032	biolink:close_match	EC:3.5.1.43	skos:closeMatch	Rhea
RHEA:10036	biolink:close_match	EC:1.1.3.38	skos:closeMatch	Rhea
RHEA:10040	biolink:close_match	EC:3.1.3.7	skos:closeMatch	Rhea
RHEA:10044	biolink:close_match	EC:1.1.1.245	skos:closeMatch	Rhea
RHEA:10048	biolink:close_match	EC:2.5.1.49	skos:closeMatch	Rhea
RHEA:10052	biolink:close_match	EC:1.1.1.345	skos:closeMatch	Rhea
RHEA:10056	biolink:close_match	EC:4.3.1.14	skos:closeMatch	Rhea
RHEA:10060	biolink:close_match	EC:2.3.1.34	skos:closeMatch	Rhea
RHEA:10064	biolink:close_match	EC:2.1.2.7	skos:closeMatch	Rhea
RHEA:10068	biolink:close_match	EC:2.4.1.53	skos:closeMatch	Rhea
RHEA:10072	biolink:close_match	EC:2.1.1.161	skos:closeMatch	Rhea
RHEA:10076	biolink:close_match	EC:3.2.1.108	skos:closeMatch	Rhea
RHEA:10080	biolink:close_match	EC:1.3.1.57	skos:closeMatch	Rhea
RHEA:10084	biolink:close_match	EC:1.13.11.3	skos:closeMatch	Rhea
RHEA:10088	biolink:close_match	EC:2.4.1.167	skos:closeMatch	Rhea
RHEA:10092	biolink:close_match	EC:3.1.3.34	skos:closeMatch	Rhea
RHEA:10096	biolink:close_match	EC:2.3.1.184	skos:closeMatch	Rhea
RHEA:10100	biolink:close_match	EC:3.1.1.13	skos:closeMatch	Rhea
RHEA:10104	biolink:close_match	EC:1.14.11.15	skos:closeMatch	Rhea
RHEA:10108	biolink:close_match	EC:1.1.1.248	skos:closeMatch	Rhea
RHEA:10112	biolink:close_match	EC:4.2.1.22	skos:closeMatch	Rhea
RHEA:10116	biolink:close_match	EC:1.1.1.351	skos:closeMatch	Rhea
RHEA:10116	biolink:close_match	EC:1.1.1.44	skos:closeMatch	Rhea
RHEA:10120	biolink:close_match	EC:3.5.4.37	skos:closeMatch	Rhea
RHEA:10124	biolink:close_match	EC:1.14.13.92	skos:closeMatch	Rhea
RHEA:10128	biolink:close_match	EC:5.3.99.9	skos:closeMatch	Rhea
RHEA:10132	biolink:close_match	EC:6.2.1.25	skos:closeMatch	Rhea
RHEA:10136	biolink:close_match	EC:4.1.1.47	skos:closeMatch	Rhea
RHEA:10140	biolink:close_match	EC:1.1.1.188	skos:closeMatch	Rhea
RHEA:10144	biolink:close_match	EC:3.1.3.6	skos:closeMatch	Rhea
RHEA:10148	biolink:close_match	EC:3.5.4.23	skos:closeMatch	Rhea
RHEA:10152	biolink:close_match	EC:2.7.2.2	skos:closeMatch	Rhea
RHEA:10156	biolink:close_match	EC:1.14.14.101	skos:closeMatch	Rhea
RHEA:10160	biolink:close_match	EC:1.1.1.14	skos:closeMatch	Rhea
RHEA:10164	biolink:close_match	EC:4.2.1.11	skos:closeMatch	Rhea
RHEA:10168	biolink:close_match	EC:1.3.7.2	skos:closeMatch	Rhea
RHEA:10172	biolink:close_match	EC:3.1.1.22	skos:closeMatch	Rhea
RHEA:10176	biolink:close_match	EC:1.1.1.397	skos:closeMatch	Rhea
RHEA:10180	biolink:close_match	EC:1.5.1.6	skos:closeMatch	Rhea
RHEA:10184	biolink:close_match	EC:3.1.1.24	skos:closeMatch	Rhea
RHEA:10188	biolink:close_match	EC:2.3.3.10	skos:closeMatch	Rhea
RHEA:10192	biolink:close_match	EC:7.3.2.3	skos:closeMatch	Rhea
RHEA:10196	biolink:close_match	EC:4.2.1.113	skos:closeMatch	Rhea
RHEA:10200	biolink:close_match	EC:1.3.1.31	skos:closeMatch	Rhea
RHEA:10204	biolink:close_match	EC:1.5.8.1	skos:closeMatch	Rhea
RHEA:10208	biolink:close_match	EC:2.3.2.8	skos:closeMatch	Rhea
RHEA:10212	biolink:close_match	EC:2.6.1.48	skos:closeMatch	Rhea
RHEA:10216	biolink:close_match	EC:2.7.11.23	skos:closeMatch	Rhea
RHEA:10220	biolink:close_match	EC:6.1.1.1	skos:closeMatch	Rhea
RHEA:10224	biolink:close_match	EC:2.7.1.35	skos:closeMatch	Rhea
RHEA:10232	biolink:close_match	EC:2.4.2.20	skos:closeMatch	Rhea
RHEA:10236	biolink:close_match	EC:2.4.1.114	skos:closeMatch	Rhea
RHEA:10240	biolink:close_match	EC:1.3.1.9	skos:closeMatch	Rhea
