subject	predicate	object	relation	provided_by
CHEBI:11851	biolink:binds_to	A0A3C0RUR4		Uniprot
CHEBI:11851	biolink:binds_to	A0A349HFE6		Uniprot
CHEBI:11851	biolink:binds_to	A0A525C170		Uniprot
CHEBI:11851	biolink:binds_to	A0A7X9FIE1		Uniprot
CHEBI:11851	biolink:binds_to	A0A6N8BU03		Uniprot
CHEBI:11851	biolink:binds_to	A0A358LAS6		Uniprot
CHEBI:11851	biolink:binds_to	A0A369NPN0		Uniprot
CHEBI:11851	biolink:binds_to	A0A353DB50		Uniprot
CHEBI:11851	biolink:binds_to	A0A357AVE0		Uniprot
CHEBI:142355	biolink:binds_to	A0A8D6XQM2		Uniprot
CHEBI:142355	biolink:binds_to	A0A8D6UA81		Uniprot
CHEBI:142355	biolink:binds_to	Q9ET99		Uniprot
CHEBI:142355	biolink:binds_to	Q9EUQ1		Uniprot
CHEBI:142355	biolink:binds_to	Q9ANW2		Uniprot
CHEBI:142355	biolink:binds_to	Q8KUL5		Uniprot
CHEBI:142355	biolink:binds_to	U4M917		Uniprot
CHEBI:142355	biolink:binds_to	A0A7U7H178		Uniprot
CHEBI:142355	biolink:binds_to	Q8VM11		Uniprot
CHEBI:142355	biolink:binds_to	A0A369NQ40		Uniprot
CHEBI:142355	biolink:binds_to	Q8KUL4		Uniprot
CHEBI:142355	biolink:binds_to	A0A811IFY0		Uniprot
CHEBI:142355	biolink:binds_to	A0A3G6JQ77		Uniprot
CHEBI:142355	biolink:binds_to	A0A7U7H222		Uniprot
CHEBI:142355	biolink:binds_to	A0A933YZB9		Uniprot
CHEBI:142355	biolink:binds_to	A0A369M4T9		Uniprot
CHEBI:142355	biolink:binds_to	A0A525CCI7		Uniprot
CHEBI:142355	biolink:binds_to	A0A353DB18		Uniprot
CHEBI:142355	biolink:binds_to	Q56037		Uniprot
CHEBI:142355	biolink:binds_to	Q8KUK3		Uniprot
CHEBI:142355	biolink:binds_to	A0A2S4DXL5		Uniprot
CHEBI:143788	biolink:binds_to	A0A369MXQ9		Uniprot
CHEBI:143788	biolink:binds_to	A0A3D1UBK0		Uniprot
CHEBI:143788	biolink:binds_to	A0A939W9Z4		Uniprot
CHEBI:143788	biolink:binds_to	A0A3C0RTF7		Uniprot
CHEBI:143788	biolink:binds_to	A0A7X9FLB4		Uniprot
CHEBI:143788	biolink:binds_to	A0A369MEF2		Uniprot
CHEBI:143788	biolink:binds_to	A0A357AWD3		Uniprot
CHEBI:143788	biolink:binds_to	A0A349HJU2		Uniprot
CHEBI:143788	biolink:binds_to	A0A8D6U5F7		Uniprot
CHEBI:143788	biolink:binds_to	A0A933YUQ7		Uniprot
CHEBI:143788	biolink:binds_to	A0A6N8BNF1		Uniprot
CHEBI:143788	biolink:binds_to	A0A8D6U1L5		Uniprot
CHEBI:143788	biolink:binds_to	A0A0M4HIF7		Uniprot
CHEBI:143788	biolink:binds_to	A0A2X3UUF1		Uniprot
CHEBI:143788	biolink:binds_to	A0A5C5C0X6		Uniprot
CHEBI:143788	biolink:binds_to	A0A7X7BRJ8		Uniprot
CHEBI:143788	biolink:binds_to	A0A358LDE7		Uniprot
CHEBI:145989	biolink:binds_to	A0A7X9IGF0		Uniprot
CHEBI:145989	biolink:binds_to	A0A369MPS0		Uniprot
