subject	predicate	object	relation	primary_knowledge_source
COG_CAT:J	biolink:subclass_of	COG_GROUP:1	rdfs:subClassOf	infores:cog
COG_CAT:A	biolink:subclass_of	COG_GROUP:1	rdfs:subClassOf	infores:cog
COG_CAT:K	biolink:subclass_of	COG_GROUP:1	rdfs:subClassOf	infores:cog
COG_CAT:L	biolink:subclass_of	COG_GROUP:1	rdfs:subClassOf	infores:cog
COG_CAT:B	biolink:subclass_of	COG_GROUP:1	rdfs:subClassOf	infores:cog
COG_CAT:D	biolink:subclass_of	COG_GROUP:2	rdfs:subClassOf	infores:cog
COG_CAT:Y	biolink:subclass_of	COG_GROUP:2	rdfs:subClassOf	infores:cog
COG_CAT:V	biolink:subclass_of	COG_GROUP:2	rdfs:subClassOf	infores:cog
COG_CAT:T	biolink:subclass_of	COG_GROUP:2	rdfs:subClassOf	infores:cog
COG_CAT:M	biolink:subclass_of	COG_GROUP:2	rdfs:subClassOf	infores:cog
COG_CAT:N	biolink:subclass_of	COG_GROUP:2	rdfs:subClassOf	infores:cog
COG_CAT:Z	biolink:subclass_of	COG_GROUP:2	rdfs:subClassOf	infores:cog
COG_CAT:W	biolink:subclass_of	COG_GROUP:2	rdfs:subClassOf	infores:cog
COG_CAT:U	biolink:subclass_of	COG_GROUP:2	rdfs:subClassOf	infores:cog
COG_CAT:O	biolink:subclass_of	COG_GROUP:2	rdfs:subClassOf	infores:cog
COG_CAT:C	biolink:subclass_of	COG_GROUP:3	rdfs:subClassOf	infores:cog
COG_CAT:G	biolink:subclass_of	COG_GROUP:3	rdfs:subClassOf	infores:cog
COG_CAT:E	biolink:subclass_of	COG_GROUP:3	rdfs:subClassOf	infores:cog
COG_CAT:F	biolink:subclass_of	COG_GROUP:3	rdfs:subClassOf	infores:cog
COG_CAT:H	biolink:subclass_of	COG_GROUP:3	rdfs:subClassOf	infores:cog
COG_CAT:I	biolink:subclass_of	COG_GROUP:3	rdfs:subClassOf	infores:cog
COG_CAT:P	biolink:subclass_of	COG_GROUP:3	rdfs:subClassOf	infores:cog
COG_CAT:Q	biolink:subclass_of	COG_GROUP:3	rdfs:subClassOf	infores:cog
COG_CAT:R	biolink:subclass_of	COG_GROUP:4	rdfs:subClassOf	infores:cog
COG_CAT:S	biolink:subclass_of	COG_GROUP:4	rdfs:subClassOf	infores:cog
COG:COG0001	biolink:subclass_of	COG_CAT:H	rdfs:subClassOf	infores:cog
COG:COG0002	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0003	biolink:subclass_of	COG_CAT:P	rdfs:subClassOf	infores:cog
COG:COG0004	biolink:subclass_of	COG_CAT:P	rdfs:subClassOf	infores:cog
COG:COG0005	biolink:subclass_of	COG_CAT:F	rdfs:subClassOf	infores:cog
COG:COG0006	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0007	biolink:subclass_of	COG_CAT:H	rdfs:subClassOf	infores:cog
COG:COG0008	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0009	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0010	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0011	biolink:subclass_of	COG_CAT:H	rdfs:subClassOf	infores:cog
COG:COG0012	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0013	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0014	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0015	biolink:subclass_of	COG_CAT:F	rdfs:subClassOf	infores:cog
COG:COG0016	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0017	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0018	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0019	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0020	biolink:subclass_of	COG_CAT:I	rdfs:subClassOf	infores:cog
COG:COG0021	biolink:subclass_of	COG_CAT:G	rdfs:subClassOf	infores:cog
COG:COG0022	biolink:subclass_of	COG_CAT:C	rdfs:subClassOf	infores:cog
COG:COG0023	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0024	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0025	biolink:subclass_of	COG_CAT:P	rdfs:subClassOf	infores:cog
COG:COG0026	biolink:subclass_of	COG_CAT:F	rdfs:subClassOf	infores:cog
COG:COG0027	biolink:subclass_of	COG_CAT:F	rdfs:subClassOf	infores:cog
COG:COG0028	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0028	biolink:subclass_of	COG_CAT:H	rdfs:subClassOf	infores:cog
COG:COG0029	biolink:subclass_of	COG_CAT:H	rdfs:subClassOf	infores:cog
COG:COG0030	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0031	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0033	biolink:subclass_of	COG_CAT:G	rdfs:subClassOf	infores:cog
COG:COG0034	biolink:subclass_of	COG_CAT:F	rdfs:subClassOf	infores:cog
COG:COG0035	biolink:subclass_of	COG_CAT:F	rdfs:subClassOf	infores:cog
COG:COG0036	biolink:subclass_of	COG_CAT:G	rdfs:subClassOf	infores:cog
COG:COG0037	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0038	biolink:subclass_of	COG_CAT:P	rdfs:subClassOf	infores:cog
COG:COG0039	biolink:subclass_of	COG_CAT:C	rdfs:subClassOf	infores:cog
COG:COG0040	biolink:subclass_of	COG_CAT:E	rdfs:subClassOf	infores:cog
COG:COG0041	biolink:subclass_of	COG_CAT:F	rdfs:subClassOf	infores:cog
COG:COG0042	biolink:subclass_of	COG_CAT:J	rdfs:subClassOf	infores:cog
COG:COG0043	biolink:subclass_of	COG_CAT:H	rdfs:subClassOf	infores:cog
COG:COG0044	biolink:subclass_of	COG_CAT:F	rdfs:subClassOf	infores:cog
COG:COG0045	biolink:subclass_of	COG_CAT:C	rdfs:subClassOf	infores:cog
COG:COG0046	biolink:subclass_of	COG_CAT:F	rdfs:subClassOf	infores:cog
