id	category	name	description	xref	provided_by	synonym	iri	object	predicate	relation	same_as	subject	subsets
COG_CAT:J	biolink:OntologyClass	Translation, ribosomal structure and biogenesis	Information Storage and Processing - Translation, ribosomal structure and biogenesis		infores:cog								
COG_CAT:A	biolink:OntologyClass	RNA processing and modification	Information Storage and Processing - RNA processing and modification		infores:cog								
COG_CAT:K	biolink:OntologyClass	Transcription	Information Storage and Processing - Transcription		infores:cog								
COG_CAT:L	biolink:OntologyClass	Replication, recombination and repair	Information Storage and Processing - Replication, recombination and repair		infores:cog								
COG_CAT:B	biolink:OntologyClass	Chromatin structure and dynamics	Information Storage and Processing - Chromatin structure and dynamics		infores:cog								
COG_CAT:D	biolink:OntologyClass	Cell cycle control, cell division, chromosome partitioning	Cellular Processes and Signaling - Cell cycle control, cell division, chromosome partitioning		infores:cog								
COG_CAT:Y	biolink:OntologyClass	Nuclear structure	Cellular Processes and Signaling - Nuclear structure		infores:cog								
COG_CAT:V	biolink:OntologyClass	Defense mechanisms	Cellular Processes and Signaling - Defense mechanisms		infores:cog								
COG_CAT:T	biolink:OntologyClass	Signal transduction mechanisms	Cellular Processes and Signaling - Signal transduction mechanisms		infores:cog								
COG_CAT:M	biolink:OntologyClass	Cell wall/membrane/envelope biogenesis	Cellular Processes and Signaling - Cell wall/membrane/envelope biogenesis		infores:cog								
COG_CAT:N	biolink:OntologyClass	Cell motility	Cellular Processes and Signaling - Cell motility		infores:cog								
COG_CAT:Z	biolink:OntologyClass	Cytoskeleton	Cellular Processes and Signaling - Cytoskeleton		infores:cog								
COG_CAT:W	biolink:OntologyClass	Extracellular structures	Cellular Processes and Signaling - Extracellular structures		infores:cog								
COG_CAT:U	biolink:OntologyClass	Intracellular trafficking, secretion, and vesicular transport	Cellular Processes and Signaling - Intracellular trafficking, secretion, and vesicular transport		infores:cog								
COG_CAT:O	biolink:OntologyClass	Posttranslational modification, protein turnover, chaperones	Cellular Processes and Signaling - Posttranslational modification, protein turnover, chaperones		infores:cog								
COG_CAT:C	biolink:OntologyClass	Energy production and conversion	Metabolism - Energy production and conversion		infores:cog								
COG_CAT:G	biolink:OntologyClass	Carbohydrate transport and metabolism	Metabolism - Carbohydrate transport and metabolism		infores:cog								
COG_CAT:E	biolink:OntologyClass	Amino acid transport and metabolism	Metabolism - Amino acid transport and metabolism		infores:cog								
COG_CAT:F	biolink:OntologyClass	Nucleotide transport and metabolism	Metabolism - Nucleotide transport and metabolism		infores:cog								
COG_CAT:H	biolink:OntologyClass	Coenzyme transport and metabolism	Metabolism - Coenzyme transport and metabolism		infores:cog								
COG_CAT:I	biolink:OntologyClass	Lipid transport and metabolism	Metabolism - Lipid transport and metabolism		infores:cog								
COG_CAT:P	biolink:OntologyClass	Inorganic ion transport and metabolism	Metabolism - Inorganic ion transport and metabolism		infores:cog								
COG_CAT:Q	biolink:OntologyClass	Secondary metabolites biosynthesis, transport and catabolism	Metabolism - Secondary metabolites biosynthesis, transport and catabolism		infores:cog								
COG_CAT:R	biolink:OntologyClass	General function prediction only	Poorly Characterized - General function prediction only		infores:cog								
COG_CAT:S	biolink:OntologyClass	Function unknown	Poorly Characterized - Function unknown		infores:cog								
COG_GROUP:1	biolink:OntologyClass	Information Storage and Processing	COG functional category group: Information Storage and Processing		infores:cog								
COG_GROUP:2	biolink:OntologyClass	Cellular Processes and Signaling	COG functional category group: Cellular Processes and Signaling		infores:cog								
COG_GROUP:3	biolink:OntologyClass	Metabolism	COG functional category group: Metabolism		infores:cog								
COG_GROUP:4	biolink:OntologyClass	Poorly Characterized	COG functional category group: Poorly Characterized		infores:cog								
COG:COG0001	biolink:GeneFamily	Glutamate-1-semialdehyde aminotransferase	Glutamate-1-semialdehyde aminotransferase | Gene: HemL | Pathway: Heme biosynthesis		infores:cog								
COG:COG0002	biolink:GeneFamily	N-acetyl-gamma-glutamylphosphate reductase	N-acetyl-gamma-glutamylphosphate reductase | Gene: ArgC | Pathway: Arginine biosynthesis		infores:cog								
COG:COG0003	biolink:GeneFamily	Anion-transporting ATPase, ArsA/GET3 family	Anion-transporting ATPase, ArsA/GET3 family | Gene: ArsA		infores:cog								
COG:COG0004	biolink:GeneFamily	Ammonia channel protein AmtB	Ammonia channel protein AmtB | Gene: AmtB		infores:cog								
COG:COG0005	biolink:GeneFamily	Purine nucleoside phosphorylase	Purine nucleoside phosphorylase | Gene: XapA | Pathway: Purine salvage		infores:cog								
COG:COG0006	biolink:GeneFamily	Xaa-Pro aminopeptidase	Xaa-Pro aminopeptidase | Gene: PepP		infores:cog								
COG:COG0007	biolink:GeneFamily	Uroporphyrinogen-III methylase (siroheme synthase)	Uroporphyrinogen-III methylase (siroheme synthase) | Gene: CysG | Pathway: Cobalamine/B12 biosynthesis		infores:cog								
