id	category	name	description	xref	provided_by	synonym	iri	object	predicate	relation	same_as	subject	subsets
CHEBI:4592	biolink:ChemicalSubstance												
MONDO:0016677	biolink:Disease												
MONDO:0015796	biolink:Disease												
MONDO:0003969	biolink:Disease												
MONDO:0004993	biolink:Disease												
MONDO:0007256	biolink:Disease												
MONDO:0005359	biolink:Disease												
MONDO:0031446	biolink:Disease												
MONDO:0018874	biolink:Disease												
MONDO:0021117	biolink:Disease												
MONDO:0005062	biolink:Disease												
MONDO:0018908	biolink:Disease												
MONDO:0025483	biolink:Disease												
MONDO:0009693	biolink:Disease												
MONDO:0024644	biolink:Disease												
MONDO:0005081	biolink:Disease												
MONDO:0008315	biolink:Disease												
MONDO:0005002	biolink:Disease												
MONDO:0004849	biolink:Disease												
MONDO:0002531	biolink:Disease												
CHEBI:81224	biolink:ChemicalSubstance												
MONDO:0002280	biolink:Disease												
MONDO:0019402	biolink:Disease												
MONDO:0008867	biolink:Disease												
MONDO:0006727	biolink:Disease												
MONDO:0006507	biolink:Disease												
MONDO:0013220	biolink:Disease												
MONDO:0010200	biolink:Disease												
MONDO:0005300	biolink:Disease												
MONDO:0002367	biolink:Disease												
CHEBI:136036	biolink:ChemicalSubstance												
MONDO:0019266	biolink:Disease												
MONDO:0002492	biolink:Disease												
MONDO:0004970	biolink:Disease												
MONDO:0005004	biolink:Disease												
MONDO:0004972	biolink:Disease												
MONDO:0002817	biolink:Disease												
MONDO:0008734	biolink:Disease												
MONDO:0004976	biolink:Disease												
MONDO:0007416	biolink:Disease												
MONDO:0005299	biolink:Disease												
MONDO:0021100	biolink:Disease												
MONDO:0002123	biolink:Disease												
MONDO:0004971	biolink:Disease												
MONDO:0020804	biolink:Disease												
MONDO:0005233	biolink:Disease												
MONDO:0005086	biolink:Disease												
MONDO:0000402	biolink:Disease												
MONDO:0005096	biolink:Disease												
MONDO:0006474	biolink:Disease												
MONDO:0004994	biolink:Disease												
MONDO:0005045	biolink:Disease												
MONDO:0005269	biolink:Disease												
MONDO:0002714	biolink:Disease												
MONDO:0019087	biolink:Disease												
MONDO:0022754	biolink:Disease												
MONDO:0005401	biolink:Disease												
MONDO:0005335	biolink:Disease												
MONDO:0002562	biolink:Disease												
MONDO:0005580	biolink:Disease												
MONDO:0021253	biolink:Disease												
MONDO:0021042	biolink:Disease												
MONDO:0016982	biolink:Disease												
MONDO:0005044	biolink:Disease												
MONDO:0021124	biolink:Disease												
MONDO:0005372	biolink:Disease												
MONDO:0005053	biolink:Disease												
MONDO:0006566	biolink:Disease												
MONDO:0004948	biolink:Disease												
MONDO:0018875	biolink:Disease												
MONDO:0015760	biolink:Disease												
MONDO:0015758	biolink:Disease												
MONDO:0005105	biolink:Disease												
MONDO:0004069	biolink:Disease												
MONDO:0015459	biolink:Disease												
MONDO:0009807	biolink:Disease												
MONDO:0008170	biolink:Disease												
MONDO:0021040	biolink:Disease												
MONDO:0009837	biolink:Disease												
MONDO:0006895	biolink:Disease												
MONDO:0019934	biolink:Disease												
MONDO:0015597	biolink:Disease												
MONDO:0005089	biolink:Disease												
MONDO:0017844	biolink:Disease												
MONDO:0008433	biolink:Disease												
MONDO:0021085	biolink:Disease												
MONDO:0006456	biolink:Disease												
MONDO:0025370	biolink:Disease												
MONDO:0004180	biolink:Disease												
MONDO:0006491	biolink:Disease												
MONDO:0006058	biolink:Disease												
CHEBI:15637	biolink:ChemicalSubstance												
CHEBI:190806	biolink:ChemicalSubstance												
MONDO:0013662	biolink:Disease												
MONDO:0001657	biolink:Disease												
MONDO:0007390	biolink:Disease												
MONDO:0005015	biolink:Disease												
MONDO:0000775	biolink:Disease												
MONDO:0004790	biolink:Disease												
MONDO:0005231	biolink:Disease												
MONDO:0000313	biolink:Disease												
MONDO:0006584	biolink:Disease												
