subject	predicate	object	relation	primary_knowledge_source
NCBITaxon:10	biolink:associated_with_increased_likelihood_of	MONDO:0008661	PATO:0001668	disbiome
NCBITaxon:10	biolink:associated_with_decreased_likelihood_of	MONDO:0008171	PATO:0001668	disbiome
NCBITaxon:100134	biolink:associated_with_decreased_likelihood_of	MONDO:0005147	PATO:0001668	disbiome
NCBITaxon:100175	biolink:associated_with_increased_likelihood_of	MONDO:0005052	PATO:0001668	disbiome
NCBITaxon:100175	biolink:associated_with_increased_likelihood_of	MONDO:0005316	PATO:0001668	disbiome
NCBITaxon:100176	biolink:associated_with_increased_likelihood_of	MONDO:0005180	PATO:0001668	disbiome
NCBITaxon:1004300	biolink:associated_with_increased_likelihood_of	MONDO:0007147	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_decreased_likelihood_of	MONDO:0005083	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_decreased_likelihood_of	MONDO:0007256	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_increased_likelihood_of	MONDO:0004981	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_increased_likelihood_of	MONDO:0020590	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_increased_likelihood_of	MONDO:0005301	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_increased_likelihood_of	MONDO:0005101	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_increased_likelihood_of	MONDO:0005252	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_decreased_likelihood_of	MONDO:0011438	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_increased_likelihood_of	HP:0002019	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_increased_likelihood_of	MONDO:0100096	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_increased_likelihood_of	MONDO:0013433	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_increased_likelihood_of	HP:0012378	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_increased_likelihood_of	MONDO:0005300	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_increased_likelihood_of	MONDO:0005027	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_increased_likelihood_of	MONDO:0016573	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_increased_likelihood_of	MONDO:0005575	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_increased_likelihood_of	HP:0002013	PATO:0001668	disbiome
NCBITaxon:100883	biolink:associated_with_decreased_likelihood_of	MONDO:0005011	PATO:0001668	disbiome
NCBITaxon:100886	biolink:associated_with_increased_likelihood_of	MONDO:0005090	PATO:0001668	disbiome
NCBITaxon:100886	biolink:associated_with_increased_likelihood_of	MONDO:0005109	PATO:0001668	disbiome
NCBITaxon:1013	biolink:associated_with_increased_likelihood_of	MONDO:0005148	PATO:0001668	disbiome
NCBITaxon:1013	biolink:associated_with_increased_likelihood_of	MONDO:0004979	PATO:0001668	disbiome
NCBITaxon:1013	biolink:associated_with_decreased_likelihood_of	MONDO:0005627	PATO:0001668	disbiome
NCBITaxon:101483	biolink:associated_with_increased_likelihood_of	MONDO:0005052	PATO:0001668	disbiome
NCBITaxon:1017	biolink:associated_with_increased_likelihood_of	MONDO:0005515	PATO:0001668	disbiome
NCBITaxon:1017	biolink:associated_with_decreased_likelihood_of	MONDO:0007915	PATO:0001668	disbiome
NCBITaxon:1017	biolink:associated_with_increased_likelihood_of	MONDO:0011122	PATO:0001668	disbiome
NCBITaxon:1017	biolink:associated_with_increased_likelihood_of	MONDO:0044925	PATO:0001668	disbiome
NCBITaxon:1017280	biolink:associated_with_decreased_likelihood_of	MONDO:0100371	PATO:0001668	disbiome
NCBITaxon:1017280	biolink:associated_with_increased_likelihood_of	MONDO:0005109	PATO:0001668	disbiome
NCBITaxon:1017280	biolink:associated_with_decreased_likelihood_of	MONDO:0005575	PATO:0001668	disbiome
NCBITaxon:1017280	biolink:associated_with_decreased_likelihood_of	MONDO:0005011	PATO:0001668	disbiome
NCBITaxon:1017280	biolink:associated_with_decreased_likelihood_of	MONDO:0005146	PATO:0001668	disbiome
NCBITaxon:1018	biolink:associated_with_increased_likelihood_of	MONDO:0009411	PATO:0001668	disbiome
NCBITaxon:1018	biolink:associated_with_decreased_likelihood_of	MONDO:0005276	PATO:0001668	disbiome
NCBITaxon:1018	biolink:associated_with_decreased_likelihood_of	MONDO:0005148	PATO:0001668	disbiome
NCBITaxon:1018	biolink:associated_with_increased_likelihood_of	MONDO:0005109	PATO:0001668	disbiome
NCBITaxon:1018	biolink:associated_with_increased_likelihood_of	MONDO:0005161	PATO:0001668	disbiome
NCBITaxon:1018	biolink:associated_with_decreased_likelihood_of	MONDO:0005216	PATO:0001668	disbiome
NCBITaxon:1018	biolink:associated_with_increased_likelihood_of	MONDO:0044925	PATO:0001668	disbiome
NCBITaxon:1018	biolink:associated_with_increased_likelihood_of	MONDO:0005148	PATO:0001668	disbiome
NCBITaxon:1018	biolink:associated_with_decreased_likelihood_of	MONDO:0008608	PATO:0001668	disbiome
NCBITaxon:1018	biolink:associated_with_increased_likelihood_of	MONDO:0011122	PATO:0001668	disbiome
NCBITaxon:1018	biolink:associated_with_decreased_likelihood_of	MONDO:0044926	PATO:0001668	disbiome
NCBITaxon:1019	biolink:associated_with_decreased_likelihood_of	MONDO:0008608	PATO:0001668	disbiome
NCBITaxon:1019	biolink:associated_with_decreased_likelihood_of	MONDO:0005076	PATO:0001668	disbiome
NCBITaxon:1019	biolink:associated_with_increased_likelihood_of	MONDO:0005148	PATO:0001668	disbiome
NCBITaxon:1019	biolink:associated_with_increased_likelihood_of	MONDO:0011122	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_decreased_likelihood_of	MONDO:0005148	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_decreased_likelihood_of	MONDO:0015183	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0020590	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_decreased_likelihood_of	MONDO:0005252	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_decreased_likelihood_of	MONDO:0000705	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0013433	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0005052	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0005083	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_decreased_likelihood_of	MONDO:0005300	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_decreased_likelihood_of	MONDO:0017376	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_decreased_likelihood_of	MONDO:0007079	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0008383	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_decreased_likelihood_of	MONDO:0005575	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_decreased_likelihood_of	MONDO:0000527	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0011122	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0018229	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_decreased_likelihood_of	MONDO:0001751	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_decreased_likelihood_of	MONDO:0005003	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0005301	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0005406	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0000594	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0005306	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0005011	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_decreased_likelihood_of	MONDO:0005180	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0007256	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0007079	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0020776	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_decreased_likelihood_of	MONDO:0005011	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0005010	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0008219	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_decreased_likelihood_of	MONDO:0007256	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_increased_likelihood_of	MONDO:0005258	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_decreased_likelihood_of	MONDO:0005010	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_decreased_likelihood_of	MONDO:0000703	PATO:0001668	disbiome
NCBITaxon:102106	biolink:associated_with_decreased_likelihood_of	MONDO:0005109	PATO:0001668	disbiome
