id	category	name	description	xref	provided_by	synonym	iri	object	predicate	relation	same_as	subject	subsets
MONDO:0005260	biolink:Disease												
NCBITaxon:1591	biolink:OrganismTaxon												
NCBITaxon:885	biolink:OrganismTaxon												
MONDO:0005301	biolink:Disease												
NCBITaxon:84112	biolink:OrganismTaxon												
NCBITaxon:1308	biolink:OrganismTaxon												
NCBITaxon:853	biolink:OrganismTaxon												
NCBITaxon:649756	biolink:OrganismTaxon												
NCBITaxon:39491	biolink:OrganismTaxon												
NCBITaxon:1506	biolink:OrganismTaxon												
NCBITaxon:46506	biolink:OrganismTaxon												
NCBITaxon:310298	biolink:OrganismTaxon												
NCBITaxon:706562	biolink:OrganismTaxon												
NCBITaxon:28052	biolink:OrganismTaxon												
NCBITaxon:841	biolink:OrganismTaxon												
NCBITaxon:40545	biolink:OrganismTaxon												
NCBITaxon:387090	biolink:OrganismTaxon												
NCBITaxon:41211	biolink:OrganismTaxon												
NCBITaxon:165179	biolink:OrganismTaxon												
NCBITaxon:437897	biolink:OrganismTaxon												
MONDO:0005011	biolink:Disease												
NCBITaxon:33038	biolink:OrganismTaxon												
NCBITaxon:218538	biolink:OrganismTaxon												
NCBITaxon:1680	biolink:OrganismTaxon												
NCBITaxon:33033	biolink:OrganismTaxon												
NCBITaxon:28132	biolink:OrganismTaxon												
NCBITaxon:1261	biolink:OrganismTaxon												
NCBITaxon:1280	biolink:OrganismTaxon												
NCBITaxon:1328	biolink:OrganismTaxon												
NCBITaxon:1309	biolink:OrganismTaxon												
NCBITaxon:827	biolink:OrganismTaxon												
NCBITaxon:824	biolink:OrganismTaxon												
NCBITaxon:1338	biolink:OrganismTaxon												
MONDO:0005101	biolink:Disease												
NCBITaxon:28037	biolink:OrganismTaxon												
MONDO:0005052	biolink:Disease												
NCBITaxon:41200	biolink:OrganismTaxon												
NCBITaxon:33035	biolink:OrganismTaxon												
NCBITaxon:29465	biolink:OrganismTaxon												
NCBITaxon:29523	biolink:OrganismTaxon												
NCBITaxon:287	biolink:OrganismTaxon												
MONDO:0007329	biolink:Disease												
NCBITaxon:1686	biolink:OrganismTaxon												
NCBITaxon:216816	biolink:OrganismTaxon												
NCBITaxon:1689	biolink:OrganismTaxon												
NCBITaxon:35783	biolink:OrganismTaxon												
NCBITaxon:42895	biolink:OrganismTaxon												
MONDO:0005148	biolink:Disease												
NCBITaxon:59823	biolink:OrganismTaxon												
NCBITaxon:239935	biolink:OrganismTaxon												
NCBITaxon:329854	biolink:OrganismTaxon												
NCBITaxon:208479	biolink:OrganismTaxon												
NCBITaxon:154046	biolink:OrganismTaxon												
NCBITaxon:1547	biolink:OrganismTaxon												
NCBITaxon:1512	biolink:OrganismTaxon												
NCBITaxon:562	biolink:OrganismTaxon												
NCBITaxon:239759	biolink:OrganismTaxon												
NCBITaxon:1869337	biolink:OrganismTaxon												
NCBITaxon:292632	biolink:OrganismTaxon												
NCBITaxon:186803	biolink:OrganismTaxon												
NCBITaxon:729	biolink:OrganismTaxon												
NCBITaxon:166486	biolink:OrganismTaxon												
NCBITaxon:360807	biolink:OrganismTaxon												
NCBITaxon:142586	biolink:OrganismTaxon												
NCBITaxon:128827	biolink:OrganismTaxon												
MONDO:0011122	biolink:Disease												
NCBITaxon:821	biolink:OrganismTaxon												
MONDO:0005312	biolink:Disease												
NCBITaxon:1306	biolink:OrganismTaxon												
NCBITaxon:561	biolink:OrganismTaxon												
NCBITaxon:28050	biolink:OrganismTaxon												
NCBITaxon:216851	biolink:OrganismTaxon												
NCBITaxon:904	biolink:OrganismTaxon												
NCBITaxon:239934	biolink:OrganismTaxon												
NCBITaxon:544	biolink:OrganismTaxon												
NCBITaxon:171	biolink:OrganismTaxon												
NCBITaxon:53246	biolink:OrganismTaxon												
NCBITaxon:79206	biolink:OrganismTaxon												
NCBITaxon:1125	biolink:OrganismTaxon												
NCBITaxon:429	biolink:OrganismTaxon												
MONDO:0015183	biolink:Disease												
NCBITaxon:625	biolink:OrganismTaxon												
MONDO:0012268	biolink:Disease												
NCBITaxon:40519	biolink:OrganismTaxon												
NCBITaxon:40518	biolink:OrganismTaxon												
MONDO:0002358	biolink:Disease												
NCBITaxon:68766	biolink:OrganismTaxon												
NCBITaxon:543311	biolink:OrganismTaxon												
NCBITaxon:1262	biolink:OrganismTaxon												
NCBITaxon:39948	biolink:OrganismTaxon												
NCBITaxon:47293	biolink:OrganismTaxon												
NCBITaxon:616	biolink:OrganismTaxon												
NCBITaxon:229037	biolink:OrganismTaxon												
NCBITaxon:638847	biolink:OrganismTaxon												
NCBITaxon:52228	biolink:OrganismTaxon												
NCBITaxon:409	biolink:OrganismTaxon												
NCBITaxon:186804	biolink:OrganismTaxon												
NCBITaxon:970	biolink:OrganismTaxon												
NCBITaxon:2108	biolink:OrganismTaxon												
NCBITaxon:43996	biolink:OrganismTaxon												
NCBITaxon:416916	biolink:OrganismTaxon												
NCBITaxon:29387	biolink:OrganismTaxon												
NCBITaxon:166	biolink:OrganismTaxon												
NCBITaxon:479	biolink:OrganismTaxon												
NCBITaxon:44737	biolink:OrganismTaxon												
NCBITaxon:218	biolink:OrganismTaxon												
NCBITaxon:93217	biolink:OrganismTaxon												
NCBITaxon:76631	biolink:OrganismTaxon												
MONDO:0005083	biolink:Disease												
NCBITaxon:1743	biolink:OrganismTaxon												
MONDO:0009061	biolink:Disease												
NCBITaxon:647	biolink:OrganismTaxon												
NCBITaxon:416555	biolink:OrganismTaxon												
NCBITaxon:75984	biolink:OrganismTaxon												
NCBITaxon:916	biolink:OrganismTaxon												
NCBITaxon:177412	biolink:OrganismTaxon												
NCBITaxon:37915	biolink:OrganismTaxon												
NCBITaxon:1488	biolink:OrganismTaxon												
NCBITaxon:1685	biolink:OrganismTaxon												
NCBITaxon:2420	biolink:OrganismTaxon												
NCBITaxon:39765	biolink:OrganismTaxon												
NCBITaxon:341027	biolink:OrganismTaxon												
NCBITaxon:89966	biolink:OrganismTaxon												
NCBITaxon:137816	biolink:OrganismTaxon												
NCBITaxon:212365	biolink:OrganismTaxon												
NCBITaxon:120580	biolink:OrganismTaxon												
NCBITaxon:266812	biolink:OrganismTaxon												
NCBITaxon:38289	biolink:OrganismTaxon												
MONDO:0005002	biolink:Disease												
NCBITaxon:1313	biolink:OrganismTaxon												
NCBITaxon:573	biolink:OrganismTaxon												
