subject	predicate	object	relation	primary_knowledge_source
KEGG:K00001	biolink:participates_in	KEGG:map00010	RO:0000056	infores:kegg
KEGG:K00001	biolink:participates_in	KEGG:map00071	RO:0000056	infores:kegg
KEGG:K00001	biolink:participates_in	KEGG:map00350	RO:0000056	infores:kegg
KEGG:K00001	biolink:participates_in	KEGG:map00620	RO:0000056	infores:kegg
KEGG:K00001	biolink:participates_in	KEGG:map00625	RO:0000056	infores:kegg
KEGG:K00001	biolink:participates_in	KEGG:map00626	RO:0000056	infores:kegg
KEGG:K00001	biolink:participates_in	KEGG:map00830	RO:0000056	infores:kegg
KEGG:K00001	biolink:participates_in	KEGG:map00980	RO:0000056	infores:kegg
KEGG:K00001	biolink:participates_in	KEGG:map00982	RO:0000056	infores:kegg
KEGG:K00001	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00001	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00001	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00001	biolink:participates_in	KEGG:map01220	RO:0000056	infores:kegg
KEGG:K00002	biolink:participates_in	KEGG:map00010	RO:0000056	infores:kegg
KEGG:K00002	biolink:participates_in	KEGG:map00040	RO:0000056	infores:kegg
KEGG:K00002	biolink:participates_in	KEGG:map00053	RO:0000056	infores:kegg
KEGG:K00002	biolink:participates_in	KEGG:map00561	RO:0000056	infores:kegg
KEGG:K00002	biolink:participates_in	KEGG:map00620	RO:0000056	infores:kegg
KEGG:K00002	biolink:participates_in	KEGG:map00930	RO:0000056	infores:kegg
KEGG:K00002	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00002	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00002	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00002	biolink:participates_in	KEGG:map01220	RO:0000056	infores:kegg
KEGG:K00002	biolink:participates_in	KEGG:map01240	RO:0000056	infores:kegg
KEGG:K00002	biolink:participates_in	KEGG:map05208	RO:0000056	infores:kegg
KEGG:K00002	biolink:participates_in	KEGG:M00014	RO:0000056	infores:kegg
KEGG:K00002	biolink:participates_in	KEGG:M00129	RO:0000056	infores:kegg
KEGG:K00003	biolink:participates_in	KEGG:map00260	RO:0000056	infores:kegg
KEGG:K00003	biolink:participates_in	KEGG:map00270	RO:0000056	infores:kegg
KEGG:K00003	biolink:participates_in	KEGG:map00300	RO:0000056	infores:kegg
KEGG:K00003	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00003	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00003	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00003	biolink:participates_in	KEGG:map01230	RO:0000056	infores:kegg
KEGG:K00003	biolink:participates_in	KEGG:M00017	RO:0000056	infores:kegg
KEGG:K00003	biolink:participates_in	KEGG:M00018	RO:0000056	infores:kegg
KEGG:K00004	biolink:participates_in	KEGG:map00650	RO:0000056	infores:kegg
KEGG:K00004	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00005	biolink:participates_in	KEGG:map00561	RO:0000056	infores:kegg
KEGG:K00005	biolink:participates_in	KEGG:map00640	RO:0000056	infores:kegg
KEGG:K00005	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00006	biolink:participates_in	KEGG:map00564	RO:0000056	infores:kegg
KEGG:K00006	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00006	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00006	biolink:participates_in	KEGG:map04011	RO:0000056	infores:kegg
KEGG:K00007	biolink:participates_in	KEGG:map00040	RO:0000056	infores:kegg
KEGG:K00007	biolink:participates_in	KEGG:map00051	RO:0000056	infores:kegg
KEGG:K00007	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00008	biolink:participates_in	KEGG:map00040	RO:0000056	infores:kegg
KEGG:K00008	biolink:participates_in	KEGG:map00051	RO:0000056	infores:kegg
KEGG:K00008	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00008	biolink:participates_in	KEGG:M00014	RO:0000056	infores:kegg
KEGG:K00009	biolink:participates_in	KEGG:map00051	RO:0000056	infores:kegg
KEGG:K00009	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00010	biolink:participates_in	KEGG:map00521	RO:0000056	infores:kegg
KEGG:K00010	biolink:participates_in	KEGG:map00562	RO:0000056	infores:kegg
KEGG:K00010	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00010	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00010	biolink:participates_in	KEGG:map01120	RO:0000056	infores:kegg
KEGG:K00011	biolink:participates_in	KEGG:map00040	RO:0000056	infores:kegg
KEGG:K00011	biolink:participates_in	KEGG:map00051	RO:0000056	infores:kegg
KEGG:K00011	biolink:participates_in	KEGG:map00052	RO:0000056	infores:kegg
KEGG:K00011	biolink:participates_in	KEGG:map00561	RO:0000056	infores:kegg
KEGG:K00011	biolink:participates_in	KEGG:map00790	RO:0000056	infores:kegg
KEGG:K00011	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00012	biolink:participates_in	KEGG:map00040	RO:0000056	infores:kegg
KEGG:K00012	biolink:participates_in	KEGG:map00053	RO:0000056	infores:kegg
KEGG:K00012	biolink:participates_in	KEGG:map00520	RO:0000056	infores:kegg
KEGG:K00012	biolink:participates_in	KEGG:map00541	RO:0000056	infores:kegg
KEGG:K00012	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00012	biolink:participates_in	KEGG:map01240	RO:0000056	infores:kegg
KEGG:K00012	biolink:participates_in	KEGG:map01250	RO:0000056	infores:kegg
KEGG:K00012	biolink:participates_in	KEGG:M00014	RO:0000056	infores:kegg
KEGG:K00012	biolink:participates_in	KEGG:M00129	RO:0000056	infores:kegg
KEGG:K00012	biolink:participates_in	KEGG:M00761	RO:0000056	infores:kegg
KEGG:K00012	biolink:participates_in	KEGG:M00997	RO:0000056	infores:kegg
KEGG:K00012	biolink:participates_in	KEGG:M00999	RO:0000056	infores:kegg
KEGG:K00013	biolink:participates_in	KEGG:map00340	RO:0000056	infores:kegg
KEGG:K00013	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00013	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00013	biolink:participates_in	KEGG:map01230	RO:0000056	infores:kegg
KEGG:K00013	biolink:participates_in	KEGG:M00026	RO:0000056	infores:kegg
KEGG:K00014	biolink:participates_in	KEGG:map00400	RO:0000056	infores:kegg
KEGG:K00014	biolink:participates_in	KEGG:map00999	RO:0000056	infores:kegg
KEGG:K00014	biolink:participates_in	KEGG:map01100	RO:0000056	infores:kegg
KEGG:K00014	biolink:participates_in	KEGG:map01110	RO:0000056	infores:kegg
KEGG:K00014	biolink:participates_in	KEGG:map01230	RO:0000056	infores:kegg
