proposed_id	kind	label_proposed	label_release	n_diffs	diffs
METPO:1007005	class	flagellar arrangement	flagellar arrangement	3	DEFINITION: proposed='A phenotypic quality describing the arrangement pattern of flagella on a bacterial or archaeal cell. Parent class for METPO:1005031-1005037 (peritrichous, polar, amphitrichous, lophotrichous, monotrichous, lateral, subpolar).' | release='A phenotype characterized by the arrangement pattern of flagella on a bacterial or archaeal cell (e.g. peritrichous, polar, amphitrichous, lophotrichous, monotrichous, lateral, subpolar).' ;; PARENT: proposed=METPO:1000000 | release_parents=['METPO:1000059'] ;; XREFS: proposed_only=['GO:0001539'] | release_only=[]
METPO:1007006	class	polytrichous flagellation	polytrichous flagellation	1	DEFINITION: proposed='Multiple flagella per cell (typically a tuft); often combined with polar attachment.' | release='A flagellar arrangement in which multiple flagella (typically a tuft) are present per cell, often combined with polar attachment.'
METPO:1007062	class	colony morphology	colony morphology	3	DEFINITION: proposed='A phenotypic quality describing macroscopic colony characteristics (shape, margin, elevation, surface, color, size).' | release='A phenotype characterized by macroscopic colony characteristics such as shape, margin, elevation, surface, colour, and size.' ;; PARENT: proposed=METPO:1000000 | release_parents=['METPO:1000059'] ;; XREFS: proposed_only=['PATO:0000052'] | release_only=[]
METPO:1007063	class	colony shape	colony shape	2	DEFINITION: proposed='Subaspect of colony morphology describing the overall macroscopic colony outline as observed on solid medium.' | release='A colony morphology characterized by the overall macroscopic colony outline as observed on solid medium.' ;; XREFS: proposed_only=['PATO:0000052'] | release_only=[]
METPO:1007064	class	circular colony	circular colony	1	DEFINITION: proposed='Colony with a regular round outline.' | release='A colony shape that has a regular round outline.'
METPO:1007065	class	irregular colony	irregular colony	1	DEFINITION: proposed='Colony with an irregular (non-round, non-rhizoid) outline.' | release='A colony shape that has an irregular (non-round, non-rhizoid) outline.'
METPO:1007066	class	filamentous colony	filamentous colony	1	DEFINITION: proposed='Colony with thread-like or filamentous outline.' | release='A colony shape that has a thread-like or filamentous outline.'
METPO:1007067	class	punctiform colony	punctiform colony	1	DEFINITION: proposed='Very small (pinpoint) colony, typically <1 mm diameter.' | release='A colony shape that is very small (pinpoint), typically <1 mm in diameter.'
METPO:1007068	class	rhizoid colony	rhizoid colony	1	DEFINITION: proposed='Colony with branching, root-like outline.' | release='A colony shape that has a branching, root-like outline.'
METPO:1007069	class	fried-egg-shaped colony	fried-egg-shaped colony	1	DEFINITION: proposed='Colony with raised opaque centre and translucent peripheral zone, resembling a fried egg.' | release='A colony shape that has a raised opaque centre and a translucent peripheral zone, resembling a fried egg.'
METPO:1007070	class	pressure tolerance	pressure tolerance	2	DEFINITION: proposed='A phenotypic quality describing the ability to grow under elevated hydrostatic pressure.' | release='A phenotype characterized by the ability to grow under elevated hydrostatic pressure.' ;; PARENT: proposed=METPO:1000000 | release_parents=['METPO:1000059']
METPO:1007071	class	barophile phenotype	barophile phenotype	1	DEFINITION: proposed='An organism that requires or tolerates elevated hydrostatic pressure for growth.' | release='A pressure tolerance in which an organism requires or tolerates elevated hydrostatic pressure for growth.'
METPO:1007072	class	radiation tolerance	radiation tolerance	2	DEFINITION: proposed='A phenotypic quality describing the ability to withstand ionizing or UV radiation.' | release='A phenotype characterized by the ability to withstand ionizing or UV radiation.' ;; PARENT: proposed=METPO:1000000 | release_parents=['METPO:1000059']
METPO:1007073	class	osmotic tolerance	osmotic tolerance	2	DEFINITION: proposed='A phenotypic quality describing the ability to grow under high osmotic pressure (non-NaCl).' | release='A phenotype characterized by the ability to grow under high osmotic pressure (non-NaCl).' ;; PARENT: proposed=METPO:1000000 | release_parents=['METPO:1000059']
