CHEBI:10	CAS-RN:21008-67-3
CHEBI:100	CAS-RN:32383-76-9
CHEBI:10000	CAS-RN:87605-72-9
CHEBI:10001	CAS-RN:477-32-7
CHEBI:10002	CAS-RN:82-57-5
CHEBI:10003	CAS-RN:53797-35-6
CHEBI:10014	CAS-RN:3371-85-5
CHEBI:100147	CAS-RN:389-08-2
CHEBI:10015	CAS-RN:2134-83-0
CHEBI:10016	CAS-RN:19772-79-3
CHEBI:10017	CAS-RN:488-38-0
CHEBI:10018	CAS-RN:66575-40-4
CHEBI:10019	CAS-RN:125-15-5
CHEBI:10022	CAS-RN:51481-10-8
CHEBI:10023	CAS-RN:137234-62-9
CHEBI:10024	CAS-RN:3162-56-9
CHEBI:100241	CAS-RN:85721-33-1
CHEBI:100246	CAS-RN:70458-96-7
CHEBI:10025	CAS-RN:904-62-1
CHEBI:10026	CAS-RN:1047-87-6
CHEBI:10032	CAS-RN:62994-47-2
CHEBI:10033	CAS-RN:81-81-2
CHEBI:10034	CAS-RN:129-06-6
CHEBI:10037	CAS-RN:524-12-9
CHEBI:10038	CAS-RN:51225-30-0
CHEBI:10039	CAS-RN:37239-51-3
CHEBI:10041	CAS-RN:30655-48-2
CHEBI:10042	CAS-RN:10183-74-1
CHEBI:10043	CAS-RN:632-85-9
CHEBI:10044	CAS-RN:61301-33-5
CHEBI:10045	CAS-RN:20079-30-5
CHEBI:10046	CAS-RN:54954-14-2
CHEBI:10049	CAS-RN:6253-56-1
CHEBI:10050	CAS-RN:183854-11-7
CHEBI:10055	CAS-RN:81801-12-9
CHEBI:10056	CAS-RN:131986-45-3
CHEBI:10057	CAS-RN:92-83-1
CHEBI:10058	CAS-RN:26791-73-1
CHEBI:10061	CAS-RN:580-49-4
CHEBI:10070	CAS-RN:90-24-4
CHEBI:10071	CAS-RN:26791-72-0
CHEBI:10072	CAS-RN:59-00-7
CHEBI:10073	CAS-RN:553-19-5
CHEBI:10075	CAS-RN:76907-79-4
CHEBI:10076	CAS-RN:65017-97-2
CHEBI:10082	CAS-RN:526-36-3
CHEBI:10083	CAS-RN:517-71-5
CHEBI:10084	CAS-RN:523-02-4
CHEBI:10086	CAS-RN:512-06-1
CHEBI:10087	CAS-RN:110996-52-6
CHEBI:10088	CAS-RN:13060-14-5
CHEBI:10089	CAS-RN:500-62-9
CHEBI:10092	CAS-RN:80311-28-0
CHEBI:10093	CAS-RN:146-48-5
CHEBI:10095	CAS-RN:88937-61-5
CHEBI:10096	CAS-RN:1160-54-9
CHEBI:10097	CAS-RN:2646-61-9
CHEBI:10098	CAS-RN:65178-14-5
CHEBI:10100	CAS-RN:107753-78-6
CHEBI:10101	CAS-RN:7481-89-2
CHEBI:10102	CAS-RN:151319-34-5
CHEBI:10103	CAS-RN:16838-87-2
CHEBI:10105	CAS-RN:23885-43-0
CHEBI:10106	CAS-RN:17924-92-4
CHEBI:101064	CAS-RN:161582-11-2
CHEBI:101085	CAS-RN:120-97-8
CHEBI:10109	CAS-RN:34302-19-7
CHEBI:101096	CAS-RN:452-35-7
CHEBI:101097	CAS-RN:189197-69-1
CHEBI:10110	CAS-RN:30516-87-1
CHEBI:10111	CAS-RN:645-02-3
CHEBI:10112	CAS-RN:111406-87-2
CHEBI:10115	CAS-RN:495-60-3
CHEBI:10116	CAS-RN:148717-77-5
CHEBI:10117	CAS-RN:17811-28-8
CHEBI:10118	CAS-RN:99257-12-2
CHEBI:10119	CAS-RN:146939-27-7
CHEBI:10120	CAS-RN:73667-51-3
CHEBI:10121	CAS-RN:51059-42-8
CHEBI:10122	CAS-RN:55839-64-0
CHEBI:10123	CAS-RN:71117-51-6
CHEBI:10124	CAS-RN:139264-17-8
CHEBI:10125	CAS-RN:82626-48-0
CHEBI:10126	CAS-RN:99294-93-6
CHEBI:10127	CAS-RN:68291-97-4
CHEBI:101278	CAS-RN:42399-41-7
CHEBI:10129	CAS-RN:14933-09-6
CHEBI:10130	CAS-RN:545-45-9
CHEBI:10135	CAS-RN:61871-71-4
CHEBI:101355	CAS-RN:42521-82-4
CHEBI:10136	CAS-RN:23513-14-6
CHEBI:10137	CAS-RN:27113-22-0
CHEBI:10138	CAS-RN:555-66-8
CHEBI:101381	CAS-RN:88321-09-9
CHEBI:1014	CAS-RN:2096-10-8
CHEBI:1015	CAS-RN:88-21-1
CHEBI:10150	CAS-RN:88847-05-6
CHEBI:101853	CAS-RN:175463-14-6
CHEBI:101854	CAS-RN:201410-53-9
CHEBI:1019	CAS-RN:13222-48-5
CHEBI:102029	CAS-RN:68367-52-2
CHEBI:102030	CAS-RN:870093-23-5
CHEBI:10213	CAS-RN:638-95-9
CHEBI:102130	CAS-RN:127-79-7
CHEBI:10214	CAS-RN:23605-05-2
CHEBI:10216	CAS-RN:469-61-4
CHEBI:102166	CAS-RN:76-75-5
CHEBI:10217	CAS-RN:77-53-2
CHEBI:10219	CAS-RN:20562-03-2
CHEBI:10220	CAS-RN:19912-83-5
CHEBI:10221	CAS-RN:3856-25-5
CHEBI:102216	CAS-RN:151-83-7
CHEBI:10222	CAS-RN:93973-22-9
CHEBI:10223	CAS-RN:24480-38-4
CHEBI:10224	CAS-RN:17699-14-8
CHEBI:10225	CAS-RN:4176-17-4
CHEBI:10226	CAS-RN:2221-81-0
CHEBI:102265	CAS-RN:57-68-1
CHEBI:102328	CAS-RN:932-53-6
CHEBI:102484	CAS-RN:127-69-5
CHEBI:102485	CAS-RN:14599-46-3
CHEBI:102516	CAS-RN:80-35-3
CHEBI:102524	CAS-RN:77-26-9
CHEBI:1026	CAS-RN:5418-95-1
CHEBI:102719	CAS-RN:89014-18-6
CHEBI:10274	CAS-RN:28282-27-1
CHEBI:10275	CAS-RN:506-23-0
CHEBI:10276	CAS-RN:511-09-1
CHEBI:10278	CAS-RN:473-16-5
CHEBI:10280	CAS-RN:502-61-4
CHEBI:10284	CAS-RN:79-69-6
CHEBI:10285	CAS-RN:568-50-3
CHEBI:10295	CAS-RN:470-15-5
CHEBI:10302	CAS-RN:1075-61-2
CHEBI:10302	CAS-RN:18840-47-6
CHEBI:10303	CAS-RN:305-96-4
CHEBI:10304	CAS-RN:829-74-3
CHEBI:10319	CAS-RN:90-15-3
CHEBI:10320	CAS-RN:27710-10-7
CHEBI:103210	CAS-RN:85-42-7
CHEBI:10322	CAS-RN:596-55-4
CHEBI:10324	CAS-RN:568-53-6
CHEBI:10328	CAS-RN:88256-05-7
CHEBI:10329	CAS-RN:132-13-8
CHEBI:10330	CAS-RN:115-71-9
CHEBI:10332	CAS-RN:17909-77-2
CHEBI:10333	CAS-RN:481-18-5
CHEBI:10334	CAS-RN:99-86-5
CHEBI:10335	CAS-RN:1081-34-1
CHEBI:10339	CAS-RN:15764-04-2
CHEBI:10341	CAS-RN:14912-44-8
CHEBI:10352	CAS-RN:559-70-6
CHEBI:10353	CAS-RN:5273-86-9
CHEBI:10357	CAS-RN:87-44-5
CHEBI:10359	CAS-RN:18431-82-8
CHEBI:10360	CAS-RN:1117-61-9
CHEBI:10361	CAS-RN:161748-46-5
CHEBI:10362	CAS-RN:472-70-8
CHEBI:10363	CAS-RN:13744-15-5
CHEBI:10364	CAS-RN:2221-82-1
CHEBI:10365	CAS-RN:31008-70-5
