CHEBI_ID	substrate	KEGG_ID	CAS_RN_ID	EC_ID	enzyme	pseudo_CURIE	reaction_name
CHEBI:16828	L-tryptophan	kegg.compound:C00078	CAS-RN:73-22-3	EC:4.1.99.1	tryptophanase	API_20A:IND	Indole production
CHEBI:16199	Urea	kegg.compound:C00086	CAS-RN:57-13-6	EC:3.5.1.5	Urease	API_20A:URE	Urease/urea hydrolysis
CHEBI:17634	D-glucose	kegg.compound:C00031	CAS-RN:50-99-7			API_20A:GLU	Acid from D-glucose
CHEBI:16899	D-mannitol	kegg.compound:C00392	CAS-RN:69-65-8			API_20A:MAN	Acid from D-mannitol
CHEBI:17716	D-lactose (lactose)	kegg.compound:C00243	CAS-RN:63-42-3			API_20A:LAC	Acid from lactose
CHEBI:17992	D-saccharose (sucrose)	kegg.compound:C00089	CAS-RN:57-50-1			API_20A:SAC	Acid from sucrose
CHEBI:17306	D-maltose (maltose)	kegg.compound:C00208	CAS-RN:69-79-4			API_20A:MAL	Acid from maltose
CHEBI:17814	Salicin	kegg.compound:C01451	CAS-RN:138-52-3			API_20A:SAL	Acid from salicin
CHEBI:65327	D-xylose	kegg.compound:C00181	CAS-RN:58-86-6			API_20A:XYL	Acid from D-xylose
CHEBI:30849	L-arabinose	kegg.compound:C00259	CAS-RN:147-81-9			API_20A:ARA	Acid from L-arabinose
CHEBI:5291	Gelatin	kegg.compound:C01498	CAS-RN:9000-70-8			API_20A:GEL	Gelatinase/gelatin hydrolysis
CHEBI:4853	Esculin ferric citrate	kegg.compound:C09264	CAS-RN:531-75-9	EC:3.2.1.21	beta-glucosidase	API_20A:ESC	Esculin hydrolysis/beta-glucosidase
CHEBI:17754	Glycerol	kegg.compound:C00116	CAS-RN:56-81-5			API_20A:GLY	Acid from glycerol
CHEBI:17057	D-cellobiose (cellobiose)	kegg.compound:C00185	CAS-RN:528-50-7			API_20A:CEL	Acid from cellobiose
