orig_node	entity_uri
Lactobacillus	NCBITaxon:1591
Desulfovibrio	NCBITaxon:885
Clostridia cluster I	NCBITaxon:not_found
Eggerthella lenta	NCBITaxon:84112
Streptococcus thermophiles	NCBITaxon:1308
Faecalibacterium prausnitzii	NCBITaxon:853
Anaerostipes hadrus	NCBITaxon:649756
Eubacterium rectale	NCBITaxon:39491
Clostridium	NCBITaxon:1506
Bacteroides stercoris	NCBITaxon:46506
Bacteroides coprocola	NCBITaxon:310298
Lactobacillus rogosae	NCBITaxon:706562
Lachnospira pectinoschiza	NCBITaxon:28052
Roseburia	NCBITaxon:841
Sutterella wadsworthensis	NCBITaxon:40545
Bacteroides coprophilus	NCBITaxon:387090
Desulfotomaculum	NCBITaxon:41211
Prevotella copri	NCBITaxon:165179
Megamonas funiformis	NCBITaxon:437897
Ruminococcus gnavus	NCBITaxon:33038
Dialister invisus	NCBITaxon:218538
Bifidobacterium adolescentis	NCBITaxon:1680
Parvimonas micra	NCBITaxon:33033
Prevotella melaninogenica	NCBITaxon:28132
Peptostreptococcus anaerobius	NCBITaxon:1261
Staphylococcus aureus	NCBITaxon:1280
Streptococcus anginosus	NCBITaxon:1328
Streptococcus mutans	NCBITaxon:1309
Bacteroides ureolyticus	NCBITaxon:827
Campylobacter gracilis	NCBITaxon:824
Streptococcus intermedius	NCBITaxon:1338
Streptococcus mitis	NCBITaxon:28037
Bifidobacterium	NCBITaxon:41200
Ruminococcus productus	NCBITaxon:33035
Veillonella	NCBITaxon:29465
Bacteroides	NCBITaxon:29523
Pseudomonas aeruginosa	NCBITaxon:287
Bifidobacterium catenulatum	NCBITaxon:1686
Bifidobacterium longum	NCBITaxon:216816
Bifidobacterium dentium	NCBITaxon:1689
Enterococcus	NCBITaxon:35783
Enterobacter	NCBITaxon:42895
Prevotella	NCBITaxon:59823
Akkermansia muciniphila	NCBITaxon:239935
Bacteroides intestinalis	NCBITaxon:329854
Clostridium boltae	NCBITaxon:208479
Clostridium hathewayi	NCBITaxon:154046
Clostridium ramosum	NCBITaxon:1547
Clostridium symbiosum	NCBITaxon:1512
Escherichia coli	NCBITaxon:562
Alistipes	NCBITaxon:239759
Parabacteroides	NCBITaxon:1869337
Subdoligranulum	NCBITaxon:292632
Lachnospiraceae	NCBITaxon:186803
Haemophilus parainfluenzae	NCBITaxon:729
Roseburia intestinalis	NCBITaxon:166486
Roseburia Inulinivorans	NCBITaxon:360807
Eubacterium	NCBITaxon:142586
Erysipelotrichaceae	NCBITaxon:128827
Bacteroides vulgatus	NCBITaxon:821
Streptococcus	NCBITaxon:1306
Escherichia	NCBITaxon:561
Lachnospira	NCBITaxon:28050
Faecalibacterium	NCBITaxon:216851
Acidaminococcus	NCBITaxon:904
Akkermansia	NCBITaxon:239934
Citrobacter	NCBITaxon:544
Leptospira	NCBITaxon:171
