mediadive_id	name	complex_medium	source	link	min_pH	max_pH	reference	description	solutions	ingredents
mediadive.medium:1	NUTRIENT AGAR	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1.pdf	7	7			{1: 'Main sol. 1'}	{'Peptone': 'CAS-RN:73049-73-7', 'Meat extract': 'mediadive.ingredient:2', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}
mediadive.medium:1a	REACTIVATION WITH LIQUID MEDIUM 1	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1a.pdf	7	7			{3: 'Main sol. 1a'}	{'Peptone': 'CAS-RN:73049-73-7', 'Meat extract': 'mediadive.ingredient:2', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}
mediadive.medium:2	BACILLUS PASTEURII MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium2.pdf					{4: 'Main sol. 2', 1: 'Main sol. 1'}	{'Main sol. 1': 'mediadive.solution:1', 'Urea': 'CHEBI:16199', 'Peptone': 'CAS-RN:73049-73-7', 'Meat extract': 'mediadive.ingredient:2', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}
mediadive.medium:3	AZOTOBACTER MEDIUM	0	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium3.pdf	7.3	7.3			{5: 'Main sol. 3'}	{'Glucose': 'CHEBI:17234', 'Mannitol': 'CHEBI:29864', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'Na2MoO4 x 2 H2O': 'CHEBI:75213', 'K2HPO4': 'CHEBI:131527', 'KH2PO4': 'CHEBI:63036', 'FeSO4 x 7 H2O': 'CHEBI:75836', 'CaCO3': 'CHEBI:3311', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}
mediadive.medium:6	ALLANTOIN MINERAL MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium6.pdf					{6: 'Main sol. 6'}	{'K2HPO4': 'CHEBI:131527', 'KH2PO4': 'CHEBI:63036', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'FeSO4 x 7 H2O': 'CHEBI:75836', 'MnSO4 x H2O': 'CHEBI:86364', 'Allantoin': 'CHEBI:15676', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}
mediadive.medium:7	ANCYLOBACTER - SPIROSOMA MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium7.pdf	7	7			{7: 'Main sol. 7'}	{'Glucose': 'CHEBI:17234', 'Peptone': 'CAS-RN:73049-73-7', 'Yeast extract': 'CAS-RN:8013-01-2', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}
mediadive.medium:8	"BACILLUS ""RACEMILACTICUS"" MEDIUM"	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium8.pdf	6.8	6.8			{8: 'Main sol. 8'}	{'Glucose': 'CHEBI:17234', 'Peptone': 'CAS-RN:73049-73-7', 'Yeast extract': 'CAS-RN:8013-01-2', 'CaCO3': 'CHEBI:3311', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}
mediadive.medium:9	VY/2 AGAR	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium9.pdf	7.2	7.2			{9: 'Main sol. 9'}	"{""Baker's yeast"": 'CAS-RN:68876-77-7', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'Vitamin B12': 'CHEBI:17439', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}"
mediadive.medium:9a	VY/2, REDUCED MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium9a.pdf	7.2	7.2			{10: 'Main sol. 9a'}	"{""Baker's yeast"": 'CAS-RN:68876-77-7', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'Vitamin B12': 'CHEBI:17439', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}"
mediadive.medium:10	ZYMOMONAS MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium10.pdf					{11: 'Main sol. 10'}	{'Bacto peptone': 'CAS-RN:51142-18-8', 'Yeast extract': 'CAS-RN:8013-01-2', 'Glucose': 'CHEBI:17234', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377'}
mediadive.medium:11	MRS MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium11.pdf	6.2	6.5			{12: 'Main sol. 11'}	{'Casein peptone': 'CAS-RN:91079-40-2', 'Meat extract': 'mediadive.ingredient:2', 'Yeast extract': 'CAS-RN:8013-01-2', 'Glucose': 'CHEBI:17234', 'Tween 80': 'CHEBI:53426', 'K2HPO4': 'CHEBI:131527', 'Na-acetate': 'CHEBI:32954', '(NH4)3 citrate': 'CHEBI:63037', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'MnSO4 x H2O': 'CHEBI:86364', 'Distilled water': 'CHEBI:15377'}
