source_term	target_id	target_label	source_authority	search_method	justification	citation	curator	date_added	priority_level	notes
bromosuccinate	CHEBI:73712	bromosuccinic acid	ChEBI	ChEBI web search	Exact match with acid suffix normalization	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:73712	original curator	pre-2026	Original	Common metabolite in bacterial fermentation
beta-hydroxybutyrate	CHEBI:37054	3-hydroxybutyrate	ChEBI	ChEBI web search	Beta position = position 3 in systematic naming	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:37054	original curator	pre-2026	Original	Ketone body, bacterial fermentation product
galacturonate	CHEBI:12952	aldehydo-D-galacturonate	ChEBI	ChEBI web search	D-galacturonate is primary form in biological systems	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:12952	original curator	pre-2026	Original	Pectin degradation product
glucose 1-phosphate	CHEBI:29042	alpha-D-glucose 1-phosphate	ChEBI	ChEBI web search	Alpha anomer is most common biological form	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29042	original curator	pre-2026	Original	Glucose metabolism intermediate
(-)-D-fructose	CHEBI:15824	D-fructose	ChEBI	ChEBI web search	Stereochemistry notation normalization	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15824	original curator	pre-2026	Original	Common sugar in bacterial metabolism
2-oxogluconate	CHEBI:27469	2-dehydro-D-gluconic acid	ChEBI	ChEBI web search	2-oxo = 2-dehydro; acid suffix normalization	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27469	original curator	pre-2026	Original	Glucose oxidation product
polyhydroxybutyrate	CHEBI:53389	poly(3-hydroxybutyrate)	ChEBI	ChEBI web search	Bacterial storage polymer, standard notation	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:53389	original curator	pre-2026	Original	Polyester storage compound in bacteria
bacteriochlorophyll alpha	CHEBI:30033	bacteriochlorophyll a	ChEBI	ChEBI web search	Alpha/a naming variant normalization	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30033	original curator	pre-2026	Original	Photosynthetic pigment in bacteria
4-nitrophenyl beta-D-galactopyranoside	CHEBI:355715	4-nitrophenyl-beta-D-galactoside	ChEBI	ChEBI web search	Pyranoside/galactoside synonym	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:355715	original curator	pre-2026	Original	Chromogenic substrate for beta-galactosidase
3-O-methyl alpha-D-glucopyranoside	CHEBI:73918	3-O-methyl-D-glucose	ChEBI	ChEBI web search	Simplified systematic name	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:73918	original curator	pre-2026	Original	Methylated glucose derivative
galactonate	CHEBI:12931	D-galactonate	ChEBI	ChEBI web search	D-form is biological default	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:12931	original curator	pre-2026	Original	Galactose oxidation product
(+)-D-glycogen	CHEBI:28087	glycogen	ChEBI	ChEBI web search	Stereochemistry notation removal	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28087	original curator	pre-2026	Original	Glucose storage polymer
(+)-D-glucose	CHEBI:4167	D-glucose	ChEBI	ChEBI web search	Stereochemistry notation removal	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:4167	original curator	pre-2026	Original	Primary energy source
(+)-D-fucose	CHEBI:42589	D-fucose	ChEBI	ChEBI web search	Stereochemistry notation removal	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:42589	original curator	pre-2026	Original	Deoxyhexose sugar
(+)-D-arabitol	CHEBI:15963	D-arabitol	ChEBI	ChEBI web search	Stereochemistry notation removal	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15963	original curator	pre-2026	Original	Sugar alcohol
(-)-D-ribose	CHEBI:47013	D-ribose	ChEBI	ChEBI web search	Stereochemistry notation removal	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:47013	original curator	pre-2026	Original	RNA component
(-)-L-xylose	CHEBI:23039	L-xylose	ChEBI	ChEBI web search	Stereochemistry notation removal	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:23039	original curator	pre-2026	Original	Pentose sugar
(-)-L-sorbose	CHEBI:17792	L-sorbose	ChEBI	ChEBI web search	Stereochemistry notation removal	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17792	original curator	pre-2026	Original	Ketohexose sugar
4-nitrophenyl beta-D-galactopyranoside hydrolysate	CHEBI:355715	4-nitrophenyl-beta-D-galactoside	ChEBI	ChEBI web search	Hydrolysate suffix indicates substrate, not product	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:355715	original curator	pre-2026	Original	Same as chromogenic substrate above
1 % sodium lactate	CHEBI:86354	sodium L-lactate	ChEBI	ChEBI web search	Concentration prefix removal	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86354	original curator	pre-2026	Original	Lactate salt form
2-deoxythymidine-5'-4-nitrophenyl phosphate	CHEBI:63528	2'-deoxythymidine 5'-monophosphate	ChEBI	ChEBI web search	Chromogenic substrate maps to core nucleotide	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63528	original curator	pre-2026	Original	DNA nucleotide derivative
glutamyl-glutamic acid	CHEBI:18232	gamma-Glu-Glu	ChEBI	ChEBI web search	Dipeptide with gamma linkage	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18232	original curator	pre-2026	Original	Glutamate dipeptide
3-aminobutyrate	CHEBI:18309	3-aminobutyric acid	ChEBI	ChEBI web search	Add acid suffix for ChEBI match	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18309	original curator	pre-2026	Original	GABA isomer
2-aminobutyrate	CHEBI:16865	2-aminobutyric acid	ChEBI	ChEBI web search	Add acid suffix for ChEBI match	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16865	original curator	pre-2026	Original	Non-proteinogenic amino acid
1,2-propandiol	CHEBI:16189	propane-1,2-diol	ChEBI	ChEBI web search	Typo correction (propandiol → propanediol)	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16189	original curator	pre-2026	Original	Propylene glycol
d-salicin	CHEBI:17992	salicin	ChEBI	ChEBI web search	Remove D- prefix	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17992	original curator	pre-2026	Original	Willow tree glucoside
beta lactose	CHEBI:17716	lactose	ChEBI	ChEBI web search	Remove beta prefix	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17716	original curator	pre-2026	Original	Milk sugar disaccharide
dl-alanine	CHEBI:16449	alanine	ChEBI	ChEBI web search	Remove racemic prefix	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16449	original curator	pre-2026	Original	Amino acid
d-galactonic acid lactone	CHEBI:28761	D-galactono-1,4-lactone	ChEBI	ChEBI web search	Full systematic lactone name	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28761	original curator	pre-2026	Original	Galactose oxidation product
(+)-l-ornithine	CHEBI:16176	L-ornithine	ChEBI	ChEBI web search	Stereochemistry notation removal	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16176	original curator	pre-2026	Original	Amino acid (urea cycle)
(+)-d-galactose	CHEBI:4139	D-galactose	ChEBI	ChEBI web search	Stereochemistry notation removal	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:4139	original curator	pre-2026	Original	Aldohexose sugar
(+)-l-rhamnose	CHEBI:16988	L-rhamnose	ChEBI	ChEBI web search	Stereochemistry notation removal	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16988	original curator	pre-2026	Original	Deoxyhexose sugar
(+)-d-mannose	CHEBI:4208	D-mannose	ChEBI	ChEBI web search	Stereochemistry notation removal	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:4208	original curator	pre-2026	Original	Aldohexose sugar
(+)-l-aspartate	CHEBI:29991	L-aspartate	ChEBI	ChEBI web search	Stereochemistry notation removal	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29991	original curator	pre-2026	Original	Amino acid anion
(+)-d-xylose	CHEBI:17140	D-xylose	ChEBI	ChEBI web search	Stereochemistry notation removal	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17140	original curator	pre-2026	Original	Pentose sugar
