source_term	target_id	target_label	source_authority	search_method	justification	citation	curator	date_added	priority_level	notes
glycyl tryptophan arylamidase	GO:0070006	aminopeptidase activity	Gene Ontology	GO hierarchy lookup	Arylamidase = aminopeptidase (cleaves amino acids from peptides)	http://amigo.geneontology.org/amigo/term/GO:0070006	original curator	pre-2026	Original	Aminopeptidase with substrate specificity
alpha-maltosidase	GO:0004339	alpha-glucosidase activity	Gene Ontology + EC	GO hierarchy + EC:3.2.1.20	Maltosidase is a type of glucosidase (hydrolyzes maltose)	http://amigo.geneontology.org/amigo/term/GO:0004339	original curator	pre-2026	Original	EC 3.2.1.20 maps to GO:0004339
beta-Galactosidase 6-phosphate	GO:0004565	beta-galactosidase activity	Gene Ontology + EC	GO hierarchy + EC:3.2.1.23	Phosphorylated variant retains beta-galactosidase activity	http://amigo.geneontology.org/amigo/term/GO:0004565	original curator	pre-2026	Original	EC 3.2.1.23 maps to GO:0004565
esterase (C 4)	GO:0016788	hydrolase activity, acting on ester bonds	Gene Ontology	GO hierarchy lookup	C4 = 4-carbon chain length specificity for esterase	http://amigo.geneontology.org/amigo/term/GO:0016788	original curator	pre-2026	Original	Broad esterase activity
esterase Lipase (C 8)	GO:0016788	hydrolase activity, acting on ester bonds	Gene Ontology	GO hierarchy lookup	C8 = medium chain (8-carbon) specificity	http://amigo.geneontology.org/amigo/term/GO:0016788	original curator	pre-2026	Original	Medium chain esterase
L-arginine arylamidase	GO:0070006	aminopeptidase activity	Gene Ontology	GO hierarchy lookup	Arylamidase = aminopeptidase with arginine specificity	http://amigo.geneontology.org/amigo/term/GO:0070006	original curator	pre-2026	Original	Arginine-specific aminopeptidase
naphthol-AS-BI-phosphohydrolase	GO:0016791	phosphatase activity	Gene Ontology	GO hierarchy lookup	Phosphohydrolase = phosphatase (hydrolyzes phosphate esters)	http://amigo.geneontology.org/amigo/term/GO:0016791	original curator	pre-2026	Original	Chromogenic phosphatase substrate
valine arylamidase	GO:0070006	aminopeptidase activity	Gene Ontology	GO hierarchy lookup	Arylamidase = aminopeptidase with valine specificity	http://amigo.geneontology.org/amigo/term/GO:0070006	original curator	pre-2026	Original	Valine-specific aminopeptidase
lipase (C 14)	GO:0016788	hydrolase activity, acting on ester bonds	Gene Ontology	GO hierarchy lookup	C14 = long chain (14-carbon) lipase specificity	http://amigo.geneontology.org/amigo/term/GO:0016788	original curator	pre-2026	Original	Long chain lipase
arginine arylamidase	GO:0070006	aminopeptidase activity	Gene Ontology	GO hierarchy lookup	Arylamidase = aminopeptidase with arginine specificity	http://amigo.geneontology.org/amigo/term/GO:0070006	original curator	pre-2026	Original	Same as L-arginine arylamidase
esterase lipase (C 8)	GO:0016788	hydrolase activity, acting on ester bonds	Gene Ontology	GO hierarchy lookup	C8 = medium chain esterase/lipase activity	http://amigo.geneontology.org/amigo/term/GO:0016788	original curator	pre-2026	Original	Duplicate of esterase Lipase (C 8)
glutamyl-glutamate arylamidase	GO:0070006	aminopeptidase activity	Gene Ontology	GO hierarchy lookup	Arylamidase = aminopeptidase with Glu-Glu specificity	http://amigo.geneontology.org/amigo/term/GO:0070006	original curator	pre-2026	Original	Glutamyl-glutamate dipeptide cleavage
esterase	GO:0016788	hydrolase activity, acting on ester bonds	Gene Ontology	GO hierarchy lookup	Broad esterase activity (no chain length specified)	http://amigo.geneontology.org/amigo/term/GO:0016788	original curator	pre-2026	Original	Generic esterase
