source_term	target_id	target_label	source_authority	search_method	justification	citation	curator	date_added	priority_level	notes
electron acceptor: sulfur compounds	CHEBI:26833	sulfur molecular entity	ChEBI	ChEBI web search	Parent class covers sulfate, sulfite, thiosulfate, elemental sulfur	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:26833	original curator	pre-2026	Original	Broad term for dissimilatory sulfur reduction
electron acceptor: amorphous iron (iii) oxide	CHEBI:82594	iron(III) oxide	ChEBI	ChEBI web search	Amorphous Fe(III) oxide used as terminal electron acceptor	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:82594	original curator	pre-2026	Original	Dissimilatory iron reduction
electron acceptor: ethylenediaminetetraacetatoferrate	CHEBI:42191	ferric-EDTA complex	ChEBI	ChEBI web search	Fe(III)-EDTA complex used in electron transport studies	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:42191	original curator	pre-2026	Original	Chelated iron(III) complex
electron acceptor: amorphous fe(iii) oxyhydroxid	CHEBI:82594	iron(III) oxide	ChEBI	ChEBI web search	Variant spelling maps to same iron(III) oxide	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:82594	original curator	pre-2026	Original	Oxyhydroxide = oxide (same ChEBI term)
oxidation in darkness: sulfur compounds	CHEBI:26833	sulfur molecular entity	ChEBI	ChEBI web search	Sulfur oxidation in absence of light	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:26833	original curator	pre-2026	Original	Chemolithoautotrophic sulfur oxidation
degradation: plastic	ENVO:01000970	plastic material	ENVO	ENVO web search	Synthetic polymer biodegradation; use ENVO for materials	http://purl.obolibrary.org/obo/ENVO_01000970	original curator	pre-2026	Original	Plastisphere and plastic degradation pathways
degradation: aromatic compound	CHEBI:33655	aromatic compound	ChEBI	ChEBI web search	Parent class for benzene ring-containing compounds	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:33655	original curator	pre-2026	Original	Aromatic degradation pathways
degradation: hydrocarbon	CHEBI:24632	hydrocarbon	ChEBI	ChEBI web search	Parent class for aliphatic and aromatic hydrocarbons	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:24632	original curator	pre-2026	Original	Hydrocarbon degradation
degradation: aromatic hydrocarbon	CHEBI:33848	aromatic hydrocarbon	ChEBI	ChEBI web search	Specific to aromatic hydrocarbons (PAHs, BTEX)	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:33848	original curator	pre-2026	Original	More specific than general aromatic compounds
degradation: elastin	CHEBI:53248	elastin	ChEBI	ChEBI web search	Elastin protein degradation by extracellular proteases	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:53248	original curator	pre-2026	Original	Elastase activity
degradation: egg yolk	FOODON:00001274	egg yolk	FOODON	FOODON web search	Food substance; lecithinase/lipase activity	http://purl.obolibrary.org/obo/FOODON_00001274	original curator	pre-2026	Original	Use FOODON for food items
degradation: 4-nitrophenyl beta-D-galactopyranoside	CHEBI:52701	4-nitrophenyl beta-D-galactopyranoside	ChEBI	ChEBI web search	Chromogenic substrate for beta-galactosidase	https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:52701	original curator	pre-2026	Original	Beta-galactosidase assay substrate
