metatraits_name	chebi_search_name	chebi_id	chebi_label	notes
bromosuccinate	bromosuccinic acid	CHEBI:73712	bromosuccinic acid	Add "acid" suffix
beta-hydroxybutyrate	3-hydroxybutyrate	CHEBI:37054	3-hydroxybutyrate	Use "3-hydroxybutyrate" instead of "beta"
galacturonate	D-galacturonate	CHEBI:12952	aldehydo-D-galacturonate	Add "D-" prefix
glucose 1-phosphate	alpha-D-glucose 1-phosphate	CHEBI:29042	alpha-D-glucose 1-phosphate	Add "alpha-D-" prefix
(-)-D-fructose	D-fructose	CHEBI:15824	D-fructose	Remove stereochemistry notation
2-oxogluconate	2-oxogluconic acid	CHEBI:27469	2-dehydro-D-gluconic acid	Add "acid" suffix
polyhydroxybutyrate	poly(3-hydroxybutyrate)	CHEBI:53389	poly(3-hydroxybutyrate)	Use standard polymer notation
bacteriochlorophyll alpha	bacteriochlorophyll a	CHEBI:30033	bacteriochlorophyll a	Use "a" instead of "alpha"
4-nitrophenyl beta-D-galactopyranoside	4-nitrophenyl-beta-D-galactoside	CHEBI:355715	4-nitrophenyl-beta-D-galactoside	Use "-galactoside" instead of "-galactopyranoside"
3-O-methyl alpha-D-glucopyranoside	3-O-methylglucose	CHEBI:73918	3-O-methyl-D-glucose	Simplified name
galactonate	D-galactonate	CHEBI:12931	D-galactonate	Add "D-" prefix
(+)-D-glycogen	glycogen	CHEBI:28087	glycogen	Remove stereochemistry notation
(+)-D-glucose	D-glucose	CHEBI:4167	D-glucose	Remove stereochemistry notation
(+)-D-fucose	D-fucose	CHEBI:42589	D-fucose	Remove stereochemistry notation
(+)-D-arabitol	D-arabitol	CHEBI:15963	D-arabitol	Remove stereochemistry notation
(-)-D-ribose	D-ribose	CHEBI:47013	D-ribose	Remove stereochemistry notation
(-)-L-xylose	L-xylose	CHEBI:23039	L-xylose	Remove stereochemistry notation
(-)-L-sorbose	L-sorbose	CHEBI:17792	L-sorbose	Remove stereochemistry notation
4-nitrophenyl beta-D-galactopyranoside hydrolysate	4-nitrophenyl-beta-D-galactoside	CHEBI:355715	4-nitrophenyl-beta-D-galactoside	Strip "hydrolysate" suffix
1 % sodium lactate	sodium lactate	CHEBI:86354	sodium L-lactate	Strip concentration prefix
2-deoxythymidine-5'-4-nitrophenyl phosphate	2'-deoxythymidine 5'-monophosphate	CHEBI:63528	2'-deoxythymidine 5'-monophosphate	Simplified name for chromogenic substrate
glutamyl-glutamic acid	glutamylglutamate	CHEBI:18232	gamma-Glu-Glu	Remove spaces, use gamma form
3-aminobutyrate	3-aminobutyric acid	CHEBI:18309	3-aminobutyric acid	Add "acid" suffix
2-aminobutyrate	2-aminobutyric acid	CHEBI:16865	2-aminobutyric acid	Add "acid" suffix
1,2-propandiol	propane-1,2-diol	CHEBI:16189	propane-1,2-diol	Fix typo (propandiol → propanediol)
d-salicin	salicin	CHEBI:17992	salicin	Remove "D-" prefix
beta lactose	lactose	CHEBI:17716	lactose	Remove "beta" prefix
dl-alanine	alanine	CHEBI:16449	alanine	Remove racemic prefix
d-galactonic acid lactone	D-galactono-1,4-lactone	CHEBI:28761	D-galactono-1,4-lactone	Full systematic name
(+)-l-ornithine	L-ornithine	CHEBI:16176	L-ornithine	Remove stereochemistry notation
(+)-d-galactose	D-galactose	CHEBI:4139	D-galactose	Remove stereochemistry notation
(+)-l-rhamnose	L-rhamnose	CHEBI:16988	L-rhamnose	Remove stereochemistry notation
(+)-d-mannose	D-mannose	CHEBI:4208	D-mannose	Remove stereochemistry notation
(+)-l-aspartate	L-aspartate	CHEBI:29991	L-aspartate	Remove stereochemistry notation
(+)-d-xylose	D-xylose	CHEBI:17140	D-xylose	Remove stereochemistry notation
(+)-d-glucosamine	D-glucosamine	CHEBI:5417	D-glucosamine	Remove stereochemistry notation
(+)-l-glutamate	L-glutamate	CHEBI:29985	L-glutamate	Remove stereochemistry notation
(+)-l-lyxitol	L-lyxitol	CHEBI:25064	L-lyxitol	Remove stereochemistry notation
(2)-d-fructose	D-fructose	CHEBI:15824	D-fructose	Fix typo in stereochemistry notation
(-)-d-rhamnose	L-rhamnose	CHEBI:16988	L-rhamnose	Stereochemistry inversion
aconitate	cis-aconitate	CHEBI:32805	cis-aconitate	Use cis isomer (most common)
maltose hydrate	maltose	CHEBI:17306	maltose	Remove "hydrate"
3-dehydro-d-gluconate	3-dehydro-D-gluconate	CHEBI:29042	3-dehydro-D-gluconate	Add "D-" prefix
glycerol 3-phosphate	sn-glycerol 3-phosphate	CHEBI:15978	sn-glycerol 3-phosphate	Add stereochemistry prefix
D-saccharate	D-saccharate	CHEBI:16659	D-saccharate	Oxidized form of D-galactose
2,3-butanone	butane-2,3-dione	CHEBI:16583	butane-2,3-dione	Systematic name (common: diacetyl)
L-tartrate	L-tartrate	CHEBI:30956	L-tartrate(1-)	Use tartrate anion form
coumarate	4-coumarate	CHEBI:32374	4-coumarate	Most common isomer (para)
3-coumarate	3-coumarate	CHEBI:18392	3-coumarate	Meta isomer
D-sorbose	D-sorbose	CHEBI:17266	D-sorbose	Ketohexose sugar
(-)-D-sorbitol	D-glucitol	CHEBI:17924	D-glucitol	Remove stereochemistry notation
3-nitropropanoate	3-nitropropanoic acid	CHEBI:77041	3-nitropropanoic acid	Add 'acid' suffix
3-hydroxy 2-butanone	acetoin	CHEBI:15688	acetoin	Common name: acetoin
5-aminovalerate	5-aminopentanoate	CHEBI:17431	5-aminopentanoate	IUPAC systematic name
glycine-proline	Gly-Pro	CHEBI:73390	Gly-Pro	Dipeptide
glycyl L-aspartic acid	Gly-Asp	CHEBI:73394	Gly-Asp	Dipeptide
potassium 5-dehydro-D-gluconate	5-dehydro-D-gluconate	CHEBI:17659	5-dehydro-D-gluconate	Strip potassium salt prefix
3-O-methylgallate	3-O-methylgallic acid	CHEBI:68483	3-O-methylgallic acid	Add 'acid' suffix
4,4-dihydroxy-biphenyl	4,4'-dihydroxybiphenyl	CHEBI:34283	4,4'-dihydroxybiphenyl	Add prime notation for symmetry
alpha-hydroxyglutarate-gamma-lactone	2-hydroxyglutarate gamma-lactone	CHEBI:90836	(2S)-2-hydroxyglutarate gamma-lactone	Use systematic numbering (alpha=2)
casein hydrolysate	casein	CHEBI:80130	casein	Protein mixture - use parent term
1,4-propandiol	propane-1,3-diol	CHEBI:16277	propane-1,3-diol	Likely typo in data (1,4 → 1,3)
2,4-butanediol	butane-2,3-diol	CHEBI:16982	butane-2,3-diol	Likely typo in data (2,4 → 2,3)
