subject_label	subject_label_normalized	object_id	object_label	object_source	predicate_id	confidence	mapping_justification	curator	source_dataset	notes	verified_date
enzyme activity: catalase (EC1.11.1.6)	enzyme activity: catalase (ec1.11.1.6)	EC:1.11.1.6	catalase	EC	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	EC number extracted from trait name; biolink:capable_of	
enzyme activity: beta-galactosidase (EC3.2.1.23)	enzyme activity: beta-galactosidase (ec3.2.1.23)	EC:3.2.1.23	beta-galactosidase	EC	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	EC number extracted from trait name; biolink:capable_of	
enzyme activity: urease (EC3.5.1.5)	enzyme activity: urease (ec3.5.1.5)	EC:3.5.1.5	urease	EC	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	EC number extracted from trait name; biolink:capable_of	
enzyme activity: oxidase	enzyme activity: oxidase	GO:0016491	oxidoreductase activity	GO	skos:closeMatch	medium	semapv:ManualMappingCuration	turbomam	metatraits	no EC in trait name; broad GO MF; biolink:capable_of	
enzyme activity: lipase	enzyme activity: lipase	EC:3.1.1.3	triacylglycerol lipase	EC	skos:closeMatch	medium	semapv:ManualMappingCuration	turbomam	metatraits	no EC in trait name; inferred EC; biolink:capable_of
enzyme activity: DNase	enzyme activity: dnase	GO:0004530	deoxyribonuclease activity	GO	skos:closeMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	high-frequency trait (1.49M obs); biolink:capable_of	2026-03-26
enzyme activity: coagulase	enzyme activity: coagulase	KGM:coagulase_activity	coagulase activity	KGM	skos:exactMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	high-frequency trait (1.49M obs); no GO/EC term available; biolink:capable_of	2026-03-26
enzyme activity: gelatinase	enzyme activity: gelatinase	GO:0004175	endopeptidase activity	GO	skos:closeMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	high-frequency trait (4.8K obs); biolink:capable_of	2026-03-26
enzyme activity: amylase	enzyme activity: amylase	GO:0016160	amylase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	high-frequency trait (2.8K obs); biolink:capable_of	2026-03-26
enzyme activity: Alanyl-Phenylalanyl-Proline arylamidase	enzyme activity: alanyl-phenylalanyl-proline arylamidase	GO:0016285	aminopeptidase activity	GO	skos:closeMatch	medium	semapv:ManualMappingCuration	claude-code	metatraits	high-frequency trait (3.5K obs); specific arylamidase mapped to broad aminopeptidase; biolink:capable_of	2026-03-26
enzyme activity: alpha-arabinosidase	enzyme activity: alpha-arabinosidase	EC:3.2.1.55	alpha-N-arabinofuranosidase	EC	skos:exactMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	EC number lookup; biolink:capable_of	2026-03-26
enzyme activity: lecithinase	enzyme activity: lecithinase	EC:3.1.1.5	lysophospholipase	EC	skos:closeMatch	medium	semapv:ManualMappingCuration	claude-code	metatraits	lecithinase is phospholipase; EC inferred; biolink:capable_of	2026-03-26
enzyme activity: pectinase	enzyme activity: pectinase	EC:3.2.1.15	polygalacturonase	EC	skos:closeMatch	medium	semapv:ManualMappingCuration	claude-code	metatraits	pectinase is broad term; specific EC chosen; biolink:capable_of	2026-03-26
enzyme activity: tyrosinase	enzyme activity: tyrosinase	EC:1.14.18.1	tyrosinase	EC	skos:exactMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	EC number lookup; biolink:capable_of	2026-03-26
