enzyme_name	go_id	go_label	ec_number	notes
glycyl tryptophan arylamidase	GO:0070006	aminopeptidase activity		Arylamidase = aminopeptidase, cleaves amino acids from peptides
alpha-maltosidase	GO:0004339	alpha-glucosidase activity	3.2.1.20	Maltosidase is a type of glucosidase that hydrolyzes maltose
beta-Galactosidase 6-phosphate	GO:0004565	beta-galactosidase activity	3.2.1.23	Phosphorylated beta-galactosidase variant
esterase (C 4)	GO:0016788	hydrolase activity, acting on ester bonds		C4 indicates chain length specificity
esterase Lipase (C 8)	GO:0016788	hydrolase activity, acting on ester bonds		C8 indicates medium chain specificity
L-arginine arylamidase	GO:0070006	aminopeptidase activity		Arylamidase = aminopeptidase, arginine-specific
naphthol-AS-BI-phosphohydrolase	GO:0016791	phosphatase activity		Phosphohydrolase = phosphatase, naphthol substrate
valine arylamidase	GO:0070006	aminopeptidase activity		Arylamidase = aminopeptidase, valine-specific
lipase (C 14)	GO:0016788	hydrolase activity, acting on ester bonds		C14 indicates long chain specificity (lipase)
arginine arylamidase	GO:0070006	aminopeptidase activity		Arylamidase = aminopeptidase, arginine-specific
esterase lipase (C 8)	GO:0016788	hydrolase activity, acting on ester bonds		C8 indicates medium chain specificity
glutamyl-glutamate arylamidase	GO:0070006	aminopeptidase activity		Arylamidase = aminopeptidase, glutamyl-glutamate-specific
esterase	GO:0016788	hydrolase activity, acting on ester bonds		Broad esterase activity without chain length specification
glycin arylamidase	GO:0070006	aminopeptidase activity		Arylamidase = aminopeptidase, glycine-specific
tryptophan deaminase	GO:0004838	tryptophanase activity	4.1.99.1	Deaminates tryptophan to indole, pyruvate, and ammonia
protease	GO:0008233	peptidase activity		Broad term for enzymes that hydrolyze peptide bonds
beta-galactopyranosidase	GO:0004565	beta-galactosidase activity	3.2.1.23	Synonym for beta-galactosidase (pyranose form)
beta-xylosidase	GO:0009044	xylan 1,4-beta-xylosidase activity	3.2.1.37	Hydrolyzes beta-1,4-xylosidic linkages in xylans
tween esterase	GO:0016788	hydrolase activity, acting on ester bonds		Esterase specific for Tween substrates (polysorbates)
phosphatase	GO:0016791	phosphatase activity		Broad term for enzymes that hydrolyze phosphate ester bonds
alanine aminopeptidase	GO:0070006	aminopeptidase activity	3.4.11.2	Aminopeptidase with preference for alanine
phenylalanine arylamidase	GO:0070006	aminopeptidase activity		Arylamidase = aminopeptidase, phenylalanine-specific
histidine arylamidase	GO:0070006	aminopeptidase activity		Arylamidase = aminopeptidase, histidine-specific
pyrazinamidase (ec3.5.1.b15)	EC:3.5.1.19	nicotinamidase activity	3.5.1.19	Malformed EC B15 corrected to 3.5.1.19
adenyl cyclase hemolysin	GO:0004016	adenylate cyclase activity		Bifunctional enzyme with adenylate cyclase activity
nitrogenase	GO:0016163	nitrogenase activity	1.18.6.1	Nitrogen fixation enzyme
beta-n-acetylgalactosaminidase	GO:0004563	beta-N-acetylhexosaminidase activity	3.2.1.52	Removes N-acetylgalactosamine from glycoconjugates
nife-hydrogenase	GO:0033748	hydrogenase (NiFe) activity	1.12.99.6	Nickel-iron hydrogenase
pyroglutamic acid arylamidase	GO:0070006	aminopeptidase activity		Arylamidase = aminopeptidase, pyroglutamate-specific
alpha-xylosidase	GO:0031222	arabinan endo-1,5-alpha-L-arabinosidase activity	3.2.1.99	Hydrolyzes alpha-xylosidic linkages
n-acetyl-glucosidase	GO:0004563	beta-N-acetylhexosaminidase activity	3.2.1.52	N-acetylglucosaminidase activity
beta-fucosidase	GO:0004560	alpha-L-fucosidase activity	3.2.1.51	Hydrolyzes fucosidic linkages
acc deaminase	GO:0019131	1-aminocyclopropane-1-carboxylate deaminase activity	3.5.99.7	Degrades ACC (ethylene precursor)
peptide synthetase	GO:0016874	ligase activity		Peptide bond formation enzyme
