ID	label	TYPE	parent classes (one strongly preferred)	definition	definition source	term editor	comment	biolink close match	confirmed exact synonym	literature mining related synonyms	madin synonym or field	Madin synonym source	bacdive keyword synonym	Bacdive synonym source	bactotraits related synonym	Bactotraits synonym source	metatraits synonym	MetaTraits synonym source	measurement_unit_ucum	range_min	range_max	equivalent_class_formula
METPO:2000701	has growth temperature value																temperature growth|temperature optimum|optimal temperature	https://metatraits.embl.de/				
METPO:2000702	has minimum temperature value																temperature min|minimum temperature	https://metatraits.embl.de/				
METPO:2000703	has maximum temperature value																temperature max|maximum temperature	https://metatraits.embl.de/				
METPO:2000704	has growth pH value																pH growth|pH optimum|optimal pH	https://metatraits.embl.de/				
METPO:2000705	has minimum pH value																pH min|minimum pH	https://metatraits.embl.de/				
METPO:2000706	has maximum pH value																pH max|maximum pH	https://metatraits.embl.de/				
METPO:2000707	has growth salinity value																salinity growth|salinity optimum|optimal salinity	https://metatraits.embl.de/				
METPO:2000708	has minimum salinity value																salinity min|minimum salinity	https://metatraits.embl.de/				
METPO:2000709	has maximum salinity value																salinity max|maximum salinity	https://metatraits.embl.de/				
METPO:2000714	has estimated gene count value																estimated gene count|gene count	https://metatraits.embl.de/				
METPO:2000715	has GC percentage value																GC percentage|GC content value	https://metatraits.embl.de/				
METPO:2000716	has coding density value																coding density|coding sequence density	https://metatraits.embl.de/				
METPO:2000008	uses as electron acceptor																electron acceptor: elemental sulfur|electron acceptor: sulfate|electron acceptor: nitrate|electron acceptor: fumarate|electron acceptor: thiosulfate|electron acceptor: nitrite|electron acceptor: iron|electron acceptor: arsenate|electron acceptor: selenate|electron acceptor: manganese|electron acceptor: cobalt|electron acceptor: uranium|electron acceptor: chromate|electron acceptor: perchlorate|electron acceptor: chlorate|electron acceptor: bromate|electron acceptor: iodate|electron acceptor: nitrous oxide|electron acceptor: dimethyl sulfoxide|electron acceptor: trimethylamine N-oxide	https://metatraits.embl.de/				
