subject_label	subject_label_normalized	object_id	object_label	object_source	predicate_id	confidence	mapping_justification	curator	source_dataset	notes	verified_date
gram positive	gram positive	METPO:1000698	gram positive	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	biolink:has_phenotype; CORRECTED from METPO:1000606
gram negative	gram negative	METPO:1000699	gram negative	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	biolink:has_phenotype; CORRECTED from METPO:1000607
sporulation	sporulation	METPO:1000870	sporulation	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	biolink:has_phenotype; CORRECTED label from endospore-forming
obligate aerobic	obligate aerobic	METPO:1000606	obligately aerobic	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	biolink:has_phenotype; CORRECTED from METPO:1000616
obligate anaerobic	obligate anaerobic	METPO:1000607	obligately anaerobic	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	biolink:has_phenotype; CORRECTED from METPO:1000870
presence of motility	presence of motility	METPO:1000702	motile	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	biolink:has_phenotype; CORRECTED from METPO:1002005
psychrophilic	psychrophilic	METPO:1000614	psychrophilic	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	biolink:has_phenotype; CORRECTED from METPO:1000660
thermophilic	thermophilic	METPO:1000616	thermophilic	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	biolink:has_phenotype; CORRECTED from METPO:1000656
voges-proskauer test	voges-proskauer test	KGM:voges_proskauer_test_positive	Voges-Proskauer test positive	KGM	skos:closeMatch	medium	semapv:ManualMappingCuration	turbomam	metatraits	biolink:has_phenotype; NOT IN METPO, using custom KGM term
growth: MacConkey agar	growth: macconkey agar	KGM:macconkey_agar_growth	growth on MacConkey agar	KGM	skos:exactMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	biolink:has_phenotype; NOT IN ENVO/FOODON, selective media for Gram-negative	2026-03-26
growth: blood agar	growth: blood agar	KGM:blood_agar_growth	growth on blood agar	KGM	skos:exactMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	biolink:has_phenotype; NOT IN ENVO/FOODON, enriched media for fastidious organisms	2026-03-26
growth: bile acid susceptible	growth: bile acid susceptible	KGM:bile_susceptible	bile acid susceptible	KGM	skos:exactMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	biolink:has_phenotype; NOT IN METPO/ENVO, growth inhibited by bile acids	2026-03-26
