source_term	target_id	target_label	source_authority	search_method	justification	citation	curator	date_added	priority_level	notes
capable of chemotaxis	METPO:1005001	capable of chemotaxis	METPO	OAK exact match	Exact phenotype term in METPO ontology	http://purl.obolibrary.org/obo/METPO_1005001	original curator	pre-2026	Original	Bacterial chemotaxis capability
capable of gliding motility	METPO:1005002	capable of gliding motility	METPO	OAK exact match	Exact phenotype term in METPO ontology	http://purl.obolibrary.org/obo/METPO_1005002	original curator	pre-2026	Original	Gliding motility without flagella
capable of swarming motility	METPO:1005003	capable of swarming motility	METPO	OAK exact match	Exact phenotype term in METPO ontology	http://purl.obolibrary.org/obo/METPO_1005003	original curator	pre-2026	Original	Swarming behavior (multicellular)
capable of swimming motility	METPO:1005004	capable of swimming motility	METPO	OAK exact match	Exact phenotype term in METPO ontology	http://purl.obolibrary.org/obo/METPO_1005004	original curator	pre-2026	Original	Swimming motility via flagella
capable of twitching motility	METPO:1005005	capable of twitching motility	METPO	OAK exact match	Exact phenotype term in METPO ontology	http://purl.obolibrary.org/obo/METPO_1005005	original curator	pre-2026	Original	Type IV pilus-mediated motility
motile	METPO:1005000	motile	METPO	OAK exact match	General motility phenotype in METPO	http://purl.obolibrary.org/obo/METPO_1005000	original curator	pre-2026	Original	Broad motility capability
nonmotile	METPO:1005006	nonmotile	METPO	OAK exact match	Lacks motility capability	http://purl.obolibrary.org/obo/METPO_1005006	original curator	pre-2026	Original	Negative motility phenotype
thermophile	METPO:1003004	thermophilic	METPO	OAK synonym match	Thermophile maps to thermophilic phenotype	http://purl.obolibrary.org/obo/METPO_1003004	original curator	pre-2026	Original	High temperature preference
halophile	METPO:1003005	halophilic	METPO	OAK synonym match	Halophile maps to halophilic phenotype	http://purl.obolibrary.org/obo/METPO_1003005	original curator	pre-2026	Original	High salt preference
aerobe	METPO:1002000	aerobic	METPO	OAK synonym match	Aerobe maps to aerobic phenotype	http://purl.obolibrary.org/obo/METPO_1002000	original curator	pre-2026	Original	Requires oxygen for growth
anaerobe	METPO:1002001	anaerobic	METPO	OAK synonym match	Anaerobe maps to anaerobic phenotype	http://purl.obolibrary.org/obo/METPO_1002001	original curator	pre-2026	Original	Grows without oxygen
facultative anaerobe	METPO:1002002	facultatively anaerobic	METPO	OAK synonym match	Facultative anaerobe phenotype	http://purl.obolibrary.org/obo/METPO_1002002	original curator	pre-2026	Original	Can grow with or without oxygen
