id	name
HGNC:10001	RGS5
HGNC:10004	RGS9
HGNC:10006	RHAG
HGNC:10012	RHO
HGNC:10013	GRK1
HGNC:10023	RIT1
HGNC:10024	RLBP1
HGNC:10031	RMRP
HGNC:10050	RNASEL
HGNC:10057	RNF13
HGNC:10069	RNF6
HGNC:1012	OPN1SW
HGNC:1014	BCR
HGNC:1020	BCS1L
HGNC:10250	ROBO2
HGNC:10254	ROM1
HGNC:10257	ROR2
HGNC:10260	RORC
HGNC:10263	RP1
HGNC:10274	RP2
HGNC:10288	RP9
HGNC:10294	RPE65
HGNC:10295	RPGR
HGNC:10297	RPIA
HGNC:10298	RPL10
HGNC:103	CNNM2
HGNC:10301	RPL11
HGNC:10306	RPL15
HGNC:10313	RPL21
HGNC:10327	RPL26
HGNC:1033	BDNF
HGNC:10345	RPL35A
HGNC:10360	RPL5
HGNC:1037	CFB
HGNC:10379	MRPL3
HGNC:10383	RPS10
HGNC:10387	RPS14
HGNC:10397	RPS17
HGNC:1040	BFSP1
HGNC:10402	RPS19
HGNC:1041	BFSP2
HGNC:10411	RPS24
HGNC:10414	RPS26
HGNC:10418	RPS28
HGNC:10419	RPS29
HGNC:10432	RPS6KA3
HGNC:1044	BGN
HGNC:10440	RPS7
HGNC:10457	RS1
HGNC:10468	RTN2
HGNC:10471	RUNX1
HGNC:10472	RUNX2
HGNC:10483	RYR1
HGNC:10484	RYR2
HGNC:105	CNNM4
HGNC:10519	SACS
HGNC:1052	BIN1
HGNC:10521	SAG
HGNC:10524	SALL1
HGNC:10526	SALL2
HGNC:10535	SAR1B
HGNC:10536	SARDH
HGNC:10540	SAT1
HGNC:10542	SBF1
HGNC:10545	MSMO1
HGNC:10547	SC5D
HGNC:10548	ATXN1
HGNC:10549	ATXN10
HGNC:10555	ATXN2
HGNC:10560	ATXN7
HGNC:10561	ATXN8OS
HGNC:1057	BLK
HGNC:1058	BLM
HGNC:10582	SCN10A
HGNC:10583	SCN11A
HGNC:10585	SCN1A
HGNC:10586	SCN1B
HGNC:10588	SCN2A
HGNC:10589	SCN2B
HGNC:1059	BLMH
HGNC:10591	SCN4A
HGNC:10592	SCN4B
HGNC:10593	SCN5A
HGNC:10596	SCN8A
HGNC:10597	SCN9A
HGNC:10599	SCNN1A
HGNC:10600	SCNN1B
HGNC:10602	SCNN1G
HGNC:10603	SCO1
HGNC:10604	SCO2
HGNC:10606	SCP2
HGNC:10610	CCL11
HGNC:10618	CCL2
HGNC:1062	BLVRA
HGNC:10627	CCL3
HGNC:10628	CCL3L1
HGNC:10648	AIMP1
HGNC:10660	SDC3
HGNC:10664	CWC27
HGNC:10669	TSHZ1
HGNC:1067	BMP1
HGNC:10671	SDCCAG8
HGNC:10672	CXCL12
HGNC:1068	BMP15
HGNC:10680	SDHA
HGNC:10681	SDHB
HGNC:10682	SDHC
HGNC:10683	SDHD
HGNC:1069	BMP2
HGNC:10701	SEC23A
HGNC:10702	SEC23B
HGNC:10706	SEC24D
HGNC:1071	BMP4
HGNC:10718	SELE
HGNC:10721	SELP
HGNC:10723	SEMA3A
HGNC:10727	SEMA3E
HGNC:10729	SEMA4A
HGNC:1076	BMPR1A
HGNC:10768	SF3B1
HGNC:1077	BMPR1B
HGNC:10771	SF3B4
HGNC:10778	SFRP4
HGNC:1078	BMPR2
HGNC:10798	SFTPA1
HGNC:10799	SFTPA2
HGNC:10801	SFTPB
HGNC:10802	SFTPC
HGNC:10805	SGCA
HGNC:10806	SGCB
HGNC:10807	SGCD
HGNC:10808	SGCE
HGNC:10809	SGCG
HGNC:10817	SGPL1
HGNC:10818	SGSH
HGNC:10820	SH2D1A
HGNC:10825	SH3BP2
HGNC:10848	SHH
HGNC:10856	SI
HGNC:10872	ST3GAL5
HGNC:10879	STIL
HGNC:10882	SIM1
HGNC:10887	SIX1
HGNC:10889	SIX3
HGNC:10891	SIX5
HGNC:10892	SIX6
HGNC:10896	SKI
HGNC:10898	SKIC2
HGNC:1090	DST
HGNC:10906	SLC10A2
HGNC:10907	SLC11A1
HGNC:10908	SLC11A2
HGNC:10909	SLC40A1
HGNC:10910	SLC12A1
HGNC:10912	SLC12A3
HGNC:10914	SLC12A6
HGNC:1092	FOXL2
HGNC:10922	SLC16A1
HGNC:10923	SLC16A2
HGNC:1093	BPGM
HGNC:10933	SLC17A5
HGNC:10936	SLC18A3
HGNC:10938	SLC19A2
HGNC:10939	SLC1A1
HGNC:10940	SLC1A2
HGNC:10941	SLC1A3
HGNC:10942	SLC1A4
HGNC:10947	SLC20A2
HGNC:10955	SLCO2A1
HGNC:10959	SLCO1B1
HGNC:10961	SLCO1B3
HGNC:10964	SLC22A18
HGNC:10968	SLC22A4
HGNC:10969	SLC22A5
HGNC:1097	BRAF
HGNC:10975	SLC24A1
HGNC:10978	SLC24A4
HGNC:10979	SLC25A1
HGNC:10982	SLC25A12
HGNC:10983	SLC25A13
HGNC:10985	SLC25A15
HGNC:10989	SLC25A3
HGNC:10990	SLC25A4
HGNC:10993	SLC26A1
HGNC:10994	SLC26A2
HGNC:10998	SLC27A4
HGNC:1100	BRCA1
HGNC:11005	SLC2A1
HGNC:11006	SLC2A2
HGNC:1101	BRCA2
HGNC:11013	SLC30A2
HGNC:11019	SLC34A1
HGNC:11020	SLC34A2
HGNC:11021	SLC35A1
HGNC:11022	SLC35A2
HGNC:11023	SLC35A3
HGNC:11025	SLC3A1
HGNC:11027	SLC4A1
HGNC:11030	SLC4A4
HGNC:11036	SLC5A1
HGNC:11037	SLC5A2
HGNC:11040	SLC5A5
HGNC:11042	SLC6A1
HGNC:11048	SLC6A2
HGNC:11049	SLC6A3
HGNC:11050	SLC6A4
HGNC:11051	SLC6A5
HGNC:11055	SLC6A8
HGNC:11056	SLC6A9
HGNC:11065	SLC7A7
HGNC:11067	SLC7A9
HGNC:11071	SLC9A1
HGNC:11073	SLC9A3
HGNC:11075	NHERF1
HGNC:11079	SLC9A6
HGNC:11094	SNAI2
HGNC:11098	SMARCA2
HGNC:11100	SMARCA4
HGNC:11102	SMARCAL1
HGNC:11103	SMARCB1
HGNC:11104	SMARCC1
HGNC:11105	SMARCC2
HGNC:11109	SMARCE1
HGNC:11110	ARID1A
HGNC:11111	SMC1A
HGNC:11114	KDM5C
HGNC:11115	KDM5D
HGNC:11117	SMN1
HGNC:11118	SMN2
HGNC:11119	SMO
HGNC:11120	SMPD1
HGNC:11122	SMPX
HGNC:11123	SMS
HGNC:11132	SNAP25
HGNC:11133	SNAP29
HGNC:11138	SNCA
HGNC:11139	SNCAIP
HGNC:11140	SNCB
HGNC:11142	SIK1
HGNC:11153	SNRPB
HGNC:11161	SNRPE
HGNC:11164	SNRPN
HGNC:11167	SNTA1
HGNC:11179	SOD1
HGNC:11180	SOD2
HGNC:11183	SON
HGNC:11185	SORL1
HGNC:11187	SOS1
HGNC:11188	SOS2
HGNC:11190	SOX10
HGNC:11191	SOX11
HGNC:11194	SOX18
HGNC:11195	SOX2
HGNC:11199	SOX3
HGNC:11201	SOX5
HGNC:11204	SOX9
HGNC:11212	SPAG1
HGNC:11219	SPARC
HGNC:1122	BTD
HGNC:11226	SPG11
HGNC:11231	ATL1
HGNC:11233	SPAST
HGNC:11237	SPG7
HGNC:11244	SPINK1
HGNC:11247	SPINT2
HGNC:11257	SPR
HGNC:11270	SPRY2
HGNC:11272	SPTA1
HGNC:11273	SPTAN1
HGNC:11274	SPTB
HGNC:11276	SPTBN2
HGNC:11277	SPTLC1
HGNC:11278	SPTLC2
HGNC:11280	SQSTM1
HGNC:11281	SRA1
HGNC:11283	SRC
HGNC:11285	SRD5A2
HGNC:11303	SRP72
HGNC:11311	SRY
HGNC:11326	SSR4
HGNC:1133	BTK
HGNC:11335	SSX1
HGNC:11336	SSX2
HGNC:11354	STAG1
HGNC:11356	STAG3
HGNC:11359	STAR
HGNC:11362	STAT1
HGNC:11363	STAT2
HGNC:11364	STAT3
HGNC:11365	STAT4
HGNC:11367	STAT5B
HGNC:11386	STIM1
HGNC:11389	STK11
HGNC:11391	AURKC
HGNC:11397	PLK4
HGNC:11408	STK4
HGNC:11411	CDKL5
HGNC:1142	BTNL2
HGNC:11425	STS
HGNC:11427	STUB1
HGNC:11429	STX11
HGNC:11431	STX16
HGNC:11444	STXBP1
HGNC:11445	STXBP2
HGNC:11448	SUCLA2
HGNC:11449	SUCLG1
HGNC:11460	SUOX
HGNC:11474	SURF1
HGNC:11480	SVIL
HGNC:1149	BUB1B
HGNC:11494	SYN1
HGNC:11495	SYN2
HGNC:11497	SYNGAP1
HGNC:11503	SYNJ1
HGNC:11506	SYP
HGNC:11509	SYT1
HGNC:11510	SYT2
HGNC:11515	TBXT
HGNC:1152	BVES
HGNC:11521	TAC3
HGNC:11528	TACR3
HGNC:11529	EPCAM
HGNC:11530	TACSTD2
HGNC:11535	TAF1
HGNC:11536	TAF2
HGNC:11538	TAF4B
HGNC:11540	TAF6
HGNC:11547	TAF15
HGNC:11551	BRF1
HGNC:11556	TAL1
