id	xref
UPA:UCR00000	GO:0003824
UPA:UCR00005	KEGG:R00005
UPA:UCR00005	METACYC:ALLOPHANATE-HYDROLASE-RXN
UPA:UCR00005	RHEA:19032
UPA:UCR00010	KEGG:R00010
UPA:UCR00010	METACYC:TREHALA-RXN
UPA:UCR00010	RHEA:20871
UPA:UCR00010	RHEA:32678
UPA:UCR00013	KEGG:R00013
UPA:UCR00013	METACYC:GLYOCARBOLIG-RXN
UPA:UCR00013	RHEA:10139
UPA:UCR00014	KEGG:R00014
UPA:UCR00014	METACYC:RXN-12583
UPA:UCR00021	KEGG:R00021
UPA:UCR00021	METACYC:GLUTAMATE-SYNTHASE-FERREDOXIN-RXN
UPA:UCR00021	RHEA:12131
UPA:UCR00036	KEGG:R00036
UPA:UCR00036	METACYC:PORPHOBILSYNTH-RXN
UPA:UCR00036	RHEA:24067
UPA:UCR00066	KEGG:R00066
UPA:UCR00066	METACYC:RIBOFLAVIN-SYN-RXN
UPA:UCR00066	RHEA:20775
UPA:UCR00084	KEGG:R00084
UPA:UCR00084	METACYC:OHMETHYLBILANESYN-RXN
UPA:UCR00084	RHEA:13188
UPA:UCR00093	KEGG:R00093
UPA:UCR00093	METACYC:GLUTAMATE-SYNTHASE-NADH-RXN
UPA:UCR00093	RHEA:13756
UPA:UCR00114	KEGG:R00114
UPA:UCR00114	METACYC:GLUTAMATESYN-RXN
UPA:UCR00114	RHEA:15504
UPA:UCR00127	KEGG:R00127
UPA:UCR00127	METACYC:ADENYL-KIN-RXN
UPA:UCR00127	RHEA:12976
UPA:UCR00130	KEGG:R00130
UPA:UCR00130	METACYC:DEPHOSPHOCOAKIN-RXN
UPA:UCR00130	RHEA:18248
UPA:UCR00131	KEGG:R00131
UPA:UCR00131	METACYC:UREASE-RXN
UPA:UCR00131	RHEA:20560
UPA:UCR00137	KEGG:R00137
UPA:UCR00137	METACYC:2.7.7.1-RXN
UPA:UCR00137	RHEA:21363
UPA:UCR00150	KEGG:R00150
UPA:UCR00150	METACYC:CARBAMATE-KINASE-RXN
UPA:UCR00150	RHEA:10155
UPA:UCR00156	KEGG:R00156
UPA:UCR00156	METACYC:UDPKIN-RXN
UPA:UCR00156	RHEA:25101
UPA:UCR00158	KEGG:R00158
UPA:UCR00158	METACYC:RXN-12002
UPA:UCR00158	RHEA:24403
UPA:UCR00161	KEGG:R00161
UPA:UCR00161	METACYC:FADSYN-RXN
UPA:UCR00161	RHEA:17240
UPA:UCR00173	KEGG:R00173
UPA:UCR00173	METACYC:3.1.3.74-RXN
UPA:UCR00173	RHEA:20536
UPA:UCR00174	KEGG:R00174
UPA:UCR00174	METACYC:PYRIDOXKIN-RXN
UPA:UCR00174	RHEA:10227
UPA:UCR00177	KEGG:R00177
UPA:UCR00177	METACYC:S-ADENMETSYN-RXN
UPA:UCR00177	RHEA:21083
UPA:UCR00178	KEGG:R00178
UPA:UCR00178	METACYC:SAMDECARB-RXN
UPA:UCR00178	RHEA:15984
UPA:UCR00179	KEGG:R00179
UPA:UCR00179	METACYC:4.4.1.14-RXN
UPA:UCR00179	RHEA:21747
