subject_id	subject_label	object_id	object_label	predicate_id	mapping_justification
RHEA:10001		metacyc.compound:PENTANAMIDASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10003		kegg.reaction:R02938		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10004	benzyl isothiocyanate = benzyl thiocyanate	metacyc.compound:THIOCYANATE-ISOMERASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10007		kegg.reaction:R04010		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10013		metacyc.compound:R-6-HYDROXYNICOTINE-OXIDASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10015		kegg.reaction:R07170		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10017		metacyc.compound:SINAPINE-ESTERASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10019		kegg.reaction:R02381		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10022		metacyc.compound:RXN3O-127		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10023		kegg.reaction:R02315		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10027		kegg.reaction:R03938		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10029		metacyc.compound:D-GLUTAMATE-OXIDASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10031		kegg.reaction:R00279		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10033		metacyc.compound:PEPTIDYL-GLUTAMINASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10035		kegg.reaction:R04341		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10037		metacyc.compound:1.1.3.38-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10039		kegg.reaction:R02877		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10041		ecocyc:325-BISPHOSPHATE-NUCLEOTIDASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10041		metacyc.compound:325-BISPHOSPHATE-NUCLEOTIDASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10041		reactome:R-HSA-176606.3		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10041		reactome:R-HSA-8953499.3		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10043		kegg.reaction:R00188		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10045		metacyc.compound:CYCLOHEXANOL-DEHYDROGENASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10047		kegg.reaction:R02229		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10049		metacyc.compound:O-ACETYLHOMOSERINE-THIOL-LYASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10051		kegg.reaction:R00651		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10054		metacyc.compound:RXN-16245		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10059		kegg.reaction:R03030		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10059		metacyc.compound:4.3.1.14-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10060	acetyl-CoA + D-tryptophan = CoA + H(+) + N-acetyl-D-tryptophan	metacyc.compound:D-TRYPTOPHAN-N-ACETYLTRANSFERASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10063		kegg.reaction:R02481		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10064	(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + D-alanine + H2O = (6S)-5,6,7,8-tetrahydrofolate + 2-methylserine	metacyc.compound:D-ALANINE-HYDROXYMETHYLTRANSFERASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10067		kegg.reaction:R01225		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10069		metacyc.compound:RXN-18017		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10071		kegg.reaction:R12036		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10073		metacyc.compound:RXN-9680		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10075		kegg.reaction:R07244		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10077		metacyc.compound:BETAGALACTOSID-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10079		kegg.reaction:R01100		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10083		kegg.reaction:R05308		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10083		metacyc.compound:R5-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10085		metacyc.compound:PROTOCATECHUATE-34-DIOXYGENASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10087		kegg.reaction:R01631		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10091		kegg.reaction:R00809		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10091		metacyc.compound:2.4.1.167-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10093		ecocyc:DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10093		metacyc.compound:DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10095		kegg.reaction:R02751		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10097		metacyc.compound:2.3.1.184-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10099		kegg.reaction:R08940		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10101		metacyc.compound:STEROL-ESTERASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10103		kegg.reaction:R02115		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10105		metacyc.compound:RXN1F-170		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10107		kegg.reaction:R03009		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10111		kegg.reaction:R04697		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10111		metacyc.compound:1.1.1.248-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10115		kegg.reaction:R01290		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10115		metacyc.compound:CYSTATHIONINE-BETA-SYNTHASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10117		ecocyc:RXN-9952		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10117		metacyc.compound:6PGLUCONDEHYDROG-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10117		metacyc.compound:RXN-9952		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10117		reactome:R-HSA-71299.4		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10119		kegg.reaction:R01528		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10121		ecocyc:AMINOCYL-TRNA-HYDROLASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10121		metacyc.compound:AMINOCYL-TRNA-HYDROLASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10123		metacyc.compound:RXN-13992		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10125		metacyc.compound:1.14.13.92-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10127		kegg.reaction:R07201		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10129		metacyc.compound:RXN1F-155		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10131		kegg.reaction:R06948		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10133		metacyc.compound:BENZOATE--COA-LIGASE-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10133		reactome:R-HSA-159443.3		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10135		kegg.reaction:R01422		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10137		ecocyc:GLYOCARBOLIG-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10137		macie:M0298		oboinowl:hasDbXref	sempav:UnspecifiedMatching
RHEA:10137		metacyc.compound:GLYOCARBOLIG-RXN		oboinowl:hasDbXref	sempav:UnspecifiedMatching
