source_tier	trait_pattern	metpo_curie	predicate	in_metpo	metpo_info	notes
Tier 1 (manual)	produces: ethanol	CHEBI:16236	skos:exactMatch	FALSE	External ontology: CHEBI	object of biolink:produces edge
Tier 1 (manual)	produces: hydrogen sulfide	CHEBI:16136	skos:exactMatch	FALSE	External ontology: CHEBI	object of biolink:produces edge
Tier 1 (manual)	produces: indole	CHEBI:16881	skos:exactMatch	FALSE	External ontology: CHEBI	object of biolink:produces edge
Tier 1 (manual)	produces: methane from acetate	CHEBI:16183	skos:closeMatch	FALSE	External ontology: CHEBI	substrate acetate (CHEBI:30089) not captured in single object
Tier 1 (manual)	produces: siderophore	CHEBI:26672	skos:exactMatch	FALSE	External ontology: CHEBI	object of biolink:produces edge
Tier 1 (manual)	carbon source: acetate	CHEBI:30089	skos:exactMatch	FALSE	External ontology: CHEBI	substrate in biolink:capable_of edge via GO carbon utilization
Tier 1 (manual)	carbon source: ethanol	CHEBI:16236	skos:exactMatch	FALSE	External ontology: CHEBI	substrate in biolink:capable_of edge via GO carbon utilization
Tier 1 (manual)	enzyme activity: catalase (EC1.11.1.6)	EC:1.11.1.6	skos:exactMatch	FALSE	External ontology: EC	EC number extracted from trait name; biolink:capable_of
Tier 1 (manual)	enzyme activity: beta-galactosidase (EC3.2.1.23)	EC:3.2.1.23	skos:exactMatch	FALSE	External ontology: EC	EC number extracted from trait name; biolink:capable_of
Tier 1 (manual)	enzyme activity: urease (EC3.5.1.5)	EC:3.5.1.5	skos:exactMatch	FALSE	External ontology: EC	EC number extracted from trait name; biolink:capable_of
Tier 1 (manual)	enzyme activity: oxidase	GO:0016491	skos:closeMatch	FALSE	External ontology: GO	no EC in trait name; broad GO MF; biolink:capable_of
Tier 1 (manual)	enzyme activity: lipase	EC:3.1.1.3	skos:closeMatch	FALSE	External ontology: EC	no EC in trait name; inferred EC; biolink:capable_of
Tier 1 (manual)	fermentation	GO:0006113	skos:exactMatch	FALSE	External ontology: GO	biolink:capable_of; base process, no substrate
Tier 1 (manual)	nitrogen fixation	GO:0009399	skos:exactMatch	FALSE	External ontology: GO	biolink:capable_of
Tier 1 (manual)	denitrification pathway	GO:0019333	skos:exactMatch	FALSE	External ontology: GO	biolink:capable_of
Tier 1 (manual)	nitrification	GO:0019329	skos:closeMatch	FALSE	External ontology: GO	biolink:capable_of; nitrification is broader than this single GO term
Tier 1 (manual)	gram positive	METPO:1000606	skos:exactMatch	TRUE	Class: obligately aerobic	biolink:has_phenotype
