trait_label	acceptor_name	chebi_id	chebi_label	category	occurrences	go_xref	notes
electron acceptor: sulfur compounds	sulfur compounds	CHEBI:26833	sulfur molecular entity	inorganic	99543	GO:0019417	Parent class for elemental sulfur, sulfate, sulfite, thiosulfate
electron acceptor: amorphous iron (iii) oxide	iron(III) oxide	CHEBI:82594	iron(III) oxide	inorganic	8		Ferric iron reduction
electron acceptor: nitrate	nitrate	CHEBI:17632	nitrate	inorganic		GO:0009061	Denitrification
electron acceptor: nitrite	nitrite	CHEBI:16301	nitrite	inorganic			Nitrite reduction
electron acceptor: sulfate	sulfate	CHEBI:16189	sulfate	inorganic			Sulfate reduction
electron acceptor: arsenate	arsenate	CHEBI:29242	arsenate	inorganic			Arsenate respiration
electron acceptor: manganese oxide	manganese oxide	CHEBI:53448	manganese dioxide	inorganic			Mn(IV) reduction
electron acceptor: selenate	selenate	CHEBI:26649	selenate	inorganic			Selenate reduction
electron acceptor: fumarate	fumarate	CHEBI:29806	fumarate	organic		GO:0009061	Fumarate respiration
electron acceptor: DMSO	DMSO	CHEBI:28262	dimethyl sulfoxide	organic			DMSO respiration
electron acceptor: TMAO	TMAO	CHEBI:15724	trimethylamine N-oxide	organic			TMAO respiration
electron acceptor: thiosulfate	thiosulfate	CHEBI:16094	thiosulfate	inorganic			Thiosulfate reduction
electron acceptor: tetrathionate	tetrathionate	CHEBI:33180	tetrathionate	inorganic			Tetrathionate reduction
