phase	our_proposed_id	ACTUAL_METPO_ID	status	label	definition	domain	range	addresses_traits	trait_count	occurrences	priority	action_needed
1	METPO:has_growth_temperature_optimum	METPO:2000701	EXISTS	has growth temperature value	The temperature value at which an organism exhibits optimal growth.	biolink:OrganismTaxon	xsd:decimal	growth: [X] degrees Celsius	1	85311	CRITICAL	USE EXISTING - Implement in transforms immediately
1	METPO:has_growth_temperature_minimum	METPO:2000702	EXISTS	has minimum temperature value	The minimum temperature value at which an organism can grow.	biolink:OrganismTaxon	xsd:decimal	growth: [X] degrees Celsius	1	85311	CRITICAL	USE EXISTING - Implement in transforms immediately
1	METPO:has_growth_temperature_maximum	METPO:2000703	EXISTS	has maximum temperature value	The maximum temperature value at which an organism can grow.	biolink:OrganismTaxon	xsd:decimal	growth: [X] degrees Celsius	1	85311	CRITICAL	USE EXISTING - Implement in transforms immediately
1	METPO:has_NaCl_concentration_optimum	METPO:2000707	EXISTS	has growth salinity value	The salinity (NaCl concentration) value at which an organism exhibits optimal growth.	biolink:OrganismTaxon	xsd:decimal	growth: [X]% NaCl	1	85311	CRITICAL	USE EXISTING - Implement in transforms immediately
1	METPO:has_NaCl_concentration_minimum	METPO:2000708	EXISTS	has minimum salinity value	The minimum salinity (NaCl concentration) value at which an organism can grow.	biolink:OrganismTaxon	xsd:decimal	growth: [X]% NaCl	1	85311	CRITICAL	USE EXISTING - Implement in transforms immediately
1	METPO:has_NaCl_concentration_maximum	METPO:2000709	EXISTS	has maximum salinity value	The maximum salinity (NaCl concentration) value at which an organism can grow.	biolink:OrganismTaxon	xsd:decimal	growth: [X]% NaCl	1	85311	CRITICAL	USE EXISTING - Implement in transforms immediately
1	METPO:has_pH_optimum	METPO:2000704	EXISTS	has growth pH value	The pH value at which an organism exhibits optimal growth.	biolink:OrganismTaxon	xsd:decimal	pH preference	1	5479	HIGH	USE EXISTING - Implement in transforms immediately
1	METPO:has_pH_minimum	METPO:2000705	EXISTS	has minimum pH value	The minimum pH value at which an organism can grow.	biolink:OrganismTaxon	xsd:decimal	pH preference	1	5479	HIGH	USE EXISTING - Implement in transforms immediately
1	METPO:has_pH_maximum	METPO:2000706	EXISTS	has maximum pH value	The maximum pH value at which an organism can grow.	biolink:OrganismTaxon	xsd:decimal	pH preference	1	5479	HIGH	USE EXISTING - Implement in transforms immediately
2	METPO:2000021	METPO:2000002	EXISTS	assimilates	A relation between an organism and a chemical entity, where the organism takes up and incorporates the chemical into its biomass or metabolic intermediates.	biolink:OrganismTaxon	CHEBI:24431	assimilation: [chemical]	266	41000+	CRITICAL	USE EXISTING - Implement in transforms immediately
2	METPO:2000022	METPO:2000010	EXISTS	uses as energy source	A relation between an organism and a chemical entity, where the organism uses the chemical as an energy source.	biolink:OrganismTaxon	CHEBI:24431	energy source: [chemical]	97	41000+	CRITICAL	USE EXISTING - Implement in transforms immediately
2	METPO:2000023	METPO:2000014	EXISTS	uses as nitrogen source	A relation between an organism and a nitrogen-containing chemical entity, where the organism uses the chemical as a nitrogen source.	biolink:OrganismTaxon	CHEBI:51143	nitrogen source: [chemical]	57	41000+	HIGH	USE EXISTING - Implement in transforms immediately
2	METPO:2000024	METPO:2000009	EXISTS	uses as electron donor	A relation between an organism and a chemical entity, where the organism uses the chemical as an electron donor.	biolink:OrganismTaxon	CHEBI:24431	electron donor: [chemical]	53	41000+	HIGH	USE EXISTING - Implement in transforms immediately
3	METPO:2000025	METPO:2000003	EXISTS	builds acid from	A relation between an organism and a chemical substrate, where the organism produces acid from the substrate.	biolink:OrganismTaxon	CHEBI:24431	builds acid from: [substrate]	28	41000+	HIGH	USE EXISTING - Implement in transforms immediately
3	METPO:2000026	METPO:2000005	EXISTS	builds gas from	A relation between an organism and a chemical substrate, where the organism produces gas from the substrate.	biolink:OrganismTaxon	CHEBI:24431	builds gas from: [substrate]	16	41000+	MEDIUM	USE EXISTING - Implement in transforms immediately
3	METPO:2000027	METPO:2000004	EXISTS	builds base from	A relation between an organism and a chemical substrate, where the organism produces base from the substrate.	biolink:OrganismTaxon	CHEBI:24431	builds base from: [substrate]	7	41000+	LOW	USE EXISTING - Implement in transforms immediately
4	METPO:1007010	METPO:2000715	EXISTS	has GC percentage value	The GC percentage value of an organism's genome.	biolink:OrganismTaxon	xsd:decimal	GC percentage	1	100+	HIGH	USE EXISTING - Implement in transforms immediately
4	METPO:1007011	METPO:2000711	EXISTS	has genome size value	The genome size value in base pairs.	biolink:OrganismTaxon	xsd:decimal	genome size	1	100+	HIGH	USE EXISTING - Implement in transforms immediately
