proposed_id	label	definition	parent_class	chemical_xref	go_xref	occurrences	category	priority
METPO:3003000	electron acceptor capability	The capability of an organism to use a specific chemical compound as a terminal electron acceptor in its electron transport chain during cellular respiration.	METPO:2000509		GO:0009060		parent	HIGH
METPO:3003100	inorganic electron acceptor capability	The capability to use inorganic compounds as terminal electron acceptors.	METPO:3003000				parent	HIGH
METPO:3003101	sulfur compound electron acceptor capability	The capability to use sulfur-containing compounds (such as elemental sulfur, sulfate, sulfite, or thiosulfate) as terminal electron acceptors in anaerobic respiration.	METPO:3003100	CHEBI:26833	GO:0019417	99543	inorganic	HIGH
METPO:3003102	iron oxide electron acceptor capability	The capability to use iron(III) oxides or oxyhydroxides as terminal electron acceptors in anaerobic respiration.	METPO:3003100	CHEBI:82594		8	inorganic	MEDIUM
METPO:3003103	nitrate electron acceptor capability	The capability to use nitrate (NO3-) as a terminal electron acceptor in anaerobic respiration, typically reducing it to nitrite or gaseous nitrogen compounds.	METPO:3003100	CHEBI:17632	GO:0009061		inorganic	HIGH
METPO:3003104	nitrite electron acceptor capability	The capability to use nitrite (NO2-) as a terminal electron acceptor in anaerobic respiration.	METPO:3003100	CHEBI:16301			inorganic	MEDIUM
METPO:3003105	sulfate electron acceptor capability	The capability to use sulfate (SO4 2-) as a terminal electron acceptor in anaerobic respiration.	METPO:3003100	CHEBI:16189			inorganic	MEDIUM
METPO:3003106	arsenate electron acceptor capability	The capability to use arsenate (AsO4 3-) as a terminal electron acceptor in anaerobic respiration.	METPO:3003100	CHEBI:29242			inorganic	LOW
METPO:3003107	manganese oxide electron acceptor capability	The capability to use manganese(IV) oxides as terminal electron acceptors in anaerobic respiration.	METPO:3003100	CHEBI:53448			inorganic	LOW
METPO:3003108	selenate electron acceptor capability	The capability to use selenate (SeO4 2-) as a terminal electron acceptor in anaerobic respiration.	METPO:3003100	CHEBI:26649			inorganic	LOW
METPO:3003200	organic electron acceptor capability	The capability to use organic compounds as terminal electron acceptors in anaerobic respiration.	METPO:3003000				parent	MEDIUM
METPO:3003201	fumarate electron acceptor capability	The capability to use fumarate as a terminal electron acceptor, reducing it to succinate.	METPO:3003200	CHEBI:29806	GO:0009061		organic	MEDIUM
METPO:3003202	DMSO electron acceptor capability	The capability to use dimethyl sulfoxide (DMSO) as a terminal electron acceptor in anaerobic respiration.	METPO:3003200	CHEBI:28262			organic	LOW
METPO:3003203	TMAO electron acceptor capability	The capability to use trimethylamine N-oxide (TMAO) as a terminal electron acceptor in anaerobic respiration.	METPO:3003200	CHEBI:15724			organic	LOW
METPO:3003204	thiosulfate electron acceptor capability	The capability to use thiosulfate as a terminal electron acceptor in anaerobic respiration.	METPO:3003200	CHEBI:16094			organic	MEDIUM
METPO:3003205	tetrathionate electron acceptor capability	The capability to use tetrathionate as a terminal electron acceptor in anaerobic respiration.	METPO:3003200	CHEBI:33180			organic	LOW
