phase	term_id_suggestion	term_type	label	definition	domain	range	parent	addresses_traits	occurrences	priority	notes
1	METPO:has_growth_temperature_optimum	DatatypeProperty	has growth temperature optimum	The optimal temperature at which an organism achieves maximum growth rate (in degrees Celsius).	biolink:OrganismTaxon	xsd:decimal		growth: [X] degrees Celsius	85311	CRITICAL	Unit: UO:0000027 (degree Celsius)
1	METPO:has_growth_temperature_minimum	DatatypeProperty	has growth temperature minimum	The minimum temperature at which an organism can grow (in degrees Celsius).	biolink:OrganismTaxon	xsd:decimal		growth: [X] degrees Celsius		CRITICAL	Unit: UO:0000027
1	METPO:has_growth_temperature_maximum	DatatypeProperty	has growth temperature maximum	The maximum temperature at which an organism can grow (in degrees Celsius).	biolink:OrganismTaxon	xsd:decimal		growth: [X] degrees Celsius		CRITICAL	Unit: UO:0000027
1	METPO:has_NaCl_concentration_optimum	DatatypeProperty	has NaCl concentration optimum	The optimal NaCl concentration for growth expressed as weight/volume percentage.	biolink:OrganismTaxon	xsd:decimal		growth: [X]% NaCl	85311	CRITICAL	Unit: UO:0000187 (percent)
1	METPO:has_NaCl_concentration_minimum	DatatypeProperty	has NaCl concentration minimum	The minimum NaCl concentration tolerated for growth (w/v percentage).	biolink:OrganismTaxon	xsd:decimal		growth: [X]% NaCl		CRITICAL	Unit: UO:0000187
1	METPO:has_NaCl_concentration_maximum	DatatypeProperty	has NaCl concentration maximum	The maximum NaCl concentration tolerated for growth (w/v percentage).	biolink:OrganismTaxon	xsd:decimal		growth: [X]% NaCl		CRITICAL	Unit: UO:0000187
1	METPO:has_pH_optimum	DatatypeProperty	has pH optimum	The optimal pH for growth on the pH scale (0-14).	biolink:OrganismTaxon	xsd:decimal		pH preference	5479	HIGH	No unit needed (pH scale)
1	METPO:has_pH_minimum	DatatypeProperty	has pH minimum	The minimum pH at which growth can occur.	biolink:OrganismTaxon	xsd:decimal		pH preference		HIGH	pH scale 0-14
1	METPO:has_pH_maximum	DatatypeProperty	has pH maximum	The maximum pH at which growth can occur.	biolink:OrganismTaxon	xsd:decimal		pH preference		HIGH	pH scale 0-14
2	METPO:2000021	ObjectProperty	assimilates	A relation between an organism and a chemical entity, where the organism takes up and incorporates the chemical into its biomass or metabolic intermediates.	biolink:OrganismTaxon	CHEBI:24431	METPO:2000001	assimilation: [chemical]	41000+	CRITICAL	266 unique chemical traits; broader than carbon source
2	METPO:2000022	ObjectProperty	uses as energy source	A relation between an organism and a chemical entity, where the organism oxidizes or catabolizes the chemical primarily for energy (ATP) generation.	biolink:OrganismTaxon	CHEBI:24431	METPO:2000001	energy source: [chemical]	41000+	CRITICAL	97 unique chemical traits; distinct from carbon source
2	METPO:2000023	ObjectProperty	uses as nitrogen source	A relation between an organism and a nitrogen-containing chemical, where the organism assimilates the nitrogen for biosynthesis.	biolink:OrganismTaxon	CHEBI:51143	METPO:2000001	nitrogen source: [chemical]	41000+	HIGH	57 unique traits; may already exist as METPO:2000014
2	METPO:2000024	ObjectProperty	uses as electron donor	A relation between an organism and a chemical entity, where the organism oxidizes the chemical to obtain electrons for energy metabolism.	biolink:OrganismTaxon	CHEBI:24431	METPO:2000001	electron donor: [chemical]	41000+	HIGH	53 unique traits; complements METPO:2000008 (electron acceptor)
3	METPO:1007001	Class	cell shape	A phenotypic quality that describes the geometric shape of a bacterial or archaeal cell.	biolink:OrganismTaxon		METPO:1000000	cell shape	1	HIGH	Values: rod, coccus, spiral, filamentous, etc.
3	METPO:1007002	Class	cell length	A phenotypic quality that describes the length of a bacterial or archaeal cell, typically measured in micrometers.	biolink:OrganismTaxon		METPO:1000000	cell length, cell length minimum, cell length maximum	3	HIGH	Unit: UO:0000017 (micrometer)
3	METPO:1007003	Class	cell width	A phenotypic quality that describes the width or diameter of a bacterial or archaeal cell, typically measured in micrometers.	biolink:OrganismTaxon		METPO:1000000	cell width, cell width minimum, cell width maximum	3	HIGH	Unit: UO:0000017 (micrometer)
3	METPO:1007004	Class	cell color	A phenotypic quality that describes the color or pigmentation of bacterial or archaeal cells.	biolink:OrganismTaxon		METPO:1000000	cell color, cell color: yellow pigment	2	MEDIUM	Values: yellow, white, cream, orange, red, etc.
3	METPO:1007005	Class	flagellar arrangement	A phenotypic quality that describes the arrangement pattern of flagella on a cell.	biolink:OrganismTaxon		METPO:1000000	flagellum arrangement	1	MEDIUM	Values: monotrichous, peritrichous, lophotrichous, etc.
3	METPO:1007010	Class	GC content percentage	A genomic quality that describes the percentage of guanine-cytosine base pairs in the genome.	biolink:OrganismTaxon		METPO:1000000	GC percentage	1	HIGH	Key taxonomic marker; unit: percent
3	METPO:1007011	Class	genome size	A genomic quality that describes the total size of the genome in base pairs.	biolink:OrganismTaxon		METPO:1000000	genome size, estimated genome size	2	HIGH	Unit: UO:0000329 (base pair)
3	METPO:1007012	Class	gene count	A genomic quality that describes the total number of genes in the genome.	biolink:OrganismTaxon		METPO:1000000	gene count, estimated gene count	2	MEDIUM	Annotated or predicted
3	METPO:1007013	Class	coding density	A genomic quality that describes the percentage of the genome that codes for proteins.	biolink:OrganismTaxon		METPO:1000000	coding density	1	LOW	Unit: percent; typical bacterial 80-95%
3	METPO:1007020	Class	oxygen requirement	A phenotypic quality that describes the oxygen requirement for growth.	biolink:OrganismTaxon		METPO:1000000	oxygen preference	1	HIGH	May overlap with METPO:1001003/1001004
3	METPO:1007021	Class	pH tolerance range	An environmental quality that describes the range of pH values that support growth.	biolink:OrganismTaxon		METPO:1000000	pH growth	1	HIGH	Use with Phase 1 pH data properties
3	METPO:1007022	Class	pH minimum tolerance	An environmental quality that describes the minimum pH value that supports growth.	biolink:OrganismTaxon		METPO:1007021	pH minimum	1	HIGH	Scaffolding for data property
3	METPO:1007023	Class	pH maximum tolerance	An environmental quality that describes the maximum pH value that supports growth.	biolink:OrganismTaxon		METPO:1007021	pH maximum	1	HIGH	Scaffolding for data property
3	METPO:1007024	Class	pH optimum	An environmental quality that describes the optimal pH value for growth.	biolink:OrganismTaxon		METPO:1007021	pH preference	1	HIGH	Scaffolding for data property
3	METPO:1007025	Class	temperature tolerance range	An environmental quality that describes the range of temperatures that support growth.	biolink:OrganismTaxon		METPO:1000000	temperature growth	1	HIGH	Use with Phase 1 temperature data properties
3	METPO:1007026	Class	temperature minimum tolerance	An environmental quality that describes the minimum temperature that supports growth.	biolink:OrganismTaxon		METPO:1007025	temperature minimum	1	HIGH	Scaffolding for data property
3	METPO:1007027	Class	temperature maximum tolerance	An environmental quality that describes the maximum temperature that supports growth.	biolink:OrganismTaxon		METPO:1007025	temperature maximum	1	HIGH	Scaffolding for data property
3	METPO:1007028	Class	temperature optimum	An environmental quality that describes the optimal temperature for growth.	biolink:OrganismTaxon		METPO:1007025	temperature preference	1	HIGH	Scaffolding for data property
3	METPO:1007029	Class	salinity tolerance range	An environmental quality that describes the range of salt concentrations that support growth.	biolink:OrganismTaxon		METPO:1000000	salinity growth	1	MEDIUM	Use with Phase 1 NaCl data properties
