proposed_id	term_type	label	definition	parent_class	domain	range	unit_xref	addresses_occurrences
METPO:3002000	Class	quantitative temperature growth capability	The capability of an organism to grow at specific temperatures or within a temperature range.	METPO:1000604			UO:0000027	85311
METPO:has_growth_temperature_optimum	DatatypeProperty	has growth temperature optimum	The optimal temperature for growth.		METPO:3002000	xsd:decimal	UO:0000027	
METPO:has_growth_temperature_minimum	DatatypeProperty	has growth temperature minimum	The minimum temperature at which an organism can grow.		METPO:3002000	xsd:decimal	UO:0000027	
METPO:has_growth_temperature_maximum	DatatypeProperty	has growth temperature maximum	The maximum temperature at which an organism can grow.		METPO:3002000	xsd:decimal	UO:0000027	
METPO:3002001	Class	quantitative salt tolerance capability	The capability of an organism to tolerate or require specific concentrations of salt (NaCl).	METPO:1000846			UO:0000187	85311
METPO:has_NaCl_concentration_optimum	DatatypeProperty	has NaCl concentration optimum	The optimal NaCl concentration for growth (w/v percentage).		METPO:3002001	xsd:decimal	UO:0000187	
METPO:has_NaCl_concentration_minimum	DatatypeProperty	has NaCl concentration minimum	The minimum NaCl concentration tolerated for growth.		METPO:3002001	xsd:decimal	UO:0000187	
METPO:has_NaCl_concentration_maximum	DatatypeProperty	has NaCl concentration maximum	The maximum NaCl concentration tolerated for growth.		METPO:3002001	xsd:decimal	UO:0000187	
METPO:3002002	Class	quantitative pH tolerance capability	The capability of an organism to grow at specific pH values or within a pH range.	METPO:1000834|METPO:1000841			PATO:0001842	5479
METPO:has_pH_optimum	DatatypeProperty	has pH optimum	The optimal pH for growth (pH scale 0-14).		METPO:3002002	xsd:decimal		
METPO:has_pH_minimum	DatatypeProperty	has pH minimum	The minimum pH at which growth can occur.		METPO:3002002	xsd:decimal		
METPO:has_pH_maximum	DatatypeProperty	has pH maximum	The maximum pH at which growth can occur.		METPO:3002002	xsd:decimal		
