phase	term_id_suggestion	term_type	label	definition	domain	range	parent	addresses_traits	trait_count	occurrences	priority	notes
1	METPO:has_growth_temperature_optimum	DatatypeProperty	has growth temperature optimum	The optimal temperature at which an organism achieves maximum growth rate (in degrees Celsius).	biolink:OrganismTaxon	xsd:decimal		growth: [X] degrees Celsius	1	85311	CRITICAL	Unit: UO:0000027 (degree Celsius)
1	METPO:has_growth_temperature_minimum	DatatypeProperty	has growth temperature minimum	The minimum temperature at which an organism can grow (in degrees Celsius).	biolink:OrganismTaxon	xsd:decimal		growth: [X] degrees Celsius	1	85311	CRITICAL	Unit: UO:0000027
1	METPO:has_growth_temperature_maximum	DatatypeProperty	has growth temperature maximum	The maximum temperature at which an organism can grow (in degrees Celsius).	biolink:OrganismTaxon	xsd:decimal		growth: [X] degrees Celsius	1	85311	CRITICAL	Unit: UO:0000027
1	METPO:has_NaCl_concentration_optimum	DatatypeProperty	has NaCl concentration optimum	The optimal NaCl concentration for growth expressed as weight/volume percentage.	biolink:OrganismTaxon	xsd:decimal		growth: [X]% NaCl	1	85311	CRITICAL	Unit: UO:0000187 (percent)
1	METPO:has_NaCl_concentration_minimum	DatatypeProperty	has NaCl concentration minimum	The minimum NaCl concentration tolerated for growth (w/v percentage).	biolink:OrganismTaxon	xsd:decimal		growth: [X]% NaCl	1	85311	CRITICAL	Unit: UO:0000187
1	METPO:has_NaCl_concentration_maximum	DatatypeProperty	has NaCl concentration maximum	The maximum NaCl concentration tolerated for growth (w/v percentage).	biolink:OrganismTaxon	xsd:decimal		growth: [X]% NaCl	1	85311	CRITICAL	Unit: UO:0000187
1	METPO:has_pH_optimum	DatatypeProperty	has pH optimum	The optimal pH for growth on the pH scale (0-14).	biolink:OrganismTaxon	xsd:decimal		pH preference	1	5479	HIGH	No unit needed (pH scale)
1	METPO:has_pH_minimum	DatatypeProperty	has pH minimum	The minimum pH at which growth can occur.	biolink:OrganismTaxon	xsd:decimal		pH preference	1	5479	HIGH	pH scale 0-14
1	METPO:has_pH_maximum	DatatypeProperty	has pH maximum	The maximum pH at which growth can occur.	biolink:OrganismTaxon	xsd:decimal		pH preference	1	5479	HIGH	pH scale 0-14
2	METPO:2000021	ObjectProperty	assimilates	A relation between an organism and a chemical entity, where the organism takes up and incorporates the chemical into its biomass or metabolic intermediates.	biolink:OrganismTaxon	CHEBI:24431	METPO:2000001	assimilation: [chemical]	266	41000+	CRITICAL	Broader than carbon source; nutrient uptake/incorporation
