subject_label	subject_label_normalized	object_id	object_label	object_source	predicate_id	confidence	mapping_justification	curator	source_dataset	notes	verified_date
enzyme activity: catalase (EC1.11.1.6)	enzyme activity: catalase (ec1.11.1.6)	EC:1.11.1.6	catalase	EC	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	EC number extracted from trait name; biolink:capable_of	
enzyme activity: beta-galactosidase (EC3.2.1.23)	enzyme activity: beta-galactosidase (ec3.2.1.23)	EC:3.2.1.23	beta-galactosidase	EC	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	EC number extracted from trait name; biolink:capable_of	
enzyme activity: urease (EC3.5.1.5)	enzyme activity: urease (ec3.5.1.5)	EC:3.5.1.5	urease	EC	skos:exactMatch	high	semapv:ManualMappingCuration	turbomam	metatraits	EC number extracted from trait name; biolink:capable_of	
enzyme activity: oxidase	enzyme activity: oxidase	GO:0004129	cytochrome-c oxidase activity	GO	skos:closeMatch	medium	semapv:ManualMappingCuration	turbomam	metatraits	no EC in trait name; bacteriological oxidase test detects cytochrome-c oxidase (EC:7.1.1.9); GO:0016491 (oxidoreductase activity) was too broad	2026-04-08
enzyme activity: lipase	enzyme activity: lipase	GO:0016298	lipase activity	GO	skos:closeMatch	medium	semapv:ManualMappingCuration	turbomam	metatraits	no EC in trait name; EC:3.1.1.3 (triacylglycerol lipase) was too specific; GO:0016298 (lipase activity) is the appropriate generic parent; biolink:capable_of	2026-04-08
enzyme activity: DNase	enzyme activity: dnase	GO:0004536	deoxyribonuclease activity	GO	skos:closeMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	high-frequency trait (1.49M obs); GO:0004530 was DNase I specifically (EC:3.1.21.1); GO:0004536 is the correct generic parent for unspecified DNase; biolink:capable_of	2026-04-08
enzyme activity: coagulase	enzyme activity: coagulase	kgmicrobe.activity:coagulase_activity	coagulase activity	kgmicrobe.activity	skos:closeMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	high-frequency trait (1.49M obs); placeholder for proposed METPO:1007089 (see mappings/kgmicrobe_proposal_placeholders.tsv); biolink:capable_of	2026-04-27
enzyme activity: gelatinase	enzyme activity: gelatinase	GO:0004175	endopeptidase activity	GO	skos:closeMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	high-frequency trait (4.8K obs); bacteriological gelatin liquefaction test is mechanistically non-specific (serine and metalloendopeptidases both liquefy gelatin); GO:0004175 (endopeptidase activity) is the honest broad closeMatch; biolink:capable_of	2026-04-08
enzyme activity: amylase	enzyme activity: amylase	GO:0016160	amylase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	high-frequency trait (2.8K obs); biolink:capable_of	2026-03-26
enzyme activity: Alanyl-Phenylalanyl-Proline arylamidase	enzyme activity: alanyl-phenylalanyl-proline arylamidase	GO:0004177	aminopeptidase activity	GO	skos:closeMatch	medium	semapv:ManualMappingCuration	claude-code	metatraits	high-frequency trait (3.5K obs); GO:0016285 was alanyl aminopeptidase activity (overly specific); GO:0004177 is the correct generic parent for arylamidase/aminopeptidase; biolink:capable_of	2026-04-08
enzyme activity: alpha-arabinosidase	enzyme activity: alpha-arabinosidase	EC:3.2.1.55	alpha-L-arabinofuranosidase	EC	skos:exactMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	EC number lookup; label fixed: alpha-N was wrong (N=nitrogen not N=name), alpha-L is the stereoisomer designation per KEGG and ec2go; biolink:capable_of	2026-04-08
enzyme activity: lecithinase	enzyme activity: lecithinase	EC:3.1.4.3	phosphatidylcholine phospholipase C	EC	skos:closeMatch	medium	semapv:ManualMappingCuration	claude-code	metatraits	bacteriological lecithinase = phospholipase C (EC:3.1.4.3, lecithinase C); EC:3.1.1.5 was lysophospholipase (lecithinase B, acts on pre-cleaved substrates); biolink:capable_of	2026-04-08
enzyme activity: pectinase	enzyme activity: pectinase	EC:3.2.1.15	polygalacturonase	EC	skos:closeMatch	medium	semapv:ManualMappingCuration	claude-code	metatraits	pectinase is broad term; specific EC chosen; biolink:capable_of	2026-03-26
enzyme activity: tyrosinase	enzyme activity: tyrosinase	EC:1.14.18.1	tyrosinase	EC	skos:exactMatch	high	semapv:ManualMappingCuration	claude-code	metatraits	EC number lookup; biolink:capable_of	2026-03-26
