subject_label	subject_label_normalized	object_id	object_label	object_source	predicate_id	confidence	mapping_justification	curator	source_dataset	notes	verified_date	ec_number
glycyl tryptophan arylamidase	glycyl tryptophan arylamidase	GO:0004177	aminopeptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Arylamidase = aminopeptidase, cleaves amino acids from peptides	2026-05-03	
alpha-maltosidase	alpha-maltosidase	GO:0004558	alpha-1,4-glucosidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Maltosidase hydrolyzes alpha-1,4 glucosidic bonds; GO:0004339 is glucan 1,4-alpha-glucosidase (EC 3.2.1.3), a different enzyme	2026-05-03	3.2.1.20
beta-Galactosidase 6-phosphate	beta-galactosidase 6-phosphate	GO:0004565	beta-galactosidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Phosphorylated beta-galactosidase variant	2026-05-03	3.2.1.23
esterase (C 4)	esterase (c 4)	GO:0016788	hydrolase activity, acting on ester bonds	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	C4 indicates chain length specificity	2026-05-03	
esterase Lipase (C 8)	esterase lipase (c 8)	GO:0016788	hydrolase activity, acting on ester bonds	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	C8 indicates medium chain specificity	2026-05-03	
L-arginine arylamidase	l-arginine arylamidase	GO:0004177	aminopeptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Arylamidase = aminopeptidase, arginine-specific	2026-05-03	
naphthol-AS-BI-phosphohydrolase	naphthol-as-bi-phosphohydrolase	GO:0016791	phosphatase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Phosphohydrolase = phosphatase, naphthol substrate	2026-05-03	
valine arylamidase	valine arylamidase	GO:0004177	aminopeptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Arylamidase = aminopeptidase, valine-specific	2026-05-03	
lipase (C 14)	lipase (c 14)	GO:0016788	hydrolase activity, acting on ester bonds	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	C14 indicates long chain specificity (lipase)	2026-05-03	
arginine arylamidase	arginine arylamidase	GO:0004177	aminopeptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Arylamidase = aminopeptidase, arginine-specific	2026-05-03	
esterase lipase (C 8)	esterase lipase (c 8)	GO:0016788	hydrolase activity, acting on ester bonds	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	C8 indicates medium chain specificity	2026-05-03	
glutamyl-glutamate arylamidase	glutamyl-glutamate arylamidase	GO:0004177	aminopeptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Arylamidase = aminopeptidase, glutamyl-glutamate-specific	2026-05-03	
esterase	esterase	GO:0016788	hydrolase activity, acting on ester bonds	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Broad esterase activity without chain length specification	2026-05-03	
glycin arylamidase	glycin arylamidase	GO:0004177	aminopeptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Arylamidase = aminopeptidase, glycine-specific	2026-05-03	
tryptophan deaminase	tryptophan deaminase	GO:0009034	tryptophanase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Lyase cleaving tryptophan to indole, pyruvate, and ammonia; GO:0004838 is L-tyrosine transaminase (unrelated)	2026-05-03	4.1.99.1
protease	protease	GO:0008233	peptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Broad term for enzymes that hydrolyze peptide bonds	2026-05-03	
beta-galactopyranosidase	beta-galactopyranosidase	GO:0004565	beta-galactosidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Synonym for beta-galactosidase (pyranose form)	2026-05-03	3.2.1.23
beta-xylosidase	beta-xylosidase	GO:0009044	xylan 1,4-beta-xylosidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Hydrolyzes beta-1,4-xylosidic linkages in xylans	2026-05-03	3.2.1.37
tween esterase	tween esterase	GO:0016788	hydrolase activity, acting on ester bonds	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Esterase specific for Tween substrates (polysorbates)	2026-05-03	
phosphatase	phosphatase	GO:0016791	phosphatase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Broad term for enzymes that hydrolyze phosphate ester bonds	2026-05-03	
alanine aminopeptidase	alanine aminopeptidase	GO:0016285	alanyl aminopeptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Aminopeptidase with preference for alanine (EC 3.4.11.2)	2026-05-03	3.4.11.2
phenylalanine arylamidase	phenylalanine arylamidase	GO:0004177	aminopeptidase activity	GO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_enzyme_name_to_go	metatraits	Arylamidase = aminopeptidase, phenylalanine-specific	2026-05-03	
