subject_label	subject_label_normalized	object_id	object_label	object_source	predicate_id	confidence	mapping_justification	curator	source_dataset	notes	verified_date
has growth temperature minimum	has growth temperature minimum	METPO:2000702	has minimum temperature value	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Phase 1 datatype property already exists; reuse for min growth temperature.	2026-04-25
has growth temperature maximum	has growth temperature maximum	METPO:2000703	has maximum temperature value	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Phase 1 datatype property already exists; reuse for max growth temperature.	2026-04-25
has NaCl concentration minimum	has nacl concentration minimum	METPO:2000708	has minimum salinity value	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Phase 1 datatype property already exists; reuse for min NaCl concentration.	2026-04-25
has NaCl concentration maximum	has nacl concentration maximum	METPO:2000709	has maximum salinity value	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Phase 1 datatype property already exists; reuse for max NaCl concentration.	2026-04-25
has pH minimum	has ph minimum	METPO:2000705	has minimum pH value	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Phase 1 datatype property already exists; reuse for min growth pH.	2026-04-25
has pH maximum	has ph maximum	METPO:2000706	has maximum pH value	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Phase 1 datatype property already exists; reuse for max growth pH.	2026-04-25
cell shape	cell shape	METPO:1000666	cell shape	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Existing class with rich children (rod shaped, coccus shaped, spiral shaped, ...).	2026-04-25
cellular morphology	cellular morphology	METPO:1000666	cell shape	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Existing class with rich children (rod shaped, coccus shaped, spiral shaped, ...).	2026-04-25
rod-shaped	rod-shaped	METPO:1000681	rod shaped	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; kg-review-lit-check: 'rod-shaped' is a synonym of METPO:1000681 'rod shaped'.	2026-04-25
coccus	coccus	METPO:1000668	coccus shaped	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; kg-review-lit-check: 'coccus' is a synonym of METPO:1000668 'coccus shaped'.	2026-04-25
spiral	spiral	METPO:1000684	spiral shaped	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; kg-review-lit-check: 'spiral' is a synonym of METPO:1000684 'spiral shaped'.	2026-04-25
filamentous	filamentous	METPO:1000674	filament shaped	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; kg-review-lit-check: 'filamentous' is the adjectival form of METPO:1000674 'filament shaped'.	2026-04-25
cell length	cell length	METPO:1000881	cell length	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Existing class. Datatype property METPO:2000721 'has cell length value' covers the numeric value.	2026-04-25
cellular length	cellular length	METPO:1000881	cell length	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Existing class. Datatype property METPO:2000721 'has cell length value' covers the numeric value.	2026-04-25
cell width	cell width	METPO:1000882	cell width	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Existing class. Datatype property METPO:2000722 'has cell width value' covers the numeric value.	2026-04-25
cellular width	cellular width	METPO:1000882	cell width	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Existing class. Datatype property METPO:2000722 'has cell width value' covers the numeric value.	2026-04-25
cell diameter	cell diameter	METPO:1000882	cell width	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Existing class. Datatype property METPO:2000722 'has cell width value' covers the numeric value.	2026-04-25
cell color	cell color	METPO:1003021	pigmentation	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'cell color' is already a synonym of METPO:1003021 'pigmentation'.	2026-04-25
cell pigmentation	cell pigmentation	METPO:1003021	pigmentation	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'cell color' is already a synonym of METPO:1003021 'pigmentation'.	2026-04-25
colony color	colony color	METPO:1003021	pigmentation	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'cell color' is already a synonym of METPO:1003021 'pigmentation'.	2026-04-25
GC content percentage	gc content percentage	METPO:1000127	GC content	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'GC percentage' is already a synonym of METPO:1000127. Datatype property METPO:2000715 'has GC percentage value' covers the numeric value.	2026-04-25
GC%	gc%	METPO:1000127	GC content	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'GC percentage' is already a synonym of METPO:1000127. Datatype property METPO:2000715 'has GC percentage value' covers the numeric value.	2026-04-25
mol% G+C	mol% g+c	METPO:1000127	GC content	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'GC percentage' is already a synonym of METPO:1000127. Datatype property METPO:2000715 'has GC percentage value' covers the numeric value.	2026-04-25
genomic GC content	genomic gc content	METPO:1000127	GC content	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'GC percentage' is already a synonym of METPO:1000127. Datatype property METPO:2000715 'has GC percentage value' covers the numeric value.	2026-04-25
genome size	genome size	METPO:2000711	has genome size value	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'genome size' is already a synonym of the datatype property METPO:2000711.	2026-04-25
genome length	genome length	METPO:2000711	has genome size value	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'genome size' is already a synonym of the datatype property METPO:2000711.	2026-04-25
genomic size	genomic size	METPO:2000711	has genome size value	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'genome size' is already a synonym of the datatype property METPO:2000711.	2026-04-25
gene count	gene count	METPO:2000713	has gene count value	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'gene count' is already a synonym of the datatype property METPO:2000713.	2026-04-25
number of genes	number of genes	METPO:2000713	has gene count value	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'gene count' is already a synonym of the datatype property METPO:2000713.	2026-04-25
total gene count	total gene count	METPO:2000713	has gene count value	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'gene count' is already a synonym of the datatype property METPO:2000713.	2026-04-25
coding density	coding density	METPO:2000716	has coding density value	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'coding density' is already a synonym of the datatype property METPO:2000716.	2026-04-25
coding sequence percentage	coding sequence percentage	METPO:2000716	has coding density value	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'coding density' is already a synonym of the datatype property METPO:2000716.	2026-04-25
protein-coding percentage	protein-coding percentage	METPO:2000716	has coding density value	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; 'coding density' is already a synonym of the datatype property METPO:2000716.	2026-04-25
oxygen requirement	oxygen requirement	METPO:1000601	oxygen preference	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Existing parent class with full oxygen-requirement child set (METPO:1000602-1000612).	2026-04-25
aerobic	aerobic	METPO:1000602	aerobic	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; kg-review-lit-check: METPO:1000602 is the specific 'aerobic' child class.	2026-04-25
anaerobic	anaerobic	METPO:1000603	anaerobic	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; kg-review-lit-check: METPO:1000603 is the specific 'anaerobic' child class.	2026-04-25
facultative anaerobic	facultative anaerobic	METPO:1000605	facultatively anaerobic	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; kg-review-lit-check: METPO:1000605 has 'facultative anaerobe' as a synonym.	2026-04-25
microaerophilic	microaerophilic	METPO:1000604	microaerophilic	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; kg-review-lit-check: METPO:1000604 is the specific 'microaerophilic' child class.	2026-04-25
aerotolerant	aerotolerant	METPO:1000609	aerotolerant	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; kg-review-lit-check: METPO:1000609 is the specific 'aerotolerant' child class.	2026-04-25
pH tolerance range	ph tolerance range	METPO:1000332	pH range	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; METPO:1000332 'pH range' already models the tolerated pH window.	2026-04-25
pH optimum	ph optimum	METPO:1000331	pH optimum	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Exact label match.	2026-04-25
temperature tolerance range	temperature tolerance range	METPO:1000306	temperature range	METPO	skos:closeMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; METPO:1000306 'temperature range' already models the tolerated temperature window.	2026-04-25
temperature optimum	temperature optimum	METPO:1000304	temperature optimum	METPO	skos:exactMatch	high	semapv:ManualMappingCuration	extract_metpo_proposals	metpo_proposal_audit	biolink:has_phenotype; Exact label match.	2026-04-25
