subject_label	subject_label_normalized	object_id	object_label	object_source	predicate_id	confidence	mapping_justification	curator	source_dataset	notes	verified_date	emit_predicate	emit_category
electron acceptor: sulfur compounds	electron acceptor: sulfur compounds	CHEBI:26835	sulfur molecular entity	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Parent class for all sulfur compounds; covers sulfate, sulfite, thiosulfate, elemental sulfur; CHEBI:26833 (sulfur atom) was wrong, CHEBI:26835 confirmed as sulfur molecular entity	2026-05-03	METPO:2000008	biolink:ChemicalEntity
electron acceptor: amorphous iron (iii) oxide	electron acceptor: amorphous iron (iii) oxide	CHEBI:192761	ferrihydrite	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Amorphous iron oxide = ferrihydrite (CHEBI:192761); CHEBI:82594 was Ferritin (a protein), completely wrong; CHEBI:50819 (ferric oxide) is crystalline hematite, not amorphous	2026-05-03	METPO:2000008	biolink:ChemicalEntity
electron acceptor: ethylenediaminetetraacetatoferrate	electron acceptor: ethylenediaminetetraacetatoferrate	CHEBI:30729	ethylenediaminetetraacetatoferrate(1-)	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Fe(III)-EDTA complex used in electron transport studies; CHEBI:42191 was EDTA(4-) (free ligand, no iron), wrong; CHEBI:30729 confirmed as the iron complex	2026-05-03	METPO:2000008	biolink:ChemicalEntity
electron acceptor: amorphous fe(iii) oxyhydroxid	electron acceptor: amorphous fe(iii) oxyhydroxid	CHEBI:192761	ferrihydrite	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Variant spelling of iron(III) oxyhydroxide; ferrihydrite = amorphous Fe(III) oxyhydroxide; CHEBI:82594 was Ferritin (wrong)	2026-05-03	METPO:2000008	biolink:ChemicalEntity
oxidation in darkness: sulfur compounds	oxidation in darkness: sulfur compounds	CHEBI:26835	sulfur molecular entity	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	METPO:2000605 (oxidizes in darkness) predicate confirmed in metpo.owl; CHEBI:26833 (sulfur atom) was wrong, CHEBI:26835 is sulfur molecular entity	2026-05-03	METPO:2000605	biolink:ChemicalEntity
degradation: plastic	degradation: plastic	ENVO:06105101	plastic	ENVO	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	"Use ENVO for synthetic materials; plastic biodegradation pathway; ENVO:01000970 was ""delicatessen"" (completely wrong), ENVO:06105101 confirmed as ""plastic"""	2026-05-03	METPO:2000007	biolink:EnvironmentalMaterial
degradation: aromatic compound	degradation: aromatic compound	CHEBI:33655	aromatic compound	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Parent class for benzene ring-containing compounds	2026-05-03	METPO:2000007	biolink:ChemicalEntity
degradation: hydrocarbon	degradation: hydrocarbon	CHEBI:24632	hydrocarbon	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Parent class for aliphatic and aromatic hydrocarbons	2026-05-03	METPO:2000007	biolink:ChemicalEntity
degradation: aromatic hydrocarbon	degradation: aromatic hydrocarbon	CHEBI:33848	polycyclic arene	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	"CHEBI:33848 canonical label is ""polycyclic arene"" (PAHs); covers BTEX and other monoaromatics only as subsets; label corrected from ""aromatic hydrocarbon"" to canonical"	2026-05-03	METPO:2000007	biolink:ChemicalEntity
degradation: elastin	degradation: elastin	CHEBI:4767	Elastin	CHEBI	skos:exactMatch	high	semapv:ManualMappingCuration	metatraits_special_chemical	metatraits	Protein degradation; extracellular protease activity; CHEBI:53248 was poly(vinylpyrrolidone) (PVP, a synthetic polymer), completely wrong; CHEBI:4767 confirmed as Elastin	2026-05-03	METPO:2000007	biolink:ChemicalEntity
