original_term	term_source	chebi_id	chebi_label	chebi_formula	mapping_quality
cpd:C11141	kegg_compound	CHEBI:10	(+)-Atherospermoline		high
cpd:C10503	kegg_compound	CHEBI:100	(-)-medicarpin		high
cpd:C09977	kegg_compound	CHEBI:10000	Vismione D		high
cpd:C09316	kegg_compound	CHEBI:10001	Visnadin		high
cpd:C09049	kegg_compound	CHEBI:10002	visnagin		high
cpd:C09252	kegg_compound	CHEBI:10014	Voacamine		high
Nalidixic acid	bacdive_api	CHEBI:100147	nalidixic acid		high
cpd:C05079	kegg_compound	CHEBI:100147	nalidixic acid		high
nalidixic acid	bacdive_metabolite	CHEBI:100147	nalidixic acid		high
cpd:C09253	kegg_compound	CHEBI:10015	vobasine		high
cpd:C09254	kegg_compound	CHEBI:10016	vobtusine		high
cpd:C08260	kegg_compound	CHEBI:10017	volemitol		high
cpd:C08344	kegg_compound	CHEBI:10018	volkenin		high
cpd:C09255	kegg_compound	CHEBI:10019	Vomicine		high
cpd:C09747	kegg_compound	CHEBI:10022	deoxynivalenol		high
cpd:C07622	kegg_compound	CHEBI:10023	voriconazole		high
cpd:C09600	kegg_compound	CHEBI:10024	Vulgarin		high
ciprofloxacin	bacdive_metabolite	CHEBI:100241	ciprofloxacin		high
cpd:C05349	kegg_compound	CHEBI:100241	ciprofloxacin		high
cpd:C06687	kegg_compound	CHEBI:100246	norfloxacin		high
norfloxacin	bacdive_metabolite	CHEBI:100246	norfloxacin		high
cpd:C08568	kegg_compound	CHEBI:10025	Vulgaxanthin-I		high
cpd:C08569	kegg_compound	CHEBI:10026	Vulgaxanthin-II		high
cpd:C06497	kegg_compound	CHEBI:10027	WIN I(S)		high
cpd:C06490	kegg_compound	CHEBI:10028	WIN VI		high
cpd:C06493	kegg_compound	CHEBI:10029	WIN54954		high
cpd:C09748	kegg_compound	CHEBI:10032	Warburganal		high
cpd:C01541	kegg_compound	CHEBI:10033	warfarin		high
cpd:C01629	kegg_compound	CHEBI:10036	wax ester		high
cpd:C10541	kegg_compound	CHEBI:10037	wedelolactone		high
cpd:C10542	kegg_compound	CHEBI:10038	wighteone		high
