ingredient_name	occurrence_count	chebi_id	cas_rn	kg_microbe_node_id	mim_id	culturemech_term_id	mapping_status	synonyms	example_media
NaCl	5214	CHEBI:26710	7647-14-5	CHEBI:26710	CHEBI:26710	CHEBI:26710	MAPPED	(adjust if required in range 100-150)|(for Agar medium autoclave separately)|Kochsalz|NaCl (Fisher S271-500)|NaCl(Fisher S271-500)|Natriumchlorid|Sodium Chloride|chlorure de sodium|cloruro sodico|common salt|natrii chloridum|rock salt|salt|sodium chloride|table salt	CultureMech:000038; CultureMech:000045; CultureMech:000049
Yeast extract	4979		8013-01-2		FOODON:03315426	FOODON:03315426	MAPPED	Bacto Yeast  Extract (Difco)|Bacto Yeast Extract (Difco)|Bacto yeast extract|Bacto-yeast extract|Difco Bacto-yeast extract|Dried yeast extract S (Wako)|Fresh Baker's Yeast Extract|Liquid yeast extract (Flow)|Yeast Extract (BD 211928)|Yeast Extract (BD 212750)|Yeast Extract (BD, 212750)|Yeast Extract (Hardy C7340)|Yeast Extract(Difco)|Yeast extract (BBL)|Yeast extract (BD Bacto)|Yeast extract (BD--Difco)|Yeast extract (BD-BBL)|Yeast extract (BD-Difco)|Yeast extract (Difco or Oxoid)|Yeast extract (Difco)|Yeast extract (OXOID)|Yeast extract (Oxoid LP0021, BD 212750)|Yeast extract (Oxoid)|Yeast extract(Bacto, Difco)|Yeast extract(CAS: 8013-01-2)|Yeast extract(Oxoid)|yeast extract (BD Difco)|yeast extract (BD-Difco)|yeast extract (Difco)|yeast extract (Nacalai Tesque, Kyoto, Japan)	CultureMech:000058; CultureMech:000061; CultureMech:000070
See source for composition	4875				UNMAPPED_0002		UNMAPPED		CultureMech:000189; CultureMech:000192; CultureMech:000191
KH2PO4	3950	CHEBI:63036	7778-77-0	CHEBI:63036	CHEBI:63036	CHEBI:63036	MAPPED	(dibasic)|KH PO|KH2PO4(Sigma P 0662)|MKP|Monopotassium dihydrogen phosphate|Monopotassium monophosphate|Monopotassium orthophosphate|Monopotassium phosphate|Orthophosphoric acid, monopotassium salt|Phosphoric acid, monopotassium salt|Phosphoric acid, potassium salt (1:1)|Potassium Phosphate|Potassium acid phosphate|Potassium dihydrogen orthophosphate|Potassium dihydrogen phosphate|Potassium phosphate monobasic|Sorensen's potassium phosphate|potassium dihydrogen phosphate	CultureMech:000292; CultureMech:015858; CultureMech:015860
H3BO3	3552	CHEBI:33118	10043-35-3	CHEBI:33118	CHEBI:33118	CHEBI:33118	MAPPED	B(OH)3|Boric acid|H3BO|H3BO3(Baker 0084)|[B(OH)3]|boric acid|boron trihydroxide|orthoboric acid|trihydroxidoboron	CultureMech:000292; CultureMech:000297; CultureMech:000283
Agar	3464	CHEBI:2509	9002-18-0	CHEBI:2509	CHEBI:2509	CHEBI:2509	MAPPED	( Noble)|( modified)|(alternative)|(for solid medium)|(for solid medium, alternative)|(if appropriate)|Bacteriological Agar	CultureMech:015878; CultureMech:000133; CultureMech:000134
CaCl2 x 2 H2O	3307	CHEBI:86158	10035-04-8	CHEBI:86158	CHEBI:86158	CHEBI:86158	MAPPED	CaCl 2 X 2 H2O|CaCl2  x 2 H2O|CaCl2 . 2H2O|CaCl2 x  2 H2O|CaCl2 x 2 H2O (0.1% w/v)|CaCl2 x 2 H2O (50 g/l stock solution)|CaCl2 x 2 H2O (5M)|CaCl2 x 2 H2O solution (7%)|CaCl2 x 2H2O|CaCl2 x2H2O|CaCl2 · 2H2O|CaCl2. 2H2O|CaCl2.2H2O|CaCl2x 2H2O|CaCl2x2H2O|CaCl2·2H2O|CaCl2•2H2O|CaCl2•2H2O (Sigma C-3881)|CaCl2•2H2O(CAS: 10035-04-8)|CaCl2•2H2O(Sigma C-3881)|Calcium chloride dihydrate|calcium chloride dihydrate|calcium chloride--water (1/2)	CultureMech:000045; CultureMech:000047; CultureMech:000049
MgSO4 x 7 H2O	3216	CHEBI:31795	10034-99-8		CHEBI:31795	CHEBI:31795	MAPPED	.MgSO4 x 7 H2O|MgSO 4 x 7 H2O|MgSO x 7 H2O|MgSO2 x 7 H2O|MgSO4.7H2O|MgSO4x7H2O|magnesium sulfate (1:1) heptahydrate|magnesium sulfate heptahydrate|magnesium sulfate--water (1/7)|magnesium sulphate heptahydrate|sulfuric acid magnesium salt heptahydrate	CultureMech:000252; CultureMech:000292; CultureMech:000297
NH4Cl	3065	CHEBI:31206	12125-02-9	CHEBI:31206	CHEBI:31206	CHEBI:31206	MAPPED	(NH4)Cl|Ammonium Chloride|Ammoniumchlorid|NH4Cl(CAS: 12125-02-9)|NH4Cl(Fisher A 649-500)|NH4Cl2|[NH4]Cl|ammonium chloride|azanium chloride	CultureMech:015832; CultureMech:015840; CultureMech:015858
Na2MoO4 x 2 H2O	3049	CHEBI:75213	10102-40-6	CHEBI:75213	CHEBI:75213	CHEBI:75213	MAPPED	Disodium molybdate dihydrate|Molybdic acid, disodium salt, dihydrate|Na2 MoO4 x 2 H2O|Na2Mo4 x 2 H2O|Na2MoO4*2 H2O|Na2MoO4*2H2O|Na2MoO4-2H2O|Na2MoO4.2H2O|Na2MoO7 x 2 H2O|Na2MoO7O4 x 2 H2O|Na2MoSO4|Na2MoSO4 x 2 H2O|NaMoO4|NaMoO4 x 2 H2O|Sodium Molybdate Dihydrate|Sodium molybdate(VI) dihydrate|sodium dioxido(dioxo)molybdenum--water (1/2)|sodium molybdate dihydrate|sodium orthomolybdate dihydrate	CultureMech:000039; CultureMech:000057; CultureMech:000040
K2HPO4	2870	CHEBI:131527	7758-11-4	CHEBI:131527	CHEBI:131527	CHEBI:131527	MAPPED	K2HPO4 x 3H2O|K2HPO4 · 3 H2O|K2HPO4.3H2O|K2HPO4x 3 H2O|K2HPO4·3H2O|K2HPO4・3H2O|dipotassium hydrogen phosphate	CultureMech:000038; CultureMech:000050; CultureMech:000043
