# Registry of kgmicrobe.* placeholder CURIEs that stand in for proposed (not yet minted)
# METPO terms in transform output.
#
# POLICY: Until a METPO term is officially minted in the upstream
# berkeleybop/metpo ontology release, KG-Microbe transforms MUST NOT emit the
# proposed METPO ID. Use a kgmicrobe.<sub>:<local_id> CURIE here instead. Once
# the term is published in METPO, swap this row's transform_object_id back to
# the METPO ID and mark status=accepted.
#
# kgmicrobe.* sub-prefixes in use (see kg_microbe/transform_utils/custom_curies.yaml
# for the per-CURIE label/category definitions consumed by transforms):
#   kgmicrobe.activity:* — molecular activities not yet in GO/EC/METPO
#   kgmicrobe.trait:*    — phenotypic qualities not yet in METPO
#   kgmicrobe.compound:* — chemical entities not yet in CHEBI
#   kgmicrobe.pathway:*  — biological processes not yet in GO/METPO
#
# Columns:
#   kgmicrobe_curie        — placeholder CURIE actually emitted by the transform
#   label                  — human-readable label
#   biolink_category       — biolink category emitted on the node
#   proposed_metpo_id      — METPO ID this placeholder will swap to (mappings/metpo_proposal_*.tsv)
#   proposed_metpo_label   — label of the proposed METPO term
#   used_by                — transform/mapping file that emits this CURIE
#   status                 — placeholder | proposal_filed | accepted
#   notes                  — context, citation, swap instructions
#
kgmicrobe_curie	label	biolink_category	proposed_metpo_id	proposed_metpo_label	used_by	status	notes
kgmicrobe.activity:coagulase_activity	coagulase activity	biolink:MolecularActivity	METPO:1007089	coagulase activity	kg_microbe/transform_utils/metatraits/mappings/enzyme_mappings.tsv	placeholder	1.49M observations in metatraits; bacterial coagulase test; no public GO/EC term covers the bacterial coagulase phenotype directly. Swap to METPO:1007089 once berkeleybop/metpo accepts the proposal in mappings/metpo_proposal_categorical.tsv.
kgmicrobe.trait:aquatic_microorganism	aquatic microorganism	biolink:OrganismalEntity	METPO:1007094	aquatic microorganism	kg_microbe/transform_utils/prego/prego.py (Phase 6b enrichment path — not yet emitted)	proposal_filed	PREGO cohort 2026_08 (see metpo_proposal_categorical.tsv). 25,429 PREGO edges.
kgmicrobe.trait:terrestrial_microorganism	terrestrial microorganism	biolink:OrganismalEntity	METPO:1007095	terrestrial microorganism	kg_microbe/transform_utils/prego/prego.py (Phase 6b enrichment path — not yet emitted)	proposal_filed	PREGO cohort 2026_08. 28,198 PREGO edges.
kgmicrobe.trait:marine_microorganism	marine microorganism	biolink:OrganismalEntity	METPO:1007096	marine microorganism	kg_microbe/transform_utils/prego/prego.py (Phase 6b enrichment path — not yet emitted)	proposal_filed	PREGO cohort 2026_08. 16,702 PREGO edges.
kgmicrobe.trait:freshwater_microorganism	freshwater microorganism	biolink:OrganismalEntity	METPO:1007097	freshwater microorganism	kg_microbe/transform_utils/prego/prego.py (Phase 6b enrichment path — not yet emitted)	proposal_filed	PREGO cohort 2026_08. 18,765 PREGO edges.
kgmicrobe.trait:soil_microorganism	soil microorganism	biolink:OrganismalEntity	METPO:1007098	soil microorganism	kg_microbe/transform_utils/prego/prego.py (Phase 6b enrichment path — not yet emitted)	proposal_filed	PREGO cohort 2026_08. 18,850 PREGO edges.
kgmicrobe.trait:gut_associated_microorganism	gut-associated microorganism	biolink:OrganismalEntity	METPO:1007099	gut-associated microorganism	kg_microbe/transform_utils/prego/prego.py (Phase 6b enrichment path — not yet emitted)	proposal_filed	PREGO cohort 2026_08. 3,675 PREGO edges.
kgmicrobe.trait:biofilm_associated_microorganism	biofilm-associated microorganism	biolink:OrganismalEntity	METPO:1007100	biofilm-associated microorganism	kg_microbe/transform_utils/prego/prego.py (Phase 6b enrichment path — not yet emitted)	proposal_filed	PREGO cohort 2026_08. 7,655 PREGO edges.
kgmicrobe.trait:anthropogenic_environment_microorganism	anthropogenic-environment microorganism	biolink:OrganismalEntity	METPO:1007101	anthropogenic-environment microorganism	kg_microbe/transform_utils/prego/prego.py (Phase 6b enrichment path — not yet emitted)	proposal_filed	PREGO cohort 2026_08. 16,884 PREGO edges.
kgmicrobe.trait:biofilm_forming	biofilm-forming	biolink:PhenotypicQuality	METPO:1007102	biofilm-forming	kg_microbe/transform_utils/prego/prego.py (Phase 6b enrichment path — not yet emitted)	proposal_filed	PREGO cohort 2026_08. 109 PREGO edges (GO:0042710).
kgmicrobe.trait:quorum_sensing_capable	quorum-sensing capable	biolink:PhenotypicQuality	METPO:1007103	quorum-sensing capable	kg_microbe/transform_utils/prego/prego.py (Phase 6b enrichment path — not yet emitted)	proposal_filed	PREGO cohort 2026_08. 109 PREGO edges (GO:0009372).
kgmicrobe.trait:flocculating	flocculating	biolink:PhenotypicQuality	METPO:1007105	flocculating	kg_microbe/transform_utils/prego/prego.py (Phase 6b enrichment path — not yet emitted)	proposal_filed	PREGO cohort 2026_08. 144 PREGO edges (GO:0000128). Note: METPO:1007104 unused (photosynthetic aliased to METPO:1000660).
kgmicrobe.trait:anaerobic_ammonium_oxidizing	anaerobic ammonium oxidizing	biolink:PhenotypicQuality	METPO:1007106	anaerobic ammonium oxidizing	kg_microbe/transform_utils/prego/prego.py (Phase 6b enrichment path — not yet emitted)	proposal_filed	PREGO cohort 2026_08. 88 PREGO edges (GO:0019331).
