chebi_id	stored_name	ols_name	label_status	spurious_synonyms	ols_only_synonyms	source
CHEBI:0000178		NOT_FOUND	NOT_FOUND			mediadive_compounds
CHEBI:0001970		NOT_FOUND	NOT_FOUND			mediadive_compounds
CHEBI:0001977		NOT_FOUND	NOT_FOUND			mediadive_compounds
CHEBI:01000492		NOT_FOUND	NOT_FOUND			mediadive_compounds
CHEBI:02020929		NOT_FOUND	NOT_FOUND			mediadive_compounds
CHEBI:03301056		NOT_FOUND	NOT_FOUND			mediadive_compounds
CHEBI:03302071		NOT_FOUND	NOT_FOUND			mediadive_compounds
CHEBI:03302088		NOT_FOUND	NOT_FOUND			mediadive_compounds
CHEBI:03309991		NOT_FOUND	NOT_FOUND			mediadive_compounds
CHEBI:03315424		NOT_FOUND	NOT_FOUND			mediadive_compounds
CHEBI:07755		NOT_FOUND	NOT_FOUND			mediadive_compounds
CHEBI:1000		CHEBI_1000	EMPTY_STORED	MnSO4 x X H2O	CHEBI_1000	mediadive_compounds
CHEBI:101		CHEBI_101	EMPTY_STORED	Casamino acids (BD)	CHEBI_101	mediadive_compounds
CHEBI:102		CHEBI_102	EMPTY_STORED	S77 + vitamins	CHEBI_102	mediadive_compounds
CHEBI:103		CHEBI_103	EMPTY_STORED	S88 + Vitamins	CHEBI_103	mediadive_compounds
CHEBI:10716816		NOT_FOUND	NOT_FOUND			mediadive_compounds
CHEBI:1079		CHEBI_1079	EMPTY_STORED	Fastidious Anaerobe Basal Broth (OXOID)	CHEBI_1079	mediadive_compounds
CHEBI:1111		CHEBI_1111	EMPTY_STORED	Carboxymethyl cellulose, sodium salt	CHEBI_1111	mediadive_compounds
CHEBI:1143		CHEBI_1143	EMPTY_STORED	Salt Solution I	CHEBI_1143	mediadive_compounds
CHEBI:11545		CHEBI_11545	EMPTY_STORED	Betaine Hydrochloride	CHEBI_11545	mediadive_compounds
CHEBI:1161		CHEBI_1161	EMPTY_STORED	KH2PO4|KH2PO4 x 7 H2O	CHEBI_1161	mediadive_compounds
CHEBI:1185531		NOT_FOUND	NOT_FOUND			mediadive_compounds
CHEBI:12		CHEBI_12	EMPTY_STORED	B12	CHEBI_12	mediadive_compounds
CHEBI:12054		CHEBI_12054	EMPTY_STORED	(NH4)6Mo7O24|(NH4)6Mo7O24 x 4 H2O|(NH4)6Mo7O24·4H2O|(NH4)6Mo7O4|(NH4)6Mo7O4 x 24 H2O|(NH4)6MoO24·4H2O|(NH4)6MoO7O24|(NH4)6MoO7O24 x 4 H2O|(NH4)Mo7O24·4H2O|(NH4)MoO7O24|(NH4)MoO7O24 x 4 H2O	CHEBI_12054	mediadive_compounds
CHEBI:1250		CHEBI_1250	EMPTY_STORED	H3BO4	CHEBI_1250	mediadive_compounds
CHEBI:12598458		NOT_FOUND	NOT_FOUND			mediadive_compounds
CHEBI:1260		CHEBI_1260	EMPTY_STORED	Bacto Tryptic Soy Broth without Dextrose	CHEBI_1260	mediadive_compounds
CHEBI:12931	D-galactonate	D-galactonate	OK	galactonate		chebi_xrefs|metatraits_chemical_synonyms[manual_2026-04-07]|primary_mappings[keg
CHEBI:12936	D-galactose	D-galactose	OK	D-Gal|D-galacto-hexose		mediadive_compounds|primary_mappings[bacdive_api]
CHEBI:12952	aldehydo-D-galacturonate	aldehydo-D-galacturonate	OK	D-Galacturonate|D-galacturonate|galacturonate		chebi_xrefs|metatraits_chemical_synonyms[manual_2026-04-07]|primary_mappings[keg
CHEBI:129630846		NOT_FOUND	NOT_FOUND			mediadive_compounds
CHEBI:129831233		NOT_FOUND	NOT_FOUND			mediadive_compounds
CHEBI:1329		CHEBI_1329	EMPTY_STORED	Corn meal agar	CHEBI_1329	mediadive_compounds
CHEBI:132943	aspartate	aspartate	OK	aspartate anion|aspartic acid anion		primary_mappings[chemicals_sssom]
CHEBI:133748	citrate anion	citrate anion	OK	citrate|citrate anions		primary_mappings[chemicals_sssom]
CHEBI:1344098		NOT_FOUND	NOT_FOUND			mediadive_compounds
