id	preferred_term	identifier	mapping_status	ontology_id	ontology_source	mapping_quality	occurrences	parent_ingredient	variant_type
mediadive.ingredient:2191	--Chloramphenicol		UNMAPPED				1		
mediadive.ingredient:2119	6-methylnicotinate		UNMAPPED				1		
mediadive.ingredient:1764	84 g/L NaHCO3 solution		UNMAPPED				1		
mediadive.ingredient:1070	Aminoacids		UNMAPPED				1		
mediadive.ingredient:1140	Amphotericin		UNMAPPED				1		
mediadive.ingredient:1473	Anaerobe Basal Broth CM0957		UNMAPPED				1		
mediadive.ingredient:1238	B12		UNMAPPED				1		
mediadive.ingredient:2135	Bacto Bitone		UNMAPPED				1		
mediadive.ingredient:1460	Bacto Heart Infusion Broth		UNMAPPED				1		
mediadive.ingredient:1896	Bacto m TGE broth		UNMAPPED				1		
mediadive.ingredient:2134	Bacto Panton		UNMAPPED				1		
mediadive.ingredient:1989	Basal mineral NaCl medium		UNMAPPED				1		
mediadive.ingredient:1732	Basal salts solution		UNMAPPED				1		
mediadive.ingredient:2130	Blood Agar Base		UNMAPPED				1		
mediadive.ingredient:2111	Blood agar No 2		UNMAPPED				1		
mediadive.ingredient:2112	Bordet-Gengou-Agar-Base		UNMAPPED				1		
mediadive.ingredient:481	Bovine horn meal		UNMAPPED				1		
mediadive.ingredient:2098	Bovine serum		UNMAPPED				1		
mediadive.ingredient:1136	Brucella Broth		UNMAPPED				1		
mediadive.ingredient:1552	Carbon source solution		UNMAPPED				1		
mediadive.ingredient:2099	Casman-Agar-Base		UNMAPPED				1		
mediadive.ingredient:1627	Cellobiose or Cellulose MN 300		UNMAPPED				1		
mediadive.ingredient:2417	Cellulose MN 300		UNMAPPED				1		
mediadive.ingredient:1587	CeNO33 x 6 H2O		UNMAPPED				1		
mediadive.ingredient:2361	Cereal leaves		UNMAPPED				1		
mediadive.ingredient:2360	Cerophyll		UNMAPPED				1		
mediadive.ingredient:1451	cholesterol lipid concentrate		UNMAPPED				1		
mediadive.ingredient:1680	CMRL 1066		UNMAPPED				1		
mediadive.ingredient:1506	Colloidal chitin		UNMAPPED				1		
mediadive.ingredient:2363	Complan		UNMAPPED				1		
mediadive.ingredient:2075	Corn steep powder		UNMAPPED				1		
mediadive.ingredient:1707	Cow manure		UNMAPPED				1		
mediadive.ingredient:1977	CrKSO42 x 12 H2O		UNMAPPED				1		
mediadive.ingredient:1610	Czapek-Dox liquid medium		UNMAPPED				1		
mediadive.ingredient:2126	dehydrated RCM medium		UNMAPPED				1		
mediadive.ingredient:2095	dehydrated Wilkins-Chalgren medium		UNMAPPED				1		
mediadive.ingredient:2375	Desicatted Ox-bile		UNMAPPED				1		
mediadive.ingredient:728	Diced potato		UNMAPPED				1		
mediadive.ingredient:2177	Dichloran-Glycerol-agar base		UNMAPPED				1		
mediadive.ingredient:2132	Difco 0001		UNMAPPED				1		
mediadive.ingredient:530	Difco marine broth		UNMAPPED				1		
mediadive.ingredient:725	Dung extract		UNMAPPED				1		
mediadive.ingredient:1953	EBIOS		UNMAPPED				1		
mediadive.ingredient:1079	Fastidious Anaerobe Basal Broth		UNMAPPED				1		
mediadive.ingredient:1742	FeSO43 x n H2O		UNMAPPED				1		
mediadive.ingredient:408	Fresh egg mixture		UNMAPPED				1		
mediadive.ingredient:1620	GAM broth		UNMAPPED				1		
mediadive.ingredient:1564	GAM Broth mod. powder		UNMAPPED				1		
mediadive.ingredient:1563	GAM Broth powder		UNMAPPED				1		
mediadive.ingredient:2428	Gamborg B5 Medium incl. Vitamins		UNMAPPED				1		
mediadive.ingredient:1928	Glycine-NaOH buffer		UNMAPPED				1		
mediadive.ingredient:1382	Grace's Insect Medium		UNMAPPED				1		
mediadive.ingredient:1618	GYP-sodium acetate-mineral salts broth		UNMAPPED				1		
mediadive.ingredient:1250	H3BO4		UNMAPPED				1		
mediadive.ingredient:915	HBO3		UNMAPPED				1		
mediadive.ingredient:1104	Heart Infusion Broth		UNMAPPED				1		
mediadive.ingredient:1141	Homo-PIPES		UNMAPPED				1		
mediadive.ingredient:1740	Horikoshi-I medium		UNMAPPED				1		
mediadive.ingredient:1875	Hy-Case Amino		UNMAPPED				1		
mediadive.ingredient:1069	IMDM-Medium		UNMAPPED				1		
mediadive.ingredient:930	Infusion Broth		UNMAPPED				1		
mediadive.ingredient:977	Isovitalex		UNMAPPED				1		
mediadive.ingredient:1467	ISP 7 Medium		UNMAPPED				1		
mediadive.ingredient:283	K-phosphate buffer		UNMAPPED				1		
mediadive.ingredient:1677	KH2PO3		UNMAPPED				1		
mediadive.ingredient:1504	L-15 medium		UNMAPPED				1		
mediadive.ingredient:2153	L-15 powder		UNMAPPED				1		
mediadive.ingredient:1860	L-Cysteine x HCl x H2O solution		UNMAPPED				1		
mediadive.ingredient:2136	Lab Lemco powder		UNMAPPED				1		
mediadive.ingredient:1711	Lactobacilli MRS broth		UNMAPPED				1		
