proposed_id	term_type	label	definition	parent_or_subproperty	domain	range	xrefs	synonyms	phase	priority	traits_addressed	observations
METPO:has_growth_temperature_optimum	DatatypeProperty	has growth temperature optimum	The optimal temperature at which an organism achieves maximum growth rate, measured in degrees Celsius.		biolink:OrganismTaxon	xsd:decimal	UO:0000027		1	CRITICAL	1	85311
METPO:has_growth_temperature_minimum	DatatypeProperty	has growth temperature minimum	The minimum temperature at which an organism can grow, measured in degrees Celsius.		biolink:OrganismTaxon	xsd:decimal	UO:0000027		1	CRITICAL		
METPO:has_growth_temperature_maximum	DatatypeProperty	has growth temperature maximum	The maximum temperature at which an organism can grow, measured in degrees Celsius.		biolink:OrganismTaxon	xsd:decimal	UO:0000027		1	CRITICAL		
METPO:has_NaCl_concentration_optimum	DatatypeProperty	has NaCl concentration optimum	The optimal sodium chloride (NaCl) concentration for growth, expressed as weight/volume percentage.		biolink:OrganismTaxon	xsd:decimal	UO:0000187|CHEBI:26710		1	CRITICAL	1	85311
METPO:has_NaCl_concentration_minimum	DatatypeProperty	has NaCl concentration minimum	The minimum sodium chloride (NaCl) concentration tolerated for growth, expressed as weight/volume percentage.		biolink:OrganismTaxon	xsd:decimal	UO:0000187		1	CRITICAL		
METPO:has_NaCl_concentration_maximum	DatatypeProperty	has NaCl concentration maximum	The maximum sodium chloride (NaCl) concentration tolerated for growth, expressed as weight/volume percentage.		biolink:OrganismTaxon	xsd:decimal	UO:0000187		1	CRITICAL		
METPO:has_pH_optimum	DatatypeProperty	has pH optimum	The optimal pH value for growth on the pH scale (0-14).		biolink:OrganismTaxon	xsd:decimal	PATO:0001842		1	HIGH	1	5479
METPO:has_pH_minimum	DatatypeProperty	has pH minimum	The minimum pH value at which growth can occur.		biolink:OrganismTaxon	xsd:decimal			1	HIGH		
METPO:has_pH_maximum	DatatypeProperty	has pH maximum	The maximum pH value at which growth can occur.		biolink:OrganismTaxon	xsd:decimal			1	HIGH		
METPO:2000021	ObjectProperty	assimilates	A relation between an organism and a chemical entity, where the organism takes up and incorporates the chemical into its biomass or metabolic intermediates.	METPO:2000001|RO:0002590	biolink:OrganismTaxon	CHEBI:24431	GO:0006091	assimilation|utilizes	2	CRITICAL	266	41000+
METPO:2000022	ObjectProperty	uses as energy source	A relation between an organism and a chemical entity, where the organism oxidizes or otherwise catabolizes the chemical primarily for energy (ATP) generation rather than for carbon or other biosynthetic building blocks.	METPO:2000001	biolink:OrganismTaxon	CHEBI:24431	GO:0006091	energy source|uses for energy generation	2	CRITICAL	97	41000+
METPO:2000023	ObjectProperty	uses as nitrogen source	A relation between an organism and a chemical entity containing nitrogen, where the organism assimilates the nitrogen for biosynthesis of amino acids, nucleotides, and other nitrogenous compounds.	METPO:2000001	biolink:OrganismTaxon	CHEBI:51143	GO:0006807	nitrogen source|uses for nitrogen assimilation	2	HIGH	57	41000+
METPO:2000024	ObjectProperty	uses as electron donor	A relation between an organism and a chemical entity, where the organism oxidizes the chemical to obtain electrons for energy metabolism, respiration, or photosynthesis.	METPO:2000001	biolink:OrganismTaxon	CHEBI:24431	GO:0022900	electron donor|oxidizes as electron donor	2	HIGH	53	41000+
METPO:1007001	Class	cell shape	A phenotypic quality that describes the geometric shape of a bacterial or archaeal cell.	METPO:1000000			PATO:0000052	cellular morphology|rod-shaped|coccus|spiral|filamentous	4	HIGH		
METPO:1007002	Class	cell length	A phenotypic quality that describes the length of a bacterial or archaeal cell, typically measured in micrometers.	METPO:1000000			PATO:0000122|UO:0000017	cellular length	4	HIGH		
METPO:1007003	Class	cell width	A phenotypic quality that describes the width or diameter of a bacterial or archaeal cell.	METPO:1000000			PATO:0000921|UO:0000017	cellular width|cell diameter	4	HIGH		
METPO:1007004	Class	cell color	A phenotypic quality that describes the color or pigmentation of bacterial or archaeal cells.	METPO:1000000			PATO:0000014	cell pigmentation|colony color	4	HIGH		
METPO:1007005	Class	flagellar arrangement	A phenotypic quality that describes the arrangement pattern of flagella on a bacterial or archaeal cell.	METPO:1000000			GO:0001539	flagellation pattern|peritrichous|monotrichous|amphitrichous|lophotrichous|polar flagellation	4	HIGH		
METPO:1007010	Class	GC content percentage	A genomic quality that describes the percentage of guanine-cytosine base pairs in the genome.	METPO:1000000			SO:0001026|UO:0000187	GC%|mol% G+C|genomic GC content	4	HIGH		
METPO:1007011	Class	genome size	A genomic quality that describes the total size of the genome in base pairs or megabase pairs.	METPO:1000000			SO:0001026|UO:0000329	genome length|genomic size	4	HIGH		
METPO:1007012	Class	gene count	A genomic quality that describes the total number of genes in the genome, either annotated or predicted.	METPO:1000000			SO:0000704	number of genes|total gene count	4	HIGH		
METPO:1007013	Class	coding density	A genomic quality that describes the percentage of the genome that codes for proteins.	METPO:1000000			UO:0000187	coding sequence percentage|protein-coding percentage	4	HIGH		
METPO:1007020	Class	oxygen requirement	A phenotypic quality that describes the oxygen requirement for growth.	METPO:1000000			CHEBI:15379	aerobic|anaerobic|facultative anaerobic|microaerophilic|aerotolerant	4	HIGH		
METPO:1007021	Class	pH tolerance range	An environmental quality that describes the range of pH values that support growth.	METPO:1000000					4	HIGH		
METPO:1007022	Class	pH minimum tolerance	An environmental quality that describes the minimum pH value that supports growth.	METPO:1007021					4	HIGH		
