proposed_id	scope	term_type	label	definition	parent_or_subproperty	domain	range	xrefs	synonyms	priority	traits_addressed	observations
METPO:1007005	categorical	Class	flagellar arrangement	A phenotypic quality describing the arrangement pattern of flagella on a bacterial or archaeal cell. Parent class for METPO:1005031-1005037 (peritrichous, polar, amphitrichous, lophotrichous, monotrichous, lateral, subpolar).	METPO:1000000			GO:0001539	flagellation pattern	HIGH		
METPO:1007006	categorical	Class	polytrichous flagellation	Multiple flagella per cell (typically a tuft); often combined with polar attachment.	METPO:1007005				polytrichous	MEDIUM		4
METPO:1007050	categorical	Class	selective media growth capability	A phenotypic capability describing the ability to grow on selective or differential media.	METPO:1000000					LOW		
METPO:1007053	categorical	Class	growth on MacConkey agar	Capability to grow on MacConkey agar; differential medium typically used to distinguish lactose-fermenting Gram-negative bacteria.	METPO:1007050				MacConkey agar growth|grows on MacConkey agar	LOW		
METPO:1007054	categorical	Class	growth on blood agar	Capability to grow on blood agar; enriched medium typically used for fastidious organisms and hemolysis assessment.	METPO:1007050				blood agar growth|grows on blood agar	LOW		
METPO:1007055	categorical	Class	growth on EMB agar	Capability to grow on Eosin Methylene Blue (EMB) agar; selective and differential medium for Gram-negative enteric bacteria.	METPO:1007050				EMB agar growth|Eosin Methylene Blue agar growth	LOW		
METPO:1007056	categorical	Class	bile acid susceptible	Phenotype where growth is inhibited by bile acids or bile salts.	METPO:1007050			CHEBI:3098	growth: bile acid susceptible	LOW		
METPO:1007051	categorical	Class	bile resistance	A phenotypic quality describing the ability to grow in the presence of bile acids or bile salts.	METPO:1000000			CHEBI:3098	bile tolerance	LOW		
METPO:1007062	categorical	Class	colony morphology	A phenotypic quality describing macroscopic colony characteristics (shape, margin, elevation, surface, color, size).	METPO:1000000			PATO:0000052		LOW		
METPO:1007063	categorical	Class	colony shape	Subaspect of colony morphology describing the overall macroscopic colony outline as observed on solid medium.	METPO:1007062			PATO:0000052		LOW		
METPO:1007064	categorical	Class	circular colony	Colony with a regular round outline.	METPO:1007063				round colony	LOW		2649
METPO:1007065	categorical	Class	irregular colony	Colony with an irregular (non-round, non-rhizoid) outline.	METPO:1007063					LOW		148
METPO:1007066	categorical	Class	filamentous colony	Colony with thread-like or filamentous outline.	METPO:1007063					LOW		16
METPO:1007067	categorical	Class	punctiform colony	Very small (pinpoint) colony, typically <1 mm diameter.	METPO:1007063					LOW		11
METPO:1007068	categorical	Class	rhizoid colony	Colony with branching, root-like outline.	METPO:1007063					LOW		8
METPO:1007069	categorical	Class	fried-egg-shaped colony	Colony with raised opaque centre and translucent peripheral zone, resembling a fried egg.	METPO:1007063				fried-egg colony	LOW		6
METPO:1007070	categorical	Class	pressure tolerance	A phenotypic quality describing the ability to grow under elevated hydrostatic pressure.	METPO:1000000				barophile|piezophile	MEDIUM		
METPO:1007071	categorical	Class	barophile phenotype	An organism that requires or tolerates elevated hydrostatic pressure for growth.	METPO:1007070					MEDIUM		
METPO:1007072	categorical	Class	radiation tolerance	A phenotypic quality describing the ability to withstand ionizing or UV radiation.	METPO:1000000				radioresistant	MEDIUM		
METPO:1007073	categorical	Class	osmotic tolerance	A phenotypic quality describing the ability to grow under high osmotic pressure (non-NaCl).	METPO:1000000				osmophile	MEDIUM		
METPO:1007074	categorical	Class	metal tolerance	A phenotypic quality describing the ability to grow in the presence of elevated metal concentrations.	METPO:1000000				metallophile	MEDIUM		
METPO:1007076	categorical	Class	capsule presence	A phenotypic quality describing the presence of an extracellular polysaccharide capsule.	METPO:1000000			GO:0042597		LOW		
METPO:1007077	categorical	Class	biofilm formation capability	A phenotypic capability describing the ability to form surface-attached biofilms.	METPO:1000000			GO:0042710		MEDIUM		
METPO:1007080	categorical	Class	catalase activity	A phenotypic quality describing catalase enzyme activity (H2O2 decomposition).	METPO:1000000			GO:0004096	catalase test	MEDIUM		
METPO:1007083	categorical	Class	catalase positive	Phenotype where the catalase test yields a positive result (visible bubbling on H2O2).	METPO:1007080				catalase test positive|catalase +	MEDIUM		
METPO:1007084	categorical	Class	catalase negative	Phenotype where the catalase test yields a negative result (no bubbling on H2O2).	METPO:1007080				catalase test negative|catalase -	MEDIUM		
METPO:1007081	categorical	Class	oxidase activity	A phenotypic quality describing cytochrome c oxidase activity detected in the oxidase test.	METPO:1000000			GO:0004129	oxidase test	MEDIUM		
METPO:1007085	categorical	Class	oxidase positive	Phenotype where the oxidase test yields a positive result.	METPO:1007081				oxidase test positive|oxidase +	MEDIUM		
METPO:1007086	categorical	Class	oxidase negative	Phenotype where the oxidase test yields a negative result.	METPO:1007081				oxidase test negative|oxidase -	MEDIUM		
METPO:1007082	categorical	Class	urease activity	A phenotypic quality describing urease enzyme activity (urea hydrolysis).	METPO:1000000			GO:0009039	urease test	MEDIUM		
METPO:1007087	categorical	Class	urease positive	Phenotype where the urease test yields a positive result.	METPO:1007082				urease test positive|urease +	MEDIUM		
METPO:1007088	categorical	Class	urease negative	Phenotype where the urease test yields a negative result.	METPO:1007082				urease test negative|urease -	MEDIUM		
METPO:1007089	categorical	Class	coagulase activity	A phenotypic quality describing coagulase enzyme activity (clotting of blood plasma). Diagnostic marker, e.g. for Staphylococcus aureus.	METPO:1000000				coagulase test	MEDIUM		
METPO:1007090	categorical	Class	coagulase positive	Phenotype where the coagulase test yields a positive result (plasma clotting).	METPO:1007089				coagulase test positive|coagulase +	MEDIUM		
METPO:1007091	categorical	Class	coagulase negative	Phenotype where the coagulase test yields a negative result.	METPO:1007089				coagulase test negative|coagulase -	MEDIUM		
