placeholder_curie	category	label	source_columns	occurrences	target_curie	target_label	mapping_status	curator_notes
kgmicrobe.pathway:chemoheterotrophy	biolink:BiologicalProcess	chemoheterotrophy	faprotax:type_of_metabolism	10493			UNMAPPED	
kgmicrobe.trait:0	biolink:PhenotypicQuality	0	BacDive_Motility|BacDive_Salt_concentration|BacDive_Spore_formation|BacDive_Temperature_for_growth	10227			UNMAPPED	
kgmicrobe.trait:rod_shaped	biolink:PhenotypicQuality	rod-shaped	BacDive_Cell_shape	7988			UNMAPPED	
kgmicrobe.pathway:aerobic_chemoheterotrophy	biolink:BiologicalProcess	aerobic_chemoheterotrophy	faprotax:type_of_metabolism	7875			UNMAPPED	
kgmicrobe.trait:environmental	biolink:PhenotypicQuality	#Environmental	BacDive_Isolation_category_1	7698			UNMAPPED	
kgmicrobe.trait:1	biolink:PhenotypicQuality	1	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Metabolite_utilization|BacDive_Motility|BacDive_Pathogenicity_animal|BacDive_Pathogenicity_human|BacDive_Pathogenicity_plant|BacDive_Salt_concentration|BacDive_Spore_formation	7489			UNMAPPED	
kgmicrobe.trait:unlabeled	biolink:PhenotypicQuality	%	BacDive_Indole_test|BacDive_Salt_concentration_unit|BacDive_Voges_proskauer	7379			UNMAPPED	
kgmicrobe.trait:catalase	biolink:PhenotypicQuality	catalase	BacDive_Enzyme_activity	6827			UNMAPPED	
kgmicrobe.trait:negative	biolink:PhenotypicQuality	negative	BacDive_Gram_stain	6114			UNMAPPED	
kgmicrobe.trait:aerobe	biolink:PhenotypicQuality	aerobe	BacDive_Oxygen_tolerance	6092			UNMAPPED	
kgmicrobe.trait:indole	biolink:PhenotypicQuality	indole	BacDive_Metabolite_production|BacDive_Metabolite_utilization	6005			UNMAPPED	
kgmicrobe.trait:alkaline_phosphatase	biolink:PhenotypicQuality	alkaline phosphatase	BacDive_Enzyme_activity	5649			UNMAPPED	
kgmicrobe.pathway:other	biolink:BiologicalProcess	Other	bergey:type_of_metabolism	5647			UNMAPPED	
kgmicrobe.trait:acid_phosphatase	biolink:PhenotypicQuality	acid phosphatase	BacDive_Enzyme_activity	5448			UNMAPPED	
kgmicrobe.pathway:phototrophy	biolink:BiologicalProcess	phototrophy	faprotax:type_of_metabolism	5391			UNMAPPED	
kgmicrobe.pathway:photoautotrophy	biolink:BiologicalProcess	photoautotrophy	faprotax:type_of_metabolism	5327			UNMAPPED	
kgmicrobe.pathway:oxygenic_photoautotrophy	biolink:BiologicalProcess	oxygenic_photoautotrophy	faprotax:type_of_metabolism	5221			UNMAPPED	
kgmicrobe.pathway:photosynthetic_cyanobacteria	biolink:BiologicalProcess	photosynthetic_cyanobacteria	faprotax:type_of_metabolism	5221			UNMAPPED	
kgmicrobe.trait:30	biolink:PhenotypicQuality	30	BacDive_Cell_length|BacDive_Temperature_for_growth	5168			UNMAPPED	
kgmicrobe.trait:28	biolink:PhenotypicQuality	28	BacDive_Temperature_for_growth	5139			UNMAPPED	
kgmicrobe.trait:host	biolink:PhenotypicQuality	#Host	BacDive_Isolation_category_1	4897			UNMAPPED	
kgmicrobe.pathway:fermentation	biolink:BiologicalProcess	Fermentation	bergey:type_of_metabolism|faprotax:type_of_metabolism|literature:type_of_metabolism|vpi:type_of_metabolism	4819			UNMAPPED	
kgmicrobe.trait:terrestrial	biolink:PhenotypicQuality	#Terrestrial	BacDive_Isolation_category_2	4376			UNMAPPED	
kgmicrobe.trait:esterase_c_4	biolink:PhenotypicQuality	esterase (C 4)	BacDive_Enzyme_activity	4150			UNMAPPED	
kgmicrobe.trait:leucine_arylamidase	biolink:PhenotypicQuality	leucine arylamidase	BacDive_Enzyme_activity	4036			UNMAPPED	
kgmicrobe.trait:esterase_lipase_c_8	biolink:PhenotypicQuality	esterase lipase (C 8)	BacDive_Enzyme_activity	3904			UNMAPPED	
kgmicrobe.trait:aquatic	biolink:PhenotypicQuality	#Aquatic	BacDive_Isolation_category_2	3870			UNMAPPED	
kgmicrobe.trait:positive	biolink:PhenotypicQuality	positive	BacDive_Gram_stain	3870			UNMAPPED	
kgmicrobe.trait:cytochrome_oxidase	biolink:PhenotypicQuality	cytochrome oxidase	BacDive_Enzyme_activity	3835			UNMAPPED	
kgmicrobe.trait:37	biolink:PhenotypicQuality	37	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_Temperature_for_growth	3617			UNMAPPED	
kgmicrobe.trait:esculin	biolink:PhenotypicQuality	esculin	BacDive_Metabolite_production|BacDive_Metabolite_utilization	3569			UNMAPPED	
kgmicrobe.trait:alpha_glucosidase	biolink:PhenotypicQuality	alpha-glucosidase	BacDive_Enzyme_activity	3495			UNMAPPED	
kgmicrobe.trait:d_glucose	biolink:PhenotypicQuality	D-glucose	BacDive_Metabolite_production|BacDive_Metabolite_utilization	3377			UNMAPPED	
kgmicrobe.trait:glucose	biolink:PhenotypicQuality	glucose	BacDive_Metabolite_utilization	3329			UNMAPPED	
kgmicrobe.trait:beta_galactosidase	biolink:PhenotypicQuality	beta-galactosidase	BacDive_Enzyme_activity	3280			UNMAPPED	
kgmicrobe.trait:beta_glucosidase	biolink:PhenotypicQuality	beta-glucosidase	BacDive_Enzyme_activity	3028			UNMAPPED	
kgmicrobe.trait:soil	biolink:PhenotypicQuality	#Soil	BacDive_Isolation_category_3	3007			UNMAPPED	
kgmicrobe.trait:engineered	biolink:PhenotypicQuality	#Engineered	BacDive_Isolation_category_1	2711			UNMAPPED	
kgmicrobe.trait:naphthol_as_bi_phosphohydrolase	biolink:PhenotypicQuality	naphthol-AS-BI-phosphohydrolase	BacDive_Enzyme_activity	2677			UNMAPPED	
kgmicrobe.trait:cellobiose	biolink:PhenotypicQuality	cellobiose	BacDive_Metabolite_utilization	2622			UNMAPPED	
kgmicrobe.trait:maltose	biolink:PhenotypicQuality	maltose	BacDive_Metabolite_production|BacDive_Metabolite_utilization	2536			UNMAPPED	
kgmicrobe.trait:host_body_site	biolink:PhenotypicQuality	#Host Body-Site	BacDive_Isolation_category_1	2457			UNMAPPED	
kgmicrobe.trait:hydrogen_sulfide	biolink:PhenotypicQuality	hydrogen sulfide	BacDive_Metabolite_production|BacDive_Metabolite_utilization	2365			UNMAPPED	
kgmicrobe.trait:nitrate	biolink:PhenotypicQuality	nitrate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	2321			UNMAPPED	
kgmicrobe.trait:anaerobe	biolink:PhenotypicQuality	anaerobe	BacDive_Oxygen_tolerance	2318			UNMAPPED	
kgmicrobe.trait:d_mannose	biolink:PhenotypicQuality	D-mannose	BacDive_Metabolite_production|BacDive_Metabolite_utilization	2257			UNMAPPED	
kgmicrobe.trait:w_v	biolink:PhenotypicQuality	%(w/v)	BacDive_Metabolite_utilization|BacDive_Salt_concentration_unit	2181			UNMAPPED	
kgmicrobe.trait:d_fructose	biolink:PhenotypicQuality	D-fructose	BacDive_Metabolite_utilization	2179			UNMAPPED	
kgmicrobe.trait:fructose	biolink:PhenotypicQuality	fructose	BacDive_Metabolite_utilization	2169			UNMAPPED	
kgmicrobe.trait:arabinose	biolink:PhenotypicQuality	arabinose	BacDive_Metabolite_utilization	1998			UNMAPPED	
kgmicrobe.trait:acetoin	biolink:PhenotypicQuality	acetoin	BacDive_Metabolite_production|BacDive_Metabolite_utilization	1908			UNMAPPED	
kgmicrobe.trait:obligate_aerobe	biolink:PhenotypicQuality	obligate aerobe	BacDive_Oxygen_tolerance	1876			UNMAPPED	
kgmicrobe.trait:gelatinase	biolink:PhenotypicQuality	gelatinase	BacDive_Enzyme_activity	1821			UNMAPPED	
kgmicrobe.trait:facultative_anaerobe	biolink:PhenotypicQuality	facultative anaerobe	BacDive_Oxygen_tolerance	1808			UNMAPPED	
kgmicrobe.trait:plants	biolink:PhenotypicQuality	#Plants	BacDive_Isolation_category_2	1785			UNMAPPED	
kgmicrobe.trait:alpha_galactosidase	biolink:PhenotypicQuality	alpha-galactosidase	BacDive_Enzyme_activity	1724			UNMAPPED	
kgmicrobe.trait:gelatin	biolink:PhenotypicQuality	gelatin	BacDive_Metabolite_production|BacDive_Metabolite_utilization	1699			UNMAPPED	
kgmicrobe.trait:condition	biolink:PhenotypicQuality	#Condition	BacDive_Isolation_category_1	1668			UNMAPPED	
kgmicrobe.trait:d_mannitol	biolink:PhenotypicQuality	D-mannitol	BacDive_Metabolite_production|BacDive_Metabolite_utilization	1659			UNMAPPED	
kgmicrobe.trait:citrate	biolink:PhenotypicQuality	citrate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	1654			UNMAPPED	
kgmicrobe.trait:marine	biolink:PhenotypicQuality	#Marine	BacDive_Isolation_category_3	1554			UNMAPPED	
kgmicrobe.trait:25	biolink:PhenotypicQuality	25	BacDive_Cell_length|BacDive_Salt_concentration|BacDive_Temperature_for_growth	1547			UNMAPPED	
kgmicrobe.trait:d_galactose	biolink:PhenotypicQuality	D-galactose	BacDive_Metabolite_utilization	1489			UNMAPPED	
kgmicrobe.trait:10	biolink:PhenotypicQuality	10	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration|BacDive_Temperature_for_growth|BacDive_pH_for_growth	1465			UNMAPPED	
kgmicrobe.pathway:nitrate_reduction	biolink:BiologicalProcess	nitrate_reduction	faprotax:type_of_metabolism	1450			UNMAPPED	
kgmicrobe.trait:cystine_arylamidase	biolink:PhenotypicQuality	cystine arylamidase	BacDive_Enzyme_activity	1420			UNMAPPED	
kgmicrobe.trait:urease	biolink:PhenotypicQuality	urease	BacDive_Enzyme_activity	1356			UNMAPPED	
kgmicrobe.trait:galactose	biolink:PhenotypicQuality	galactose	BacDive_Metabolite_utilization	1352			UNMAPPED	
kgmicrobe.trait:acetate	biolink:PhenotypicQuality	acetate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	1342			UNMAPPED	
kgmicrobe.trait:2	biolink:PhenotypicQuality	2	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Metabolite_production|BacDive_Metabolite_utilization|BacDive_Salt_concentration|BacDive_Temperature_for_growth	1299			UNMAPPED	
kgmicrobe.trait:sediment	biolink:PhenotypicQuality	#Sediment	BacDive_Isolation_category_3	1275			UNMAPPED	
