identifier	current_producer_edge_rows	producer_counts	sample_edges
CHEBI:1	0	{}	[]
CHEBI:14258	3	"{""mediadive"": 3}"	"[{""object"": ""CHEBI:14258"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:2082""}, {""object"": ""CHEBI:14258"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:3026""}, {""object"": ""CHEBI:14258"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:3029""}]"
CHEBI:19708	11	"{""mediadive"": 11}"	"[{""object"": ""CHEBI:19708"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:2271""}, {""object"": ""CHEBI:19708"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:2659""}, {""object"": ""CHEBI:19708"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:3132""}]"
CHEBI:23039	4	"{""metatraits"": 2, ""metatraits_gtdb"": 2}"	"[{""object"": ""CHEBI:23039"", ""predicate"": ""METPO:2000028"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:33945""}, {""object"": ""CHEBI:23039"", ""predicate"": ""METPO:2000028"", ""producer"": ""metatraits"", ""subject"": ""NCBITaxon:1589""}, {""object"": ""CHEBI:23039"", ""predicate"": ""METPO:2000028"", ""producer"": ""metatraits_gtdb"", ""subject"": ""NCBITaxon:33945""}]"
CHEBI:23674	0	{}	[]
CHEBI:3448	7	"{""mediadive"": 7}"	"[{""object"": ""CHEBI:3448"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:3124""}, {""object"": ""CHEBI:3448"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:3364""}, {""object"": ""CHEBI:3448"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:3692""}]"
CHEBI:3463	8	"{""mediadive"": 8}"	"[{""object"": ""CHEBI:3463"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:1371""}, {""object"": ""CHEBI:3463"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:1732""}, {""object"": ""CHEBI:3463"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:1750""}]"
CHEBI:42521	0	{}	[]
CHEBI:434666	0	{}	[]
CHEBI:434937	0	{}	[]
CHEBI:442243	0	{}	[]
CHEBI:47343	0	{}	[]
CHEBI:498222	0	{}	[]
CHEBI:501520	0	{}	[]
CHEBI:503742	8	"{""mediadive"": 8}"	"[{""object"": ""CHEBI:503742"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:3356""}, {""object"": ""CHEBI:503742"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:3774""}, {""object"": ""CHEBI:503742"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:4622""}]"
CHEBI:512805	0	{}	[]
CHEBI:514290	1	"{""mediadive"": 1}"	"[{""object"": ""CHEBI:514290"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:4698""}]"
CHEBI:521980	1	"{""mediadive"": 1}"	"[{""object"": ""CHEBI:521980"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:628""}]"
CHEBI:554989	0	{}	[]
CHEBI:559991	0	{}	[]
CHEBI:6635	0	{}	[]
CHEBI:75217	0	{}	[]
CHEBI:8150	9	"{""mediadive"": 9}"	"[{""object"": ""CHEBI:8150"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:1446""}, {""object"": ""CHEBI:8150"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:1532""}, {""object"": ""CHEBI:8150"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:2169""}]"
CHEBI:867561	2	"{""mediadive"": 2}"	"[{""object"": ""CHEBI:867561"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:3879""}, {""object"": ""CHEBI:867561"", ""predicate"": ""biolink:has_part"", ""producer"": ""mediadive"", ""subject"": ""mediadive.solution:5472""}]"
CHEBI:9784	0	{}	[]
FOODON:03309813	0	{}	[]
cas:0124-09-4	0	{}	[]
cas:0303-07-1	0	{}	[]
cas:0305-01-1	0	{}	[]
cas:0392-12-1	0	{}	[]
cas:0612-05-5	0	{}	[]
cas:100037-69-2	0	{}	[]
cas:10030-85-0	0	{}	[]
