name	previous_runtime_id	current_runtime_id	release_targets	status	remaining_action
3-aminobutyric acid	CHEBI:18309	CHEBI:37081	CHEBI:37081	RESOLVED_RUNTIME	Runtime regression fixed; complete source identity remains governed by the pinned release.
3'-fucosyllactose	CHEBI:90065	cas:41312-47-4	cas:41312-47-4	RESOLVED_RUNTIME	Runtime regression fixed; complete source identity remains governed by the pinned release.
4-hydroxychalcone	CHEBI:34360	CHEBI:34423	CHEBI:34423	RESOLVED_RUNTIME	Runtime regression fixed; complete source identity remains governed by the pinned release.
Acriflavine	NCIT:C76253	NCIT:C76253	cas:8048-52-0|kgmicrobe.compound:acriflavine	OPEN_IDENTITY_REVIEW	Joint: verify ontology definitions, CAS, structure and material/form scope; then record an evidenced equivalence or preserve the distinction with a reviewed runtime decision. Shared names alone do not establish identity.
Anabasine Hydrochloride	NCIT:C216370	NCIT:C216370	cas:53912-89-3|kgmicrobe.compound:anabasine_hydrochloride	OPEN_IDENTITY_REVIEW	Joint: verify ontology definitions, CAS, structure and material/form scope; then record an evidenced equivalence or preserve the distinction with a reviewed runtime decision. Shared names alone do not establish identity.
bovine serum albumin	NCIT:C85253	NCIT:C85253	cas:9048-46-8|kgmicrobe.compound:bovine_serum_albumin	OPEN_IDENTITY_REVIEW	Joint: verify ontology definitions, CAS, structure and material/form scope; then record an evidenced equivalence or preserve the distinction with a reviewed runtime decision. Shared names alone do not establish identity.
Cotarnine Chloride	NCIT:C79997	NCIT:C79997	cas:10018-19-6|kgmicrobe.compound:cotarnine_chloride	OPEN_IDENTITY_REVIEW	Joint: verify ontology definitions, CAS, structure and material/form scope; then record an evidenced equivalence or preserve the distinction with a reviewed runtime decision. Shared names alone do not establish identity.
Locust bean gum	FOODON:03413132	FOODON:03413132	cas:9000-40-2|kgmicrobe.ingredient:locust_bean_gum	OPEN_IDENTITY_REVIEW	Joint: verify ontology definitions, CAS, structure and material/form scope; then record an evidenced equivalence or preserve the distinction with a reviewed runtime decision. Shared names alone do not establish identity.
Lysozyme	FOODON:03413135	FOODON:03413135	cas:2650-88-3|kgmicrobe.ingredient:lysozyme	OPEN_IDENTITY_REVIEW	MIM #753: cas:2650-88-3 has an invalid check digit and must be withheld/corrected. Independently review native FoodOn versus local material scope.
Polymyxin B	CHEBI:8309	CHEBI:8309	NCIT:C61894	OPEN_IDENTITY_REVIEW	Joint: NCIT:C61894 describes a B1/B2 mixture; CHEBI:8309 denotes polymyxin B1. Source-specific scope is needed; these are not interchangeable identifiers.
Pretomanid	NCIT:C166606	NCIT:C166606	cas:187235-37-6|kgmicrobe.compound:pretomanid	OPEN_IDENTITY_REVIEW	Joint: verify ontology definitions, CAS, structure and material/form scope; then record an evidenced equivalence or preserve the distinction with a reviewed runtime decision. Shared names alone do not establish identity.
Proteose peptone no. 2	MICRO:0002393	MICRO:0002393	kgmicrobe.ingredient:proteose_peptone_no_2	OPEN_IDENTITY_REVIEW	Joint: verify ontology definitions, CAS, structure and material/form scope; then record an evidenced equivalence or preserve the distinction with a reviewed runtime decision. Shared names alone do not establish identity.
Rabbit serum	MICRO:0002392	MICRO:0002392	kgmicrobe.ingredient:rabbit_serum	OPEN_IDENTITY_REVIEW	Joint: verify ontology definitions, CAS, structure and material/form scope; then record an evidenced equivalence or preserve the distinction with a reviewed runtime decision. Shared names alone do not establish identity.
Rifamycin	CHEBI:26580	CHEBI:26580	NCIT:C29406	OPEN_IDENTITY_REVIEW	Joint: CHEBI:26580 is rifamycins; NCIT:C29406 includes Rifamycin SV and CAS 6998-60-3. Resolve source scope before selecting an identity.
Sodium adipate	FOODON:03413240	FOODON:03413240	cas:7486-38-6|kgmicrobe.ingredient:sodium_adipate	OPEN_IDENTITY_REVIEW	Joint: verify ontology definitions, CAS, structure and material/form scope; then record an evidenced equivalence or preserve the distinction with a reviewed runtime decision. Shared names alone do not establish identity.
Sorbitan Monooleate	CHEBI:183688	CHEBI:183688	NCIT:C75654	OPEN_IDENTITY_REVIEW	Joint: verify ontology definitions, CAS, structure and material/form scope; then record an evidenced equivalence or preserve the distinction with a reviewed runtime decision. Shared names alone do not establish identity.
Sunflower oil	NCIT:C1241	NCIT:C1241	cas:8001-21-6|kgmicrobe.compound:sunflower_oil	OPEN_IDENTITY_REVIEW	Joint: verify ontology definitions, CAS, structure and material/form scope; then record an evidenced equivalence or preserve the distinction with a reviewed runtime decision. Shared names alone do not establish identity.
Sutezolid	NCIT:C152482	NCIT:C152482	cas:168828-58-8|kgmicrobe.compound:sutezolid	OPEN_IDENTITY_REVIEW	Joint: verify ontology definitions, CAS, structure and material/form scope; then record an evidenced equivalence or preserve the distinction with a reviewed runtime decision. Shared names alone do not establish identity.
Tara gum	FOODON:03413299	FOODON:03413299	cas:39300-88-4|kgmicrobe.ingredient:tara_gum	OPEN_IDENTITY_REVIEW	Joint: verify ontology definitions, CAS, structure and material/form scope; then record an evidenced equivalence or preserve the distinction with a reviewed runtime decision. Shared names alone do not establish identity.
V-8 Juice	MICRO:0002250	MICRO:0002250	kgmicrobe.ingredient:v-8_juice	OPEN_IDENTITY_REVIEW	Joint: verify ontology definitions, CAS, structure and material/form scope; then record an evidenced equivalence or preserve the distinction with a reviewed runtime decision. Shared names alone do not establish identity.
Xanthine	CHEBI:15318	CHEBI:15318	CHEBI:17712	OPEN_IDENTITY_REVIEW	Joint: CHEBI:17712 is 9H-xanthine, a subclass of CHEBI:15318 xanthine. Determine the intended source scope; do not assert blanket equivalence.
Zymosan	NCIT:C183132	NCIT:C183132	cas:9010-72-4|kgmicrobe.compound:zymosan	OPEN_IDENTITY_REVIEW	Joint: verify ontology definitions, CAS, structure and material/form scope; then record an evidenced equivalence or preserve the distinction with a reviewed runtime decision. Shared names alone do not establish identity.
