mediadive.ingredient:1944	
mediadive.ingredient:2191	--Chloramphenicol
mediadive.ingredient:2391	--Quinic acid
mediadive.ingredient:973	2-N-Morpholinoethanesulfonic acid
mediadive.ingredient:2120	2-chloro-4ethylamino-6-isopropylamino-1,3,5-triazine
mediadive.ingredient:1566	4-2-hydroxyethyl-1-piperazineethanesulfonic acid
mediadive.ingredient:1764	84 g/L NaHCO3 solution
mediadive.ingredient:2190	Air
mediadive.ingredient:2070	Al2SO43 x 18 H2O
mediadive.ingredient:1015	AlKSO42
mediadive.ingredient:908	AlKSO42 x 12 H2O
mediadive.ingredient:1070	Aminoacids
mediadive.ingredient:2146	Artificial Sea Salt
mediadive.ingredient:2150	Asialofetuin
mediadive.ingredient:1251	BaCl2 x 2 H2O
mediadive.ingredient:2135	Bacto Bitone
mediadive.ingredient:2134	Bacto Panton
mediadive.ingredient:1216	Bacto Tryptone
mediadive.ingredient:1989	Basal mineral NaCl medium
mediadive.ingredient:1732	Basal salts solution
mediadive.ingredient:212	Betaine x H2O
mediadive.ingredient:1681	Bovine albumin
mediadive.ingredient:481	Bovine horn meal
mediadive.ingredient:1680	CMRL 1066
mediadive.ingredient:781	Ca-folinate
mediadive.ingredient:356	CaCl2 x H2O
mediadive.ingredient:266	CaNO32
mediadive.ingredient:213	CaNO32 x 4 H2O
mediadive.ingredient:2013	CaNO32 x 6 H2O
mediadive.ingredient:2000	CaSO4 x 7 H2O
mediadive.ingredient:1512	Calcium D-+-pantothenate
mediadive.ingredient:1552	Carbon source solution
mediadive.ingredient:1612	Carrot
mediadive.ingredient:84	Casitone
mediadive.ingredient:270	Catalase
mediadive.ingredient:1573	CdNO32 x 4 H2O
mediadive.ingredient:1444	CeCl3 x 7 H2O
mediadive.ingredient:1587	CeNO33 x 6 H2O
mediadive.ingredient:1627	Cellobiose or Cellulose MN 300
mediadive.ingredient:2361	Cereal leaves
mediadive.ingredient:2360	Cerophyll
mediadive.ingredient:2142	Charcoal-filtered, natural seawater
mediadive.ingredient:786	Citric acid x H2O
mediadive.ingredient:1648	Clarified rumen fluid
mediadive.ingredient:273	CoNO32
mediadive.ingredient:541	CoNO32 x 6 H2O
mediadive.ingredient:2363	Complan
mediadive.ingredient:2087	Corn meal
mediadive.ingredient:702	Corn meal agar
mediadive.ingredient:1609	Corn steep liquor
mediadive.ingredient:2075	Corn steep powder
mediadive.ingredient:1707	Cow manure
mediadive.ingredient:2024	Cr2SO43 x n H2O
mediadive.ingredient:1977	CrKSO42 x 12 H2O
mediadive.ingredient:1574	CrNO33 x 7 H2O
mediadive.ingredient:2137	Cresol
mediadive.ingredient:1056	CuCl2 x 6 H2O
mediadive.ingredient:591	CuCl2 x H2O
mediadive.ingredient:1489	CuNO32 x 3 H2O
mediadive.ingredient:719	CuSO4 x 2 H2O
mediadive.ingredient:1456	CuSO4 x 4 H2O
mediadive.ingredient:509	CuSO4 x H2O
mediadive.ingredient:983	Cystein-HCl x 2 H2O
mediadive.ingredient:1610	Czapek-Dox liquid medium
mediadive.ingredient:1347	D
mediadive.ingredient:94	D+-Glucose
mediadive.ingredient:1437	D+-Trehalose
mediadive.ingredient:1359	D-+-biotin
mediadive.ingredient:1128	DL-Asparagine x H2O
mediadive.ingredient:943	DL-Na-lactate
mediadive.ingredient:495	DL-Na-malate
mediadive.ingredient:1639	DL-alpha-Methyl butyric acid
mediadive.ingredient:958	DNA
mediadive.ingredient:1448	Demineralized water
mediadive.ingredient:728	Diced potato
mediadive.ingredient:2132	Difco 0001
mediadive.ingredient:1379	Difco Marine Broth 2216
mediadive.ingredient:2042	Disodium succinate x 6 H2O
mediadive.ingredient:1021	Double distilled water
mediadive.ingredient:2131	Dry cow-manure
mediadive.ingredient:725	Dung extract
mediadive.ingredient:1953	EBIOS
mediadive.ingredient:884	Elemental sulphur
mediadive.ingredient:1450	FBS
mediadive.ingredient:1846	Fatty acid mixture see Medium No. 266
mediadive.ingredient:1418	Fe SO4 x 7 H2O
mediadive.ingredient:2045	Fe2SO43
mediadive.ingredient:291	Fe2SO43 x H2O
mediadive.ingredient:1265	Fe2SO43 x n H2O
mediadive.ingredient:583	Fe4PO42
mediadive.ingredient:840	FeCl2 x 7 H2O
mediadive.ingredient:922	FeCl3 x 4 H2O
mediadive.ingredient:45	FeIII citrate
mediadive.ingredient:952	FeIII-EDTA
mediadive.ingredient:627	FeIIINH4-EDTA
mediadive.ingredient:179	FeIIIPO4 x 4 H2O
mediadive.ingredient:106	FeNH42SO42
mediadive.ingredient:1036	FeNH42SO42 x 12 H2O
mediadive.ingredient:247	FeNH42SO42 x 6 H2O
mediadive.ingredient:456	FeNH42SO42 x 7 H2O
mediadive.ingredient:1203	FeNH4citrate
mediadive.ingredient:1230	FeNa-EDTA
mediadive.ingredient:1933	FeSO4 x 5 H2O
mediadive.ingredient:1217	FeSO4 x 6 H2O
mediadive.ingredient:12	FeSO4 x 7 H2O
mediadive.ingredient:1735	FeSO4 x H2O
mediadive.ingredient:1742	FeSO43 x n H2O
mediadive.ingredient:2378	Ferric citrate monohydrate
mediadive.ingredient:744	Fildes Enrichment
mediadive.ingredient:1672	Fish meat extract
mediadive.ingredient:976	Fish-Sperm DNA
mediadive.ingredient:657	Gelatine
mediadive.ingredient:1158	Gellan Gum
mediadive.ingredient:987	Gelrite
mediadive.ingredient:347	Ginger
mediadive.ingredient:2178	Glycerol anhydrous
mediadive.ingredient:1928	Glycine-NaOH buffer
mediadive.ingredient:1382	Grace's Insect Medium
mediadive.ingredient:1005	H3BO2
mediadive.ingredient:1250	H3BO4
mediadive.ingredient:461	HEPES buffer
mediadive.ingredient:1938	HOMOPIPES
mediadive.ingredient:1123	Hemicalcium D-+-pantothenate
mediadive.ingredient:245	Hexachlorocyclo-hexane
mediadive.ingredient:2060	Hipolypepton
mediadive.ingredient:1740	Horikoshi-I medium
mediadive.ingredient:724	Horse blood
mediadive.ingredient:1875	Hy-Case Amino
mediadive.ingredient:1069	IMDM-Medium
mediadive.ingredient:1467	ISP 7 Medium
mediadive.ingredient:516	Inulin
mediadive.ingredient:1885	IronIII citrate
mediadive.ingredient:977	Isovitalex
mediadive.ingredient:283	K-phosphate buffer
mediadive.ingredient:1895	K2HSO4
mediadive.ingredient:1920	K2SO4 x 7 H2O
mediadive.ingredient:1722	KAlSO42
mediadive.ingredient:1677	KH2PO3
mediadive.ingredient:1810	KH2PO4 x 2 H2O
mediadive.ingredient:1161	KH2PO4 x 7 H2O
mediadive.ingredient:1042	KJ
mediadive.ingredient:1988	Kao and Michayluk vitamin solution
mediadive.ingredient:419	L+-Tartaric acid
mediadive.ingredient:1504	L-15 medium
mediadive.ingredient:2153	L-15 powder
mediadive.ingredient:770	L-Cysteine HCl x H2O
mediadive.ingredient:1860	L-Cysteine x HCl x H2O solution
mediadive.ingredient:2082	L-α-Phosphatidylcholine
mediadive.ingredient:1999	LB broth powder
mediadive.ingredient:1461	LaCl3 x 7 H2O
mediadive.ingredient:1586	LaNO33 x 6 H2O
mediadive.ingredient:2136	Lab Lemco powder
mediadive.ingredient:1624	Larchwood xylan
mediadive.ingredient:1941	Leibovitz's L-15 medium
mediadive.ingredient:2091	Lemon
mediadive.ingredient:992	Leptospira Enrichment EMJH
mediadive.ingredient:990	Leptospira Medium Base EMJH
mediadive.ingredient:1923	MEM alpha Modification
mediadive.ingredient:1377	MEM-Medium
mediadive.ingredient:2394	MES Hydrat
mediadive.ingredient:766	MES [2-N-morpholino ethane sulfonic acid]
mediadive.ingredient:835	MES buffer
mediadive.ingredient:1626	MRS medium
mediadive.ingredient:575	Maize extract
mediadive.ingredient:1985	Maize meal
mediadive.ingredient:810	Malt extract broth
mediadive.ingredient:1160	Malt extract powder
