#curie_map:
#  GO: http://purl.obolibrary.org/obo/GO_
#  pathway: https://w3id.org/kg-microbe/traits/pathway/
#  skos: http://www.w3.org/2004/02/skos/core#
#license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	object_id	object_label	comments
pathway:cellulose_degradation, chitin_degradation	cellulose_degradation, chitin_degradation	.	.	count: 1
pathway:thiocyanate_reduction	thiocyanate_reduction	.	.	count: 1
pathway:gelatin_degradation	gelatin_degradation	.	.	count: 1
pathway:cellulose_degradation, heterotrophic	cellulose_degradation, heterotrophic	.	.	count: 1
pathway:thiocyanate_oxidation	thiocyanate_oxidation	.	.	count: 1
pathway:dithionite_disproportionation	dithionite_disproportionation	.	.	count: 1
pathway:hydrocarbon_degradation, MTBE_degradation	hydrocarbon_degradation, MTBE_degradation	.	.	count: 1
pathway:hydrogen_oxidation, sulfur_reduction	hydrogen_oxidation, sulfur_reduction	.	.	count: 1
pathway:autotrophy, iron_oxidation, sulfur_oxidation	autotrophy, iron_oxidation, sulfur_oxidation	.	.	count: 1
pathway:nitrification, autotrophy, nitrification	nitrification, autotrophy, nitrification	.	.	count: 1
pathway:sulfate_reduction, sulfur_reduction, thiosulfate_reduction, xylan_degradation	sulfate_reduction, sulfur_reduction, thiosulfate_reduction, xylan_degradation	.	.	count: 1
pathway:iron_oxidation, iron_reduction	iron_oxidation, iron_reduction	.	.	count: 1
pathway:cellulose_degradation, heterotrophic, xylan_degradation	cellulose_degradation, heterotrophic, xylan_degradation	.	.	count: 1
pathway:nitrate_reduction, thiosulfate_reduction	nitrate_reduction, thiosulfate_reduction	.	.	count: 1
pathway:acetogenesis, sulfate_reduction	acetogenesis, sulfate_reduction	.	.	count: 1
pathway:hydrocarbon_degradation, iron_reduction, chlorocarbon_degradation	hydrocarbon_degradation, iron_reduction, chlorocarbon_degradation	.	.	count: 1
pathway:autotrophy, nitrification, nitrite_oxidation	autotrophy, nitrification, nitrite_oxidation	.	.	count: 1
pathway:RDX_degradation	RDX_degradation	.	.	count: 1
pathway:fermentation, iron_reduction, fermentation	fermentation, iron_reduction, fermentation	.	.	count: 1
pathway:EDTA_degradation, nitrogen_fixation	EDTA_degradation, nitrogen_fixation	.	.	count: 1
pathway:carbonylsulfide_reduction	carbonylsulfide_reduction	.	.	count: 1
pathway:covellite_oxidation	covellite_oxidation	.	.	count: 1
pathway:iron_reduction, sulfur_oxidation	iron_reduction, sulfur_oxidation	.	.	count: 1
pathway:polyisoprene_degradation	polyisoprene_degradation	.	.	count: 1
pathway:pyrrhotite_oxidation	pyrrhotite_oxidation	.	.	count: 1
pathway:cobalt_reduction	cobalt_reduction	.	.	count: 1
pathway:hydrocarbon_degradation, chlorate_reduction, hydrocarbon_degradation	hydrocarbon_degradation, chlorate_reduction, hydrocarbon_degradation	.	.	count: 1
