id,subject,predicate,object,relation,knowledge_source,meta,primary_knowledge_source,primary_knowledge_source.1
urn:uuid:b98795e7-ef19-4ffd-8853-878e51fcc803,isolation_source:host,biolink:location_of,NCBITaxon:1718,RO:0001015,Graph,,bacdive,
urn:uuid:a17a3d18-465e-4e62-b5f3-b10161ecb04b,isolation_source:engineered,biolink:location_of,NCBITaxon:1718,RO:0001015,Graph,,bacdive,
urn:uuid:4611d91d-10b9-434d-beb6-e8c4435950cb,isolation_source:microbial,biolink:location_of,NCBITaxon:1718,RO:0001015,Graph,,bacdive,
urn:uuid:48004779-d1b9-4791-b845-5a08dfb155ea,isolation_source:environmental,biolink:location_of,NCBITaxon:1718,RO:0001015,Graph,,bacdive,
urn:uuid:038aef14-4648-4b68-8e4d-eeb688b7e2c8,isolation_source:aquatic,biolink:location_of,NCBITaxon:1718,RO:0001015,Graph,,bacdive,
urn:uuid:b1f16ee6-da6f-4db6-9c2d-14b6624a76fb,isolation_source:marine,biolink:location_of,NCBITaxon:1718,RO:0001015,Graph,,bacdive,
urn:uuid:bc241b15-6694-49ae-a4be-55cfb77f391d,isolation_source:terrestrial,biolink:location_of,NCBITaxon:1718,RO:0001015,Graph,,bacdive,
urn:uuid:1de67944-8384-406d-b00e-a940317655bf,assay:API_20NE_NO3,biolink:assesses,NCBITaxon:1718,NCIT:C153110,Graph,,bacdive:160017,
urn:uuid:456296eb-b597-42d0-a05e-69874582645b,assay:API_20NE_GLU_ Assim,biolink:assesses,NCBITaxon:1718,NCIT:C153110,Graph,,bacdive:160018,
urn:uuid:5d679408-5bc7-436c-a4f9-807632d1984f,assay:API_20NE_CIT,biolink:assesses,NCBITaxon:1718,NCIT:C153110,Graph,,bacdive:160017,
urn:uuid:6ea4e61b-3fef-456f-b5d5-e382ad27907a,assay:API_20NE_ADH Arg,biolink:assesses,NCBITaxon:1718,NCIT:C153110,Graph,,bacdive:160017,
urn:uuid:24a67c4e-f48a-4a67-819e-657bdd6e92fc,assay:API_20NE_GNT,biolink:assesses,NCBITaxon:1718,NCIT:C153110,Graph,,bacdive:160018,
urn:uuid:34a86580-77f9-4fd0-982e-13881b8d658f,assay:API_coryne_SAC,biolink:assesses,NCBITaxon:1718,NCIT:C153110,Graph,,bacdive:3096,
urn:uuid:c7ae32d3-26a4-49c3-9aaa-dfe2cd72e33e,assay:API_coryne_MAL,biolink:assesses,NCBITaxon:1718,NCIT:C153110,Graph,,bacdive:3086,
urn:uuid:c3290598-7999-4efc-9362-888bb1dc7c93,assay:API_coryne_PYZ,biolink:assesses,NCBITaxon:1718,NCIT:C153110,Graph,,bacdive:3086,
