id	category	name	description	xref	provided_by	synonym	iri	object	predicate	relation	same_as	subject	subsets
A0A349HFB3	biolink:Enzyme	ATP-dependent zinc metalloprotease FtsH 			Uniprot								
A0A349HFR1	biolink:Enzyme	dITP/XTP pyrophosphatase 			Uniprot								
A0A349HH33	biolink:Enzyme	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase 			Uniprot								
A0A349HIX7	biolink:Enzyme	Probable molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) 			Uniprot								
A0A349HLV1	biolink:Enzyme	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) 			Uniprot								
A0A349HM18	biolink:Enzyme	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) 			Uniprot								
A0A349HMQ4	biolink:Enzyme	Bifunctional enzyme IspD/IspF [Includes: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase 			Uniprot								
A0A353D8D8	biolink:Enzyme	Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) 			Uniprot								
A0A353D8V7	biolink:Enzyme	Probable dual-specificity RNA methyltransferase RlmN 			Uniprot								
A0A353DB70	biolink:Enzyme	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase 			Uniprot								
A0A357AT40	biolink:Enzyme	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase 			Uniprot								
A0A357AUP2	biolink:Enzyme	CTP synthase 			Uniprot								
A0A357AVH6	biolink:Enzyme	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) 			Uniprot								
A0A357AYX2	biolink:Enzyme	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) 			Uniprot								
A0A358LA96	biolink:Enzyme	Bifunctional enzyme IspD/IspF [Includes: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase 			Uniprot								
A0A358LAJ0	biolink:Enzyme	Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) 			Uniprot								
A0A358LBE8	biolink:Enzyme	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase 			Uniprot								
A0A358LBP7	biolink:Enzyme	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase 			Uniprot								
A0A358LEA2	biolink:Enzyme	dITP/XTP pyrophosphatase 			Uniprot								
A0A358LEY8	biolink:Enzyme	CTP synthase 			Uniprot								
A0A358LGL0	biolink:Enzyme	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) 			Uniprot								
A0A3C0RQV2	biolink:Enzyme	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) 			Uniprot								
A0A3C0RRM3	biolink:Enzyme	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase 			Uniprot								
A0A3C0RS15	biolink:Enzyme	Orotate phosphoribosyltransferase (OPRT) (OPRTase) 			Uniprot								
A0A3C0RSI6	biolink:Enzyme	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) 			Uniprot								
A0A3C0RTH0	biolink:Enzyme	Bifunctional enzyme IspD/IspF [Includes: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase 			Uniprot								
A0A3C0RTV3	biolink:Enzyme	Probable dual-specificity RNA methyltransferase RlmN 			Uniprot								
